Source,Target,Type,Id,Label,Weight,Color
설치,비계,Directed,0,,1.011758,"#999999"
설치,자재,Directed,1,,0.781408,"#999999"
설치,바닥,Directed,2,,0.183927,"#999999"
설치,이동,Directed,3,,2.407028,"#999999"
설치,거푸집,Directed,4,,0.334495,"#999999"
설치,추락,Directed,5,,0.095031,"#999999"
설치,작업중,Directed,6,,0.275544,"#999999"
설치,안전,Directed,7,,0.210024,"#999999"
설치,발판,Directed,8,,0.48573,"#999999"
설치,사다리,Directed,9,,0.214273,"#999999"
설치,상태,Directed,10,,0.087879,"#999999"
설치,계단,Directed,12,,0.565392,"#999999"
설치,손가락,Directed,13,,0.563134,"#999999"
설치,미흡,Directed,14,,0.551196,"#999999"
설치,고정,Directed,15,,0.153295,"#999999"
설치,체결,Directed,19,,0.319069,"#999999"
설치,고리,Directed,20,,0.295416,"#999999"
설치,운전,Directed,22,,0.106654,"#999999"
설치,안전교육,Directed,23,,0.220296,"#999999"
설치,안전벨트,Directed,24,,0.214809,"#999999"
설치,부족,Directed,25,,0.208499,"#999999"
설치,부주의,Directed,26,,0.787915,"#999999"
설치,운반,Directed,29,,0.568315,"#999999"
설치,사용,Directed,30,,0.124914,"#999999"
설치,시스템,Directed,32,,1.075192,"#999999"
설치,동바리,Directed,35,,0.191427,"#999999"
설치,외부,Directed,38,,0.16878,"#999999"
설치,정리,Directed,39,,0.652014,"#999999"
설치,발목,Directed,40,,0.12083,"#999999"
설치,왼쪽,Directed,41,,0.108055,"#999999"
설치,우측,Directed,45,,0.193878,"#999999"
설치,목재,Directed,56,,0.479434,"#999999"
설치,부상,Directed,57,,0.337583,"#999999"
설치,좌측,Directed,58,,0.339452,"#999999"
설치,무릎,Directed,60,,0.118469,"#999999"
설치,부분,Directed,64,,0.099415,"#999999"
설치,장비,Directed,65,,0.118408,"#999999"
설치,위치,Directed,66,,0.093098,"#999999"
설치,사이,Directed,68,,0.133982,"#999999"
설치,끼임,Directed,70,,0.150018,"#999999"
설치,타격,Directed,75,,0.122111,"#999999"
설치,흙막이,Directed,76,,0.499268,"#999999"
설치,토류판,Directed,77,,0.32397,"#999999"
설치,가시,Directed,78,,0.561975,"#999999"
설치,굴착,Directed,79,,0.213987,"#999999"
설치,토사,Directed,80,,0.17299,"#999999"
설치,간이,Directed,82,,0.11072,"#999999"
설치,진흙,Directed,83,,0.109046,"#999999"
설치,상부,Directed,84,,0.484172,"#999999"
설치,추락사고,Directed,85,,0.330238,"#999999"
설치,충돌,Directed,86,,0.322595,"#999999"
설치,굴착기,Directed,87,,0.378013,"#999999"
설치,결속,Directed,90,,0.112752,"#999999"
설치,철골빔,Directed,92,,0.66608,"#999999"
설치,시야,Directed,93,,0.096487,"#999999"
설치,구간,Directed,95,,0.140022,"#999999"
설치,복구,Directed,98,,0.042084,"#999999"
설치,적재,Directed,104,,0.205292,"#999999"
설치,하부,Directed,108,,0.229983,"#999999"
비계,설치,Directed,109,,1.011758,"#999999"
비계,자재,Directed,110,,0.779287,"#999999"
비계,바닥,Directed,111,,0.247721,"#999999"
비계,이동,Directed,112,,0.946187,"#999999"
비계,거푸집,Directed,113,,0.285561,"#999999"
비계,추락,Directed,114,,0.13363,"#999999"
비계,작업중,Directed,115,,0.1912,"#999999"
비계,안전,Directed,116,,0.508656,"#999999"
비계,발판,Directed,117,,0.497368,"#999999"
비계,사다리,Directed,118,,0.124949,"#999999"
비계,상태,Directed,119,,0.10603,"#999999"
비계,손가락,Directed,122,,2.074969,"#999999"
비계,고정,Directed,123,,0.252228,"#999999"
비계,고리,Directed,127,,0.773738,"#999999"
