Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
설치,설치,59,59,118,2,0.63981,0.718519,940.887975,0,291.733612,-68.165535,948.148132,"#c686e9"
비계,비계,63,63,126,2,0.652174,0.733333,937.833788,0,-5246.567383,2132.343506,1000,"#c686e9"
자재,자재,42,42,84,3,0.574468,0.646914,184.415874,0,-1996.664062,2483.019287,727.777771,"#c686e9"
바닥,바닥,47,47,94,3,0.597345,0.67037,524.988174,4,-10538.404297,-9918.68457,792.59259,"#00caff"
이동,이동,55,55,110,3,0.616438,0.698765,881.628207,0,-4112.711914,-2509.311279,896.296326,"#c686e9"
거푸집,거푸집,46,46,92,2,0.602679,0.67037,451.933167,0,5711.6875,7200.325195,779.629639,"#c686e9"
추락,추락,43,43,86,2,0.594714,0.659259,455.77855,1,-24218.75,-4511.529297,740.740723,"#ea8615"
작업중,작업중,46,46,92,2,0.602679,0.67037,353.069082,0,10467.041992,3405.945068,779.629639,"#c686e9"
안전,안전,25,25,50,3,0.535714,0.583951,67.772057,0,-5049.02832,-4799.271484,507.40741,"#c686e9"
발판,발판,38,38,76,2,0.581897,0.640741,191.826795,0,-2548.494385,-197.997513,675.925903,"#c686e9"
사다리,사다리,24,24,48,3,0.523256,0.574074,23.438847,1,-15680.268555,3069.458984,494.444458,"#ea8615"
상태,상태,50,50,100,2,0.613636,0.685185,1546.304655,3,-20808.236328,12694.060547,831.481506,"#ff5c81"
계단,계단,28,28,56,2,0.557851,0.603704,218.024109,4,-7352.352051,-9745.203125,546.296265,"#00caff"
손가락,손가락,28,28,56,3,0.55102,0.6,81.71473,0,-3013.368896,4627.322266,546.296265,"#c686e9"
미흡,미흡,28,28,56,2,0.557851,0.603704,209.943659,4,-849.653687,-6614.964844,546.296265,"#00caff"
고정,고정,43,43,86,2,0.594714,0.659259,275.40633,1,2699.965332,-10705.009766,740.740723,"#ea8615"
체결,체결,13,13,26,3,0.492701,0.52716,14.313261,0,-7737.971191,-3946.383301,351.851868,"#c686e9"
고리,고리,19,19,38,3,0.525292,0.562963,62.825549,0,-7131.069824,-1556.264648,429.629639,"#c686e9"
운전,운전,25,25,50,3,0.515267,0.571605,218.114111,5,10317.475586,8387.342773,507.40741,"#2e9072"
안전교육,안전교육,9,9,18,3,0.454545,0.488889,0,0,-6629.128418,-4762.263672,300,"#c686e9"
안전벨트,안전벨트,9,9,18,3,0.454545,0.488889,0,0,-6488.959473,-3380.605469,300,"#c686e9"
부족,부족,36,36,72,3,0.564854,0.62716,342.271331,1,-19766.638672,-10133.858398,650,"#ea8615"
부주의,부주의,34,34,68,3,0.546559,0.612346,343.882237,4,-4833.599609,-8306.915039,624.074097,"#00caff"
운반,운반,52,52,104,2,0.619266,0.692593,764.252096,0,3158.953125,-5813.756348,857.40741,"#c686e9"
사용,사용,39,39,78,2,0.584416,0.644444,301.545877,0,1315.716675,-16208.052734,688.888916,"#c686e9"
시스템,시스템,27,27,54,3,0.515267,0.576543,36.930611,0,-10.160913,3384.512451,533.333374,"#c686e9"
동바리,동바리,39,39,78,3,0.567227,0.635802,483.850641,0,9784.588867,-5509.700684,688.888916,"#c686e9"
외부,외부,25,25,50,3,0.511364,0.569136,23.10549,0,-4266.473633,9381.558594,507.40741,"#c686e9"
정리,정리,41,41,82,3,0.56962,0.641975,278.515463,0,2491.951416,-2118.099121,714.814819,"#c686e9"
발목,발목,30,30,60,3,0.523256,0.588889,73.171179,0,-7170.706055,11513.34082,572.222229,"#c686e9"
왼쪽,왼쪽,25,25,50,3,0.498155,0.560494,26.51398,0,-2509.078125,12653.111328,507.40741,"#c686e9"
우측,우측,39,39,78,3,0.546559,0.624691,245.505643,0,6881.574219,12096.914062,688.888916,"#c686e9"
목재,목재,14,14,28,3,0.454545,0.501235,0.456989,0,-993.080322,5371.69873,364.814819,"#c686e9"
부상,부상,22,22,44,3,0.478723,0.539506,36.949284,0,262.548309,7303.980957,468.518524,"#c686e9"
좌측,좌측,18,18,36,3,0.478723,0.52963,27.677418,0,-1602.372681,7973.575195,416.666687,"#c686e9"
무릎,무릎,25,25,50,3,0.519231,0.574074,76.161041,0,-3650.828613,18448.535156,507.40741,"#c686e9"
부분,부분,26,26,52,3,0.505618,0.567901,61.095031,0,-75.330322,17430.080078,520.370361,"#c686e9"
장비,장비,38,38,76,2,0.581897,0.640741,635.522745,2,17612.464844,-6404.142578,675.925903,"#5fc613"
