Source,Target,Type,Id,Label,Weight,Color
배관,바닥,Directed,10754,,0.122351,"#000000"
배관,설치,Directed,10755,,0.417017,"#000000"
배관,비계,Directed,10756,,0.238538,"#000000"
배관,자재,Directed,10757,,0.150693,"#000000"
배관,이동,Directed,10758,,2.702425,"#000000"
배관,안전,Directed,10759,,0.188646,"#000000"
배관,발판,Directed,10760,,0.396829,"#000000"
배관,상태,Directed,10761,,0.209027,"#000000"
배관,운반,Directed,10762,,0.198058,"#000000"
배관,미흡,Directed,10764,,0.263074,"#000000"
배관,그라인더,Directed,10765,,0.07882,"#000000"
배관,차량,Directed,10767,,0.087485,"#000000"
배관,고정,Directed,10768,,0.057378,"#000000"
배관,구간,Directed,10769,,0.100167,"#000000"
배관,실시,Directed,10771,,0.112814,"#000000"
배관,손가락,Directed,10772,,0.143468,"#000000"
배관,장갑,Directed,10773,,0.267967,"#000000"
배관,절단,Directed,10774,,0.147654,"#000000"
배관,왼손,Directed,10775,,0.105192,"#000000"
배관,끼임,Directed,10776,,0.092917,"#000000"
배관,골절,Directed,10777,,0.385411,"#000000"
배관,검지,Directed,10778,,0.059657,"#000000"
배관,왼쪽,Directed,10779,,0.078384,"#000000"
배관,사이,Directed,10780,,0.188672,"#000000"
배관,추락,Directed,10782,,0.245327,"#000000"
배관,이용,Directed,10783,,0.168423,"#000000"
배관,높이,Directed,10784,,0.08736,"#000000"
배관,사용,Directed,10786,,0.101799,"#000000"
배관,포트,Directed,10791,,0.156564,"#000000"
배관,천장,Directed,10793,,0.140421,"#000000"
배관,발목,Directed,10797,,0.603714,"#000000"
배관,철골,Directed,10798,,0.174143,"#000000"
배관,우측,Directed,10807,,0.126968,"#000000"
배관,어깨,Directed,10810,,0.281153,"#000000"
배관,통증,Directed,10811,,0.271175,"#000000"
배관,허리,Directed,10812,,0.191464,"#000000"
배관,산재,Directed,10813,,0.087583,"#000000"
배관,신청,Directed,10814,,0.087583,"#000000"
배관,방문,Directed,10815,,0.084049,"#000000"
배관,진단,Directed,10816,,0.084978,"#000000"
배관,가스,Directed,10818,,0.15915,"#000000"
배관,용기,Directed,10819,,0.107268,"#000000"
배관,내부,Directed,10820,,0.221836,"#000000"
배관,잔류,Directed,10821,,0.085512,"#000000"
배관,시공,Directed,10822,,0.098469,"#000000"
배관,불티,Directed,10823,,0.081645,"#000000"
배관,화재,Directed,10824,,0.08115,"#000000"
배관,와이어,Directed,10825,,0.092738,"#000000"
배관,방서,Directed,10826,,0.070335,"#000000"
배관,협착,Directed,10828,,0.122658,"#000000"
배관,방향,Directed,10830,,0.08806,"#000000"
배관,덕트,Directed,10831,,0.116621,"#000000"
배관,베임,Directed,10833,,0.036885,"#000000"
배관,로프,Directed,10837,,0.14927,"#000000"
배관,리프트,Directed,10838,,0.104198,"#000000"
바닥,배관,Directed,10840,,0.122351,"#000000"
바닥,설치,Directed,10841,,0.071252,"#000000"
바닥,비계,Directed,10842,,0.037239,"#000000"
바닥,자재,Directed,10843,,0.030954,"#000000"
바닥,이동,Directed,10844,,0.171869,"#000000"
바닥,안전,Directed,10845,,0.037032,"#000000"
바닥,발판,Directed,10846,,0.034257,"#000000"
바닥,상태,Directed,10847,,0.032316,"#000000"
바닥,운반,Directed,10848,,0.031423,"#000000"
바닥,그라인더,Directed,10850,,0.01039,"#000000"
바닥,차량,Directed,10853,,0.010335,"#000000"
바닥,고정,Directed,10854,,0.010684,"#000000"
바닥,구간,Directed,10855,,0.02033,"#000000"
바닥,실시,Directed,10857,,0.008566,"#000000"
바닥,절단,Directed,10858,,0.020206,"#000000"
바닥,왼손,Directed,10859,,0.015886,"#000000"
바닥,끼임,Directed,10861,,0.017418,"#000000"
바닥,골절,Directed,10862,,0.029045,"#000000"
바닥,왼쪽,Directed,10863,,0.015115,"#000000"
바닥,사이,Directed,10864,,0.030655,"#000000"
바닥,사다리,Directed,10865,,0.052344,"#000000"
바닥,추락,Directed,10867,,0.064303,"#000000"
바닥,이용,Directed,10868,,0.033426,"#000000"
바닥,높이,Directed,10869,,0.016748,"#000000"
바닥,사용,Directed,10871,,0.019236,"#000000"
바닥,아웃,Directed,10872,,0.011373,"#000000"
바닥,포트,Directed,10878,,0.015675,"#000000"
바닥,천장,Directed,10880,,0.016005,"#000000"
바닥,발목,Directed,10884,,0.028451,"#000000"
바닥,무릎,Directed,10892,,0.030041,"#000000"
바닥,충격,Directed,10893,,0.029308,"#000000"
바닥,손목,Directed,10894,,0.026115,"#000000"
바닥,도로,Directed,10895,,0.019218,"#000000"
바닥,우측,Directed,10896,,0.030237,"#000000"
바닥,가스,Directed,10900,,0.045113,"#000000"
바닥,용기,Directed,10901,,0.028879,"#000000"
바닥,내부,Directed,10902,,0.062147,"#000000"
바닥,잔류,Directed,10903,,0.023479,"#000000"
바닥,시공,Directed,10904,,0.02948,"#000000"
바닥,불티,Directed,10906,,0.021155,"#000000"
바닥,화재,Directed,10907,,0.021991,"#000000"
바닥,와이어,Directed,10908,,0.022037,"#000000"
바닥,방서,Directed,10909,,0.01902,"#000000"
바닥,협착,Directed,10911,,0.018487,"#000000"
바닥,덕트,Directed,10913,,0.021274,"#000000"
바닥,크레인,Directed,10914,,0.014327,"#000000"
바닥,베임,Directed,10916,,0.005515,"#000000"
바닥,벨트,Directed,10917,,0.006346,"#000000"
설치,배관,Directed,10921,,0.417017,"#000000"
설치,바닥,Directed,10922,,0.071252,"#000000"
설치,비계,Directed,10923,,0.197632,"#000000"
설치,자재,Directed,10924,,0.179824,"#000000"
설치,이동,Directed,10925,,1.774378,"#000000"
설치,안전,Directed,10926,,0.12492,"#000000"
설치,발판,Directed,10927,,0.16823,"#000000"
설치,상태,Directed,10928,,0.112948,"#000000"
설치,운반,Directed,10929,,0.168487,"#000000"
설치,미흡,Directed,10931,,0.199351,"#000000"
설치,그라인더,Directed,10932,,0.095115,"#000000"
설치,차량,Directed,10935,,0.044642,"#000000"
설치,고정,Directed,10936,,0.059794,"#000000"
설치,구간,Directed,10937,,0.172878,"#000000"
설치,실시,Directed,10938,,0.084697,"#000000"
설치,절단,Directed,10939,,0.060104,"#000000"
설치,끼임,Directed,10941,,0.067893,"#000000"
설치,왼쪽,Directed,10942,,0.062766,"#000000"
설치,사이,Directed,10943,,0.087181,"#000000"
설치,추락,Directed,10945,,0.348229,"#000000"
설치,이용,Directed,10946,,0.20422,"#000000"
설치,높이,Directed,10947,,0.095934,"#000000"
설치,사용,Directed,10949,,0.091511,"#000000"
설치,포트,Directed,10955,,0.075928,"#000000"
설치,천장,Directed,10956,,0.072974,"#000000"
설치,발목,Directed,10960,,0.372239,"#000000"
설치,철골,Directed,10961,,0.134038,"#000000"
설치,계단,Directed,10969,,0.178207,"#000000"
설치,우측,Directed,10970,,0.077612,"#000000"
설치,건물,Directed,10972,,0.105221,"#000000"
설치,점등,Directed,10975,,0.061344,"#000000"
설치,가로,Directed,10976,,0.061344,"#000000"
설치,벽돌,Directed,10977,,0.122689,"#000000"
설치,신년,Directed,10978,,0.061344,"#000000"
설치,허리,Directed,10979,,0.123259,"#000000"
설치,내부,Directed,10981,,0.258972,"#000000"
설치,덕트,Directed,10985,,0.063687,"#000000"
설치,벽면,Directed,10988,,0.027978,"#000000"
설치,벽체,Directed,10989,,0.062889,"#000000"
설치,엘리베이터,Directed,10990,,0.434814,"#000000"
설치,상층,Directed,10991,,0.132673,"#000000"
설치,와이어로프,Directed,10992,,0.1211,"#000000"
설치,외줄,Directed,10994,,0.113533,"#000000"
설치,텐션,Directed,10995,,0.104571,"#000000"
설치,피트,Directed,10996,,0.104571,"#000000"
설치,이스트,Directed,10998,,0.10137,"#000000"
설치,로프,Directed,10999,,0.147555,"#000000"
설치,밸브,Directed,11000,,0.120913,"#000000"
설치,지지,Directed,11001,,0.097727,"#000000"
설치,리프트,Directed,11003,,0.092352,"#000000"
설치,테이블,Directed,11005,,0.067434,"#000000"
설치,중인,Directed,11006,,0.068081,"#000000"
설치,인양,Directed,11007,,0.094455,"#000000"
설치,협착된,Directed,11008,,0.067708,"#000000"
비계,배관,Directed,11009,,0.238538,"#000000"
비계,바닥,Directed,11010,,0.037239,"#000000"
비계,설치,Directed,11011,,0.197632,"#000000"
