Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
배관,배관,55,55,110,2,0.614108,0.685811,1527.074251,0,-1139.167236,7382.462402,1000,"#e28bff"
바닥,바닥,48,48,96,2,0.596774,0.662162,1174.229612,0,-6338.681152,24635.162109,895.74469,"#e28bff"
설치,설치,54,54,108,2,0.61157,0.682432,1449.675582,0,8450.884766,5751.640137,985.106384,"#e28bff"
비계,비계,41,41,82,3,0.578125,0.637387,401.554274,0,-1720.797852,-638.294617,791.48938,"#e28bff"
자재,자재,41,41,82,2,0.580392,0.638514,470.551607,5,2351.429199,-5563.051758,791.48938,"#69c404"
이동,이동,51,51,102,2,0.604082,0.672297,872.266989,0,3785.111572,-2065.714355,940.425537,"#e28bff"
안전,안전,36,36,72,2,0.569231,0.621622,332.203434,0,-4111.140625,-8768.375,717.02124,"#e28bff"
발판,발판,55,55,110,2,0.614108,0.685811,1171.799571,5,5672.422852,-5074.433594,1000,"#69c404"
상태,상태,39,39,78,2,0.575875,0.631757,887.720176,1,9022.112305,-13766.396484,761.702148,"#fffc5d"
운반,운반,45,45,90,3,0.580392,0.647523,753.079969,0,-9220.772461,-1172.166382,851.063843,"#e28bff"
미흡,미흡,25,25,50,3,0.530466,0.57545,154.244267,3,-10751.80957,-15376.181641,553.191467,"#00c7ff"
그라인더,그라인더,32,32,64,3,0.558491,0.606982,767.839926,1,24021.96875,-9303.463867,657.446777,"#fffc5d"
차량,차량,33,33,66,3,0.558491,0.609234,300.683794,3,-21699.171875,1755.524902,672.340454,"#00c7ff"
고정,고정,40,40,80,2,0.578125,0.635135,511.410542,0,14318.794922,20910.824219,776.595703,"#e28bff"
구간,구간,46,46,92,3,0.58498,0.652027,719.178702,0,-6549.761719,-13796.976562,865.957458,"#e28bff"
실시,실시,28,28,56,2,0.552239,0.594595,159.090293,5,18136.492188,-7482.047363,597.872314,"#69c404"
손가락,손가락,14,14,28,3,0.461059,0.503378,22.947604,0,3839.57373,15106.295898,389.361694,"#e28bff"
장갑,장갑,12,12,24,3,0.458204,0.496622,5.594725,0,267.293091,13129.893555,359.574463,"#e28bff"
절단,절단,21,21,42,3,0.506849,0.551802,133.978579,0,6844.228027,12565.015625,493.617004,"#e28bff"
왼손,왼손,23,23,46,3,0.477419,0.536036,211.20347,3,-10130.258789,18278.507812,523.404236,"#00c7ff"
끼임,끼임,41,41,82,3,0.578125,0.637387,693.09,5,20832.310547,5196.849121,791.48938,"#69c404"
골절,골절,20,20,40,3,0.466877,0.521396,93.663622,0,3514.201172,9138.5,478.723389,"#e28bff"
검지,검지,13,13,26,3,0.459627,0.5,9.730639,0,178.012604,17965.005859,374.468079,"#e28bff"
왼쪽,왼쪽,36,36,72,3,0.56705,0.620495,568.819797,0,10816.62207,25627.945312,717.02124,"#e28bff"
사이,사이,32,32,64,3,0.546125,0.600225,336.147674,0,-3003.371094,3935.260498,657.446777,"#e28bff"
추락,추락,29,29,58,3,0.536232,0.587838,342.13813,0,4884.905762,5031.295898,612.765991,"#e28bff"
이용,이용,34,34,68,3,0.548148,0.605856,254.202738,0,1148.21936,429.369446,687.234009,"#e28bff"
높이,높이,36,36,72,3,0.552239,0.612613,494.829371,0,-10044.676758,10782.088867,717.02124,"#e28bff"
사용,사용,46,46,92,2,0.592,0.655405,902.034369,0,-17475.628906,-5737.192383,865.957458,"#e28bff"
포트,포트,12,12,24,3,0.494983,0.523649,1.751454,0,862.422913,2829.239258,359.574463,"#e28bff"
천장,천장,12,12,24,3,0.494983,0.523649,1.751454,0,2367.521729,2679.153809,359.574463,"#e28bff"
발목,발목,28,28,56,3,0.508591,0.568694,258.419209,0,5726.561035,2631.232178,597.872314,"#e28bff"
철골,철골,21,21,42,3,0.508591,0.552928,76.885229,0,10194.074219,8582.395508,493.617004,"#e28bff"
우측,우측,19,19,38,3,0.480519,0.529279,65.12434,0,2808.056885,11794.074219,463.829773,"#e28bff"
어깨,어깨,15,15,30,3,0.449848,0.496622,8.456122,3,-18149.757812,8267.74707,404.25531,"#00c7ff"
통증,통증,18,18,36,3,0.48366,0.529279,65.490681,3,-16618.648438,9725.605469,448.936157,"#00c7ff"
허리,허리,18,18,36,3,0.491694,0.53491,60.038712,3,-16101.114258,7770.251953,448.936157,"#00c7ff"
산재,산재,15,15,30,3,0.449848,0.496622,8.456122,3,-20822.763672,8189.112305,404.25531,"#00c7ff"
신청,신청,15,15,30,3,0.449848,0.496622,8.456122,3,-20338.472656,9999.916992,404.25531,"#00c7ff"
방문,방문,15,15,30,3,0.449848,0.496622,8.456122,3,-20996.925781,11960.729492,404.25531,"#00c7ff"
진단,진단,15,15,30,3,0.449848,0.496622,8.456122,3,-19058.375,11592.962891,404.25531,"#00c7ff"
가스,가스,10,10,20,3,0.411111,0.45045,0,4,2550.133301,22010.966797,329.787231,"#fa9200"
용기,용기,12,12,24,3,0.439169,0.480856,39.447438,4,2997.802002,20444.972656,359.574463,"#fa9200"
내부,내부,24,24,48,3,0.510345,0.560811,351.409875,4,9047.967773,14302.414062,538.297852,"#fa9200"
잔류,잔류,10,10,20,3,0.411111,0.45045,0,4,3146.01001,23594.095703,329.787231,"#fa9200"
시공,시공,17,17,34,3,0.431487,0.48536,74.591223,4,415.408661,22680.513672,434.042542,"#fa9200"
불티,불티,13,13,26,3,0.440476,0.484234,49.128862,4,4808.499512,22505.017578,374.468079,"#fa9200"
화재,화재,10,10,20,3,0.411111,0.45045,0,4,1775.012207,24400.335938,329.787231,"#fa9200"
와이어,와이어,15,15,30,3,0.444444,0.492117,47.016589,4,1955.572876,25781.25,404.25531,"#fa9200"
방서,방서,10,10,20,3,0.411111,0.45045,0,4,3948.494629,25124.972656,329.787231,"#fa9200"
협착,협착,22,22,44,3,0.506849,0.554054,65.653744,0,-6028.095703,1884.525024,508.51062,"#e28bff"
방향,방향,24,24,48,3,0.5,0.554054,130.4694,0,-10001.200195,-7418.132324,538.297852,"#e28bff"
덕트,덕트,31,31,62,3,0.548148,0.599099,277.709658,0,-12433.954102,5066.861328,642.553223,"#e28bff"
베임,베임,24,24,48,3,0.521127,0.567568,359.912826,6,13913.792969,-3879.516846,538.297852,"#ff5d85"
로프,로프,16,16,32,3,0.494983,0.532658,27.038419,2,14901.907227,12998.56543,419.148926,"#00af87"
리프트,리프트,15,15,30,3,0.48366,0.522523,16.904708,2,16593.076172,15444.896484,404.25531,"#00af87"
사다리,사다리,11,11,22,3,0.482085,0.512387,2.923109,0,-4697.772461,7.401825,344.680847,"#e28bff"
