Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
이동,이동,29,29,58,3,0.583333,0.685714,562.235933,0,10849.264648,-6222.888672,840,"#f97743"
자재,자재,30,30,60,2,0.636364,0.714286,376.700667,1,185.236069,-1794.870483,872,"#9a96e5"
운반,운반,17,17,34,3,0.522388,0.595238,31.166514,0,9772.825195,-3858.981201,456,"#f97743"
비계,비계,20,20,40,2,0.583333,0.642857,107.576988,0,14203.357422,-1841.138306,552,"#f97743"
사용,사용,23,23,46,2,0.598291,0.664286,274.840093,0,4982.306641,2175.703125,648,"#f97743"
철근,철근,24,24,48,2,0.603448,0.671429,205.103376,2,3607.665283,-6734.934082,680,"#28b36a"
주위,주위,18,18,36,3,0.5,0.585714,183.248257,0,13345.692383,-6041.750488,488,"#f97743"
설치,설치,23,23,46,3,0.564516,0.647619,105.040942,0,7426.849609,-1612.960205,648,"#f97743"
단독,단독,13,13,26,2,0.551181,0.592857,22.615813,0,10909.262695,-996.520142,328,"#f97743"
손가락,손가락,15,15,30,3,0.551181,0.602381,41.190768,0,10959.119141,1392.498291,392,"#f97743"
철골,철골,17,17,34,2,0.569106,0.621429,101.537229,2,2551.641846,-3879.130127,456,"#28b36a"
균형,균형,11,11,22,3,0.472973,0.533333,1.90936,0,7719.566895,-3868.313477,264,"#f97743"
년월,년월,11,11,22,3,0.472973,0.533333,1.90936,0,7107.505859,-4929.293945,264,"#f97743"
트러스,트러스,11,11,22,3,0.472973,0.533333,1.90936,0,8468.792969,-4784.285156,264,"#f97743"
혼합,혼합,11,11,22,3,0.472973,0.533333,1.90936,0,7161.699219,-6324.914551,264,"#f97743"
소속,소속,11,11,22,3,0.472973,0.533333,1.90936,0,8444.181641,-6001.652344,264,"#f97743"
압송,압송,11,11,22,3,0.472973,0.533333,1.90936,0,8165.628906,-7310.338379,264,"#f97743"
보행,보행,10,10,20,4,0.388889,0.463095,0,0,13260.404297,-7735.371582,232,"#f97743"
뒷걸음,뒷걸음,10,10,20,4,0.388889,0.463095,0,0,14189.959961,-7486.388672,232,"#f97743"
잔돌,잔돌,10,10,20,4,0.388889,0.463095,0,0,13227.802734,-9110.269531,232,"#f97743"
바닥상태,바닥상태,10,10,20,4,0.388889,0.463095,0,0,13916.033203,-8377.254883,232,"#f97743"
헛딛음,헛딛음,10,10,20,4,0.388889,0.463095,0,0,12689.525391,-8430.19043,232,"#f97743"
물체,물체,10,10,20,4,0.388889,0.463095,0,0,14133.253906,-9314.856445,232,"#f97743"
지정,지정,10,10,20,4,0.388889,0.463095,0,0,14868.46582,-8727.149414,232,"#f97743"
통행,통행,10,10,20,4,0.388889,0.463095,0,0,15086.675781,-7795.810059,232,"#f97743"
안전,안전,24,24,48,2,0.603448,0.671429,293.912026,1,1869.394897,10973.751953,680,"#9a96e5"
추락,추락,25,25,50,2,0.608696,0.678571,238.406887,0,10115.594727,7168.138184,712,"#f97743"
데크,데크,15,15,30,3,0.551181,0.602381,33.334139,0,14111.049805,2638.420654,392,"#f97743"
바닥,바닥,18,18,36,3,0.526316,0.602381,280.881469,0,13241.087891,-11337.991211,488,"#f97743"
체결,체결,24,24,48,2,0.603448,0.671429,293.912026,1,3861.615967,15511.700195,680,"#9a96e5"
부주의,부주의,34,34,68,3,0.614035,0.72381,783.439671,1,-3042.097656,-902.012512,1000,"#9a96e5"
불량,불량,23,23,46,3,0.56,0.645238,308.112447,1,1268.123779,5389.879883,648,"#9a96e5"
돌풍,돌풍,10,10,20,3,0.47619,0.530952,0,2,-245.185013,-4025.093994,232,"#28b36a"
기술,기술,10,10,20,3,0.47619,0.530952,0,2,-1158.070801,-4440.813965,232,"#28b36a"
임목,임목,10,10,20,3,0.47619,0.530952,0,2,477.438782,-4774.385742,232,"#28b36a"
중량,중량,10,10,20,3,0.47619,0.530952,0,2,-414.874481,-5648.101562,232,"#28b36a"
렌탈,렌탈,10,10,20,3,0.47619,0.530952,0,2,-1625.604614,-5945.435547,232,"#28b36a"
난간,난간,10,10,20,3,0.47619,0.530952,0,2,1.982667,-6828.994141,232,"#28b36a"
발판,발판,10,10,20,3,0.47619,0.530952,0,2,-1385.186279,-7400.078125,232,"#28b36a"
배근,배근,17,17,34,3,0.534351,0.602381,225.495041,1,-7226.369141,-4203.511719,456,"#9a96e5"
방법,방법,25,25,50,3,0.569106,0.659524,145.174838,1,-3046.167236,14142.602539,712,"#9a96e5"
행동,행동,20,20,40,3,0.546875,0.62381,45.777716,1,-6038.552734,3410.187744,552,"#9a96e5"
질병,질병,17,17,34,3,0.534351,0.602381,25.959339,1,-12094.404297,4871.651367,456,"#9a96e5"
불안전,불안전,19,19,38,3,0.542636,0.616667,39.368158,1,-3956.219727,2778.558594,520,"#9a96e5"
개인,개인,13,13,26,3,0.492958,0.557143,9.232695,1,-7454.026855,1842.856934,328,"#9a96e5"
부족,부족,13,13,26,3,0.496454,0.559524,5.703025,1,-5919.429688,1139.244751,328,"#9a96e5"
판단,판단,15,15,30,3,0.503597,0.57381,13.720303,1,-9701.427734,1513.892578,392,"#9a96e5"
자세,자세,13,13,26,3,0.496454,0.559524,5.703025,1,-7957.945801,146.44133,328,"#9a96e5"
평재,평재,12,12,24,3,0.48951,0.55,3.873137,1,-8895.053711,-1149.927856,296,"#9a96e5"
인지,인지,18,18,36,3,0.514706,0.595238,42.016912,1,-9000.397461,4286.114746,488,"#9a96e5"
구간,구간,23,23,46,3,0.486111,0.6,89.510497,1,-13754.525391,12155.802734,648,"#9a96e5"
주변,주변,19,19,38,3,0.492958,0.585714,47.038556,1,-7393.30127,14611.818359,520,"#9a96e5"
배관,배관,13,13,26,3,0.496454,0.559524,105.271979,1,-5360.166992,-4296.151367,328,"#9a96e5"
단순,단순,9,9,18,4,0.419162,0.488095,0.153846,1,-4770.970215,-2425.313965,200,"#9a96e5"
과실,과실,9,9,18,4,0.419162,0.488095,0.153846,1,-5006.133789,-1912.542236,200,"#9a96e5"
자의,자의,17,17,34,4,0.451613,0.554762,67.712821,1,-5817.267578,-1029.632202,456,"#9a96e5"
반경,반경,9,9,18,4,0.419162,0.488095,0.153846,1,-5666.455566,-2317.616211,200,"#9a96e5"
반복,반복,9,9,18,4,0.419162,0.488095,0.153846,1,-4605.84082,-3175.029541,200,"#9a96e5"
동작,동작,9,9,18,4,0.419162,0.488095,0.153846,1,-5473.407715,-3075.031738,200,"#9a96e5"
낙하,낙하,9,9,18,4,0.419162,0.488095,0.153846,1,-6332.162598,-2674.460205,200,"#9a96e5"
근로자,근로자,9,9,18,4,0.460526,0.52381,0,1,-4730.060547,4925.922363,200,"#9a96e5"
미흡,미흡,22,22,44,3,0.551181,0.635714,75.6933,1,-6792.302734,10184.271484,616,"#9a96e5"
결빙,결빙,9,9,18,4,0.460526,0.52381,0,1,-5228.988281,6345.598633,200,"#9a96e5"
위험,위험,20,20,40,3,0.542636,0.621429,63.505638,1,-10261.054688,11466.576172,552,"#9a96e5"
통제,통제,14,14,28,3,0.469799,0.545238,5.756166,1,-6975.543457,17825.939453,360,"#9a96e5"
동부,동부,13,13,26,3,0.44586,0.521429,0,1,-8603.433594,19046.080078,328,"#9a96e5"
원인,원인,15,15,30,3,0.47619,0.554762,9.336902,1,-9984.765625,16910.136719,392,"#9a96e5"
착용,착용,13,13,26,3,0.44586,0.521429,0,1,-10478.230469,19546.347656,328,"#9a96e5"
하부,하부,14,14,28,3,0.451613,0.530952,2.759307,1,-12202.279297,18271.734375,360,"#9a96e5"
확보,확보,14,14,28,3,0.469799,0.545238,5.756166,1,-6631.750977,20552.751953,360,"#9a96e5"
보호,보호,13,13,26,3,0.44586,0.521429,0,1,-9363.966797,21425.855469,328,"#9a96e5"
