Source,Target,Type,Id,Label,Weight,Color
철근,거푸집,Directed,21432,,0.499262,"#000000"
철근,설치,Directed,21433,,0.553137,"#000000"
철근,자재,Directed,21434,,0.397758,"#000000"
철근,이동,Directed,21435,,0.487131,"#000000"
철근,바닥,Directed,21436,,0.447624,"#000000"
철근,안전,Directed,21437,,0.30091,"#000000"
철근,비계,Directed,21438,,0.395551,"#000000"
철근,상부,Directed,21439,,0.150438,"#000000"
철근,고정,Directed,21440,,0.194547,"#000000"
철근,손가락,Directed,21442,,0.24451,"#000000"
철근,상태,Directed,21444,,0.119195,"#000000"
철근,벽체,Directed,21445,,0.232817,"#000000"
철근,유로폼,Directed,21446,,0.116004,"#000000"
철근,미흡,Directed,21448,,0.556773,"#000000"
철근,부주의,Directed,21450,,1.32326,"#000000"
철근,골절,Directed,21452,,0.265193,"#000000"
철근,발목,Directed,21453,,0.054025,"#000000"
철근,오른쪽,Directed,21454,,0.132634,"#000000"
철근,부상,Directed,21455,,0.059129,"#000000"
철근,장갑,Directed,21456,,0.126049,"#000000"
철근,왼쪽,Directed,21457,,0.125585,"#000000"
철근,무릎,Directed,21460,,0.119307,"#000000"
철근,통로,Directed,21465,,0.060192,"#000000"
철근,운반,Directed,21472,,0.348392,"#000000"
철근,배근,Directed,21474,,0.244861,"#000000"
철근,기초,Directed,21476,,0.139615,"#000000"
철근,가공,Directed,21478,,0.19106,"#000000"
철근,실족,Directed,21480,,0.106608,"#000000"
철근,사용,Directed,21483,,0.055998,"#000000"
거푸집,철근,Directed,21497,,0.499262,"#000000"
거푸집,설치,Directed,21498,,0.367659,"#000000"
거푸집,자재,Directed,21499,,0.291306,"#000000"
거푸집,이동,Directed,21500,,0.504994,"#000000"
거푸집,바닥,Directed,21501,,0.355594,"#000000"
거푸집,안전,Directed,21502,,0.280517,"#000000"
거푸집,비계,Directed,21503,,0.249149,"#000000"
거푸집,상부,Directed,21504,,0.142779,"#000000"
거푸집,고정,Directed,21505,,0.149173,"#000000"
거푸집,손가락,Directed,21507,,0.134478,"#000000"
거푸집,상태,Directed,21509,,0.05821,"#000000"
거푸집,벽체,Directed,21510,,0.164003,"#000000"
거푸집,유로폼,Directed,21511,,0.066203,"#000000"
거푸집,미흡,Directed,21513,,0.542306,"#000000"
거푸집,발판,Directed,21516,,0.14859,"#000000"
거푸집,골절,Directed,21517,,0.259856,"#000000"
거푸집,발목,Directed,21518,,0.061937,"#000000"
거푸집,오른쪽,Directed,21519,,0.059711,"#000000"
거푸집,부상,Directed,21520,,0.060178,"#000000"
거푸집,장갑,Directed,21522,,0.046111,"#000000"
거푸집,왼쪽,Directed,21523,,0.06186,"#000000"
거푸집,무릎,Directed,21525,,0.051662,"#000000"
거푸집,통로,Directed,21529,,0.050293,"#000000"
거푸집,이용,Directed,21533,,0.117514,"#000000"
거푸집,이동식,Directed,21535,,0.131943,"#000000"
거푸집,낙상,Directed,21537,,0.055006,"#000000"
거푸집,실족,Directed,21543,,0.092477,"#000000"
거푸집,배관,Directed,21544,,0.194258,"#000000"
거푸집,망치,Directed,21546,,0.052096,"#000000"
거푸집,크레인,Directed,21548,,0.127028,"#000000"
거푸집,인양,Directed,21549,,0.072328,"#000000"
거푸집,합판,Directed,21550,,0.074342,"#000000"
거푸집,사용,Directed,21551,,0.082333,"#000000"
거푸집,추락,Directed,21554,,0.180507,"#000000"
거푸집,시스템,Directed,21557,,0.181509,"#000000"
거푸집,동바리,Directed,21561,,0.156013,"#000000"
거푸집,상호,Directed,21566,,0.177833,"#000000"
거푸집,인조,Directed,21568,,0.095763,"#000000"
거푸집,균형,Directed,21570,,0.963232,"#000000"
거푸집,각목,Directed,21571,,0.260349,"#000000"
거푸집,인써트플레이트,Directed,21572,,0.14983,"#000000"
거푸집,과정,Directed,21573,,0.199134,"#000000"
거푸집,발의,Directed,21575,,0.131753,"#000000"
거푸집,상체,Directed,21576,,0.131564,"#000000"
거푸집,반발력,Directed,21578,,0.127403,"#000000"
설치,철근,Directed,21580,,0.553137,"#000000"
설치,거푸집,Directed,21581,,0.367659,"#000000"
설치,자재,Directed,21582,,0.247803,"#000000"
설치,이동,Directed,21583,,0.553277,"#000000"
설치,바닥,Directed,21584,,0.234702,"#000000"
설치,안전,Directed,21585,,0.157354,"#000000"
설치,비계,Directed,21586,,0.432433,"#000000"
설치,상부,Directed,21587,,0.14883,"#000000"
설치,고정,Directed,21588,,0.12184,"#000000"
설치,손가락,Directed,21591,,0.26147,"#000000"
설치,상태,Directed,21593,,0.058641,"#000000"
설치,벽체,Directed,21594,,0.097484,"#000000"
설치,유로폼,Directed,21595,,0.074336,"#000000"
설치,미흡,Directed,21597,,0.492518,"#000000"
설치,발판,Directed,21599,,0.298057,"#000000"
