Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
철근,철근,29,29,58,3,0.542969,0.595923,121.394335,3,-145.870392,2801.455078,574.509766,"#ea8615"
거푸집,거푸집,45,45,90,3,0.579167,0.653477,722.878896,3,2961.255615,4132.554199,794.117676,"#ea8615"
설치,설치,36,36,72,3,0.553785,0.618705,272.665112,5,-5432.402832,201.040222,670.588257,"#00caff"
자재,자재,38,38,76,2,0.579167,0.636691,433.73202,1,292.262482,278.930969,698.039246,"#5fc613"
이동,이동,60,60,120,2,0.637615,0.715827,1850.418395,1,823.811462,-2594.515625,1000,"#5fc613"
바닥,바닥,40,40,80,3,0.567347,0.635492,495.918129,3,5926.339355,3626.474609,725.490234,"#ea8615"
안전,안전,26,26,52,3,0.528517,0.580336,118.739243,1,-5025.440918,-3628.052002,533.333374,"#5fc613"
비계,비계,34,34,68,3,0.549407,0.611511,207.148868,5,-2425.384277,-650.015137,643.137268,"#00caff"
상부,상부,43,43,86,3,0.58159,0.64988,330.003938,3,-3522.055664,8409.12793,766.666687,"#ea8615"
고정,고정,35,35,70,3,0.532567,0.604317,847.084406,3,11459.333008,3269.081787,656.862793,"#ea8615"
손가락,손가락,28,28,56,3,0.518657,0.579137,162.331148,2,-1446.30481,14126.435547,560.784302,"#ff5c81"
상태,상태,60,60,120,2,0.637615,0.715827,2482.482514,0,-20489.167969,787.779053,1000,"#2e9072"
벽체,벽체,23,23,46,3,0.503623,0.557554,112.164885,3,5502.13916,6209.327637,492.15686,"#ea8615"
유로폼,유로폼,30,30,60,3,0.53876,0.595923,100.310331,3,-7389.713379,12512.257812,588.235291,"#ea8615"
미흡,미흡,47,47,94,3,0.57438,0.655875,1554.675585,0,-300.442749,-7054.688965,821.568665,"#2e9072"
부주의,부주의,31,31,62,3,0.511029,0.581535,319.826743,1,-2258.73291,-4967.393555,601.960815,"#5fc613"
골절,골절,10,10,20,4,0.410029,0.453237,0,3,2469.63501,10448.152344,313.725494,"#ea8615"
발목,발목,32,32,64,3,0.522556,0.591127,691.136664,4,17678.583984,9989.480469,615.686279,"#c686e9"
오른쪽,오른쪽,29,29,58,3,0.514815,0.579137,156.091441,3,7127.774902,18324.851562,574.509766,"#ea8615"
부상,부상,21,21,42,3,0.487719,0.541966,29.145733,3,3433.855225,15108.555664,464.705872,"#ea8615"
