Source,Target,Type,Id,Label,Weight,Color
자의,부주의,Directed,30182,,3.891161,"#000000"
자의,옹벽,Directed,30183,,0.139516,"#000000"
자의,바닥,Directed,30184,,0.255219,"#000000"
자의,절단,Directed,30185,,0.140203,"#000000"
자의,인지,Directed,30186,,0.155874,"#000000"
자의,단순,Directed,30187,,0.119843,"#000000"
자의,용기,Directed,30188,,0.119843,"#000000"
자의,작업중,Directed,30189,,0.119611,"#000000"
자의,신호,Directed,30190,,0.159169,"#000000"
자의,불안전,Directed,30191,,0.278654,"#000000"
자의,행동,Directed,30192,,0.262415,"#000000"
자의,부족,Directed,30194,,0.233456,"#000000"
자의,구간,Directed,30196,,0.075743,"#000000"
자의,낙상,Directed,30197,,0.221653,"#000000"
자의,개인,Directed,30199,,0.494391,"#000000"
자의,미흡,Directed,30201,,0.054757,"#000000"
자의,끼임,Directed,30203,,0.094667,"#000000"
자의,사이,Directed,30204,,0.094603,"#000000"
자의,발목,Directed,30205,,0.083262,"#000000"
자의,실수,Directed,30211,,0.234636,"#000000"
자의,대한,Directed,30212,,0.218993,"#000000"
자의,하치,Directed,30214,,0.178013,"#000000"
자의,의욕,Directed,30215,,0.178013,"#000000"
자의,인동,Directed,30216,,0.178013,"#000000"
자의,자세,Directed,30219,,0.312438,"#000000"
자의,산마루,Directed,30220,,0.184947,"#000000"
자의,무의식,Directed,30221,,0.170018,"#000000"
자의,케이싱,Directed,30222,,0.163093,"#000000"
자의,취급,Directed,30223,,0.131522,"#000000"
자의,자간,Directed,30224,,0.137787,"#000000"
자의,중량,Directed,30225,,0.127069,"#000000"
부주의,자의,Directed,30226,,3.891161,"#000000"
부주의,옹벽,Directed,30227,,0.226354,"#000000"
부주의,바닥,Directed,30228,,0.315785,"#000000"
부주의,절단,Directed,30229,,0.40023,"#000000"
부주의,인지,Directed,30230,,0.243721,"#000000"
부주의,단순,Directed,30231,,0.193565,"#000000"
부주의,용기,Directed,30232,,0.193565,"#000000"
부주의,작업중,Directed,30233,,0.193178,"#000000"
부주의,신호,Directed,30234,,0.381741,"#000000"
부주의,근로자,Directed,30235,,1.843875,"#000000"
부주의,불안전,Directed,30236,,0.871621,"#000000"
부주의,행동,Directed,30237,,0.823088,"#000000"
부주의,이동,Directed,30238,,0.889905,"#000000"
부주의,부족,Directed,30239,,2.171175,"#000000"
부주의,경계,Directed,30240,,0.241624,"#000000"
부주의,자재,Directed,30241,,0.475247,"#000000"
부주의,공유,Directed,30242,,0.237306,"#000000"
부주의,정보,Directed,30243,,0.237306,"#000000"
부주의,낙상,Directed,30247,,1.885686,"#000000"
부주의,개인,Directed,30249,,2.951602,"#000000"
부주의,주위,Directed,30250,,0.672757,"#000000"
부주의,수사,Directed,30251,,0.494782,"#000000"
부주의,램프,Directed,30252,,0.494782,"#000000"
부주의,모름,Directed,30253,,0.494782,"#000000"
부주의,자상,Directed,30254,,0.494782,"#000000"
부주의,사인,Directed,30255,,0.494782,"#000000"
부주의,마기,Directed,30256,,0.494782,"#000000"
부주의,광역,Directed,30257,,0.494782,"#000000"
부주의,암표,Directed,30258,,0.494782,"#000000"
부주의,본인,Directed,30260,,1.977835,"#000000"
부주의,집중,Directed,30261,,1.367508,"#000000"
부주의,미숙,Directed,30262,,1.215907,"#000000"
부주의,당사자,Directed,30263,,1.197988,"#000000"
부주의,혼자,Directed,30264,,1.145579,"#000000"
부주의,마무리,Directed,30265,,1.145579,"#000000"
부주의,암석,Directed,30266,,1.114964,"#000000"
부주의,잘못,Directed,30267,,1.114964,"#000000"
부주의,노면,Directed,30268,,1.093271,"#000000"
부주의,실수,Directed,30275,,0.999003,"#000000"
부주의,대한,Directed,30276,,0.95757,"#000000"
부주의,하치,Directed,30278,,0.874389,"#000000"
부주의,의욕,Directed,30279,,0.874389,"#000000"
부주의,인동,Directed,30280,,0.874389,"#000000"
옹벽,자의,Directed,30284,,0.139516,"#000000"
옹벽,부주의,Directed,30285,,0.226354,"#000000"
옹벽,바닥,Directed,30286,,0.04685,"#000000"
옹벽,절단,Directed,30287,,0.032383,"#000000"
옹벽,인지,Directed,30288,,0.077835,"#000000"
옹벽,단순,Directed,30289,,0.031288,"#000000"
옹벽,용기,Directed,30290,,0.031288,"#000000"
옹벽,작업중,Directed,30291,,0.031302,"#000000"
옹벽,신호,Directed,30292,,0.074718,"#000000"
옹벽,근로자,Directed,30293,,0.150238,"#000000"
옹벽,이동,Directed,30295,,0.072901,"#000000"
옹벽,경계,Directed,30296,,0.026477,"#000000"
옹벽,사면,Directed,30299,,0.023169,"#000000"
옹벽,설치,Directed,30302,,0.026168,"#000000"
옹벽,안전,Directed,30303,,0.024893,"#000000"
옹벽,굴착기,Directed,30304,,0.014823,"#000000"
옹벽,상태,Directed,30306,,0.022049,"#000000"
옹벽,골절,Directed,30308,,0.034495,"#000000"
옹벽,왼쪽,Directed,30309,,0.022188,"#000000"
옹벽,오른쪽,Directed,30310,,0.019745,"#000000"
옹벽,부위,Directed,30314,,0.022478,"#000000"
바닥,자의,Directed,30318,,0.255219,"#000000"
바닥,부주의,Directed,30319,,0.315785,"#000000"
바닥,옹벽,Directed,30320,,0.04685,"#000000"
바닥,절단,Directed,30321,,0.125213,"#000000"
바닥,인지,Directed,30322,,0.089219,"#000000"
바닥,단순,Directed,30323,,0.030013,"#000000"
바닥,용기,Directed,30324,,0.030013,"#000000"
