Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
자의,자의,31,31,62,3,0.574468,0.638889,555.975326,0,4960.179688,17224.017578,823.529419,"#c686e9"
부주의,부주의,43,43,86,3,0.593407,0.685185,2549.735902,0,7719.648926,18246.373047,1000,"#c686e9"
옹벽,옹벽,21,21,42,3,0.521739,0.578704,72.110636,0,710.3255,3944.930908,676.470581,"#c686e9"
바닥,바닥,29,29,58,3,0.542714,0.615741,603.548934,1,833.111877,22675.953125,794.117676,"#00caff"
절단,절단,27,27,54,3,0.537313,0.606481,316.385718,0,-2282.5,10344.304688,764.705933,"#c686e9"
인지,인지,39,39,78,3,0.556701,0.654321,753.287995,1,-4239.273926,20337.734375,941.176514,"#00caff"
단순,단순,11,11,22,3,0.484305,0.523148,5.655483,0,-2291.903076,24236.425781,529.411743,"#c686e9"
용기,용기,11,11,22,3,0.484305,0.523148,5.655483,0,-347.220093,19498.087891,529.411743,"#c686e9"
작업중,작업중,37,37,74,3,0.574468,0.657407,990.910145,5,-16963.308594,-1782.467651,911.764709,"#ea8615"
신호,신호,34,34,68,3,0.556701,0.638889,644.095307,0,9850.700195,5113.647461,867.647095,"#c686e9"
불안전,불안전,21,21,42,3,0.488688,0.557099,67.781807,0,2321.511475,12609.386719,676.470581,"#c686e9"
행동,행동,21,21,42,3,0.488688,0.557099,67.781807,0,2301.388428,14684.119141,676.470581,"#c686e9"
부족,부족,22,22,44,3,0.53202,0.587963,153.819827,0,8543.996094,14764.365234,691.176453,"#c686e9"
구간,구간,26,26,52,3,0.502326,0.58179,176.932057,0,-9411.358398,12613.137695,750,"#c686e9"
낙상,낙상,22,22,44,3,0.53202,0.587963,260.758168,0,6406.499512,14655.984375,691.176453,"#c686e9"
개인,개인,21,21,42,3,0.529412,0.583333,1792.781659,0,12060.834961,19773.328125,676.470581,"#c686e9"
미흡,미흡,32,32,64,3,0.559585,0.634259,641.74262,3,25012.28125,6241.858398,838.235291,"#5fc613"
끼임,끼임,20,20,40,3,0.467532,0.53858,156.290168,3,12566.668945,-12063.705078,661.764709,"#5fc613"
사이,사이,28,28,56,3,0.524272,0.601852,599.064408,3,15600.869141,-4313.633789,779.411743,"#5fc613"
발목,발목,21,21,42,3,0.529412,0.583333,331.838894,0,15697.029297,11168.775391,676.470581,"#c686e9"
실수,실수,13,13,26,3,0.509434,0.546296,22.135968,0,10704.015625,14957.745117,558.823547,"#c686e9"
대한,대한,14,14,28,3,0.511848,0.550926,33.729271,0,9925.658203,16535.912109,573.529419,"#c686e9"
하치,하치,13,13,26,3,0.509434,0.546296,22.135968,0,12938.469727,17481.083984,558.823547,"#c686e9"
의욕,의욕,13,13,26,3,0.509434,0.546296,22.135968,0,12183.760742,15851.503906,558.823547,"#c686e9"
인동,인동,13,13,26,3,0.509434,0.546296,22.135968,0,11205.770508,17661.878906,558.823547,"#c686e9"
자세,자세,13,13,26,3,0.453782,0.506173,0,0,-278.927704,14203.993164,558.823547,"#c686e9"
산마루,산마루,13,13,26,3,0.453782,0.506173,0,0,-1394.965454,12831.464844,558.823547,"#c686e9"
무의식,무의식,13,13,26,3,0.453782,0.506173,0,0,-942.833191,16047.335938,558.823547,"#c686e9"
케이싱,케이싱,13,13,26,3,0.453782,0.506173,0,0,-2331.682373,14561.615234,558.823547,"#c686e9"
취급,취급,13,13,26,3,0.453782,0.506173,0,0,-4474.945801,14908.493164,558.823547,"#c686e9"
자간,자간,13,13,26,3,0.453782,0.506173,0,0,-3698.641846,13000.944336,558.823547,"#c686e9"
중량,중량,13,13,26,3,0.453782,0.506173,0,0,-3048.290771,16436.462891,558.823547,"#c686e9"
근로자,근로자,22,22,44,3,0.524272,0.583333,132.44071,0,5802.912109,11972.049805,691.176453,"#c686e9"
이동,이동,29,29,58,3,0.542714,0.615741,195.564241,0,5017.202148,9297.491211,794.117676,"#c686e9"
경계,경계,23,23,46,3,0.526829,0.587963,110.083967,0,4506.749512,4806.495605,705.882324,"#c686e9"
자재,자재,22,22,44,3,0.502326,0.569444,97.64043,0,2095.633545,9640.746094,691.176453,"#c686e9"
공유,공유,11,11,22,3,0.469565,0.512346,6.925739,0,8182.229492,11107.806641,529.411743,"#c686e9"
정보,정보,11,11,22,3,0.469565,0.512346,6.925739,0,4428.080078,13434.748047,529.411743,"#c686e9"
주위,주위,11,11,22,4,0.435484,0.486883,0,1,5140.44873,22301.371094,529.411743,"#00caff"
수사,수사,11,11,22,4,0.435484,0.486883,0,1,5612.669922,24750.234375,529.411743,"#00caff"
램프,램프,11,11,22,4,0.435484,0.486883,0,1,7210.098633,24832.417969,529.411743,"#00caff"
모름,모름,11,11,22,4,0.435484,0.486883,0,1,5878.652832,26248.195312,529.411743,"#00caff"
자상,자상,11,11,22,4,0.435484,0.486883,0,1,4525.646484,23814.308594,529.411743,"#00caff"
사인,사인,11,11,22,4,0.435484,0.486883,0,1,3531.001221,22629.748047,529.411743,"#00caff"
마기,마기,11,11,22,4,0.435484,0.486883,0,1,3136.289307,24529.519531,529.411743,"#00caff"
광역,광역,11,11,22,4,0.435484,0.486883,0,1,6363.898926,23377.929688,529.411743,"#00caff"
암표,암표,11,11,22,4,0.435484,0.486883,0,1,4223.888184,25703.929688,529.411743,"#00caff"
본인,본인,9,9,18,4,0.384342,0.434414,0,2,7885.673828,20223.195312,500,"#2e9072"
집중,집중,9,9,18,4,0.384342,0.434414,0,2,9026.77832,19773.583984,500,"#2e9072"
미숙,미숙,9,9,18,4,0.384342,0.434414,0,2,6550.441895,20075.320312,500,"#2e9072"
당사자,당사자,9,9,18,4,0.384342,0.434414,0,2,9925.327148,18929.837891,500,"#2e9072"
혼자,혼자,9,9,18,4,0.384342,0.434414,0,2,8185.286621,22005.597656,500,"#2e9072"
마무리,마무리,9,9,18,4,0.384342,0.434414,0,2,7120.597168,21241.511719,500,"#2e9072"
암석,암석,9,9,18,4,0.384342,0.434414,0,2,10125.082031,20403.609375,500,"#2e9072"
잘못,잘못,9,9,18,4,0.384342,0.434414,0,2,8864.183594,20981.171875,500,"#2e9072"
노면,노면,9,9,18,4,0.384342,0.434414,0,2,9839.533203,21771.1875,500,"#2e9072"
사면,사면,19,19,38,3,0.495413,0.555556,28.625754,1,-6267.811523,1021.434875,647.058838,"#00caff"
설치,설치,34,34,68,3,0.54,0.62963,230.55405,3,-9848.93457,-14118.400391,867.647095,"#5fc613"
안전,안전,32,32,64,3,0.534653,0.62037,253.420899,3,26789.958984,-2058.59375,838.235291,"#5fc613"
굴착기,굴착기,34,34,68,3,0.54,0.62963,324.966795,3,25158.789062,-25734.107422,867.647095,"#5fc613"
상태,상태,23,23,46,3,0.484305,0.560185,56.662816,3,9811.306641,-3183.394043,705.882324,"#5fc613"
골절,골절,14,14,28,3,0.490909,0.537037,7.528769,3,-543.691772,-2460.35791,573.529419,"#5fc613"
왼쪽,왼쪽,19,19,38,3,0.502326,0.560185,95.611071,3,-403.002869,-11700.960938,647.058838,"#5fc613"
오른쪽,오른쪽,15,15,30,3,0.493151,0.541667,9.772564,3,-5969.955566,-6269.028809,588.235291,"#5fc613"
부위,부위,27,27,54,3,0.521739,0.597222,538.629815,5,-22731.503906,-15624.682617,764.705933,"#ea8615"
부상,부상,14,14,28,3,0.490909,0.537037,8.528643,3,-3717.240234,-2984.019531,573.529419,"#5fc613"
우측,우측,24,24,48,3,0.514286,0.583333,94.142939,3,5207.135742,-11467.088867,720.588257,"#5fc613"
위치,위치,23,23,46,3,0.511848,0.578704,106.383925,3,27293.318359,-19437.921875,705.882324,"#5fc613"
보행,보행,13,13,26,3,0.461538,0.512346,4.669776,1,-3960.53833,7208.587891,558.823547,"#00caff"
균형,균형,13,13,26,3,0.461538,0.512346,4.669776,1,-2485.88208,5308.450684,558.823547,"#00caff"
증가,증가,13,13,26,3,0.461538,0.512346,4.669776,1,-7219.204102,8010.114258,558.823547,"#00caff"
장애물,장애물,13,13,26,3,0.461538,0.512346,4.669776,1,-6355.407227,5212.381348,558.823547,"#00caff"
운전,운전,19,19,38,3,0.469565,0.537037,25.249371,3,21301.666016,-9736.233398,647.058838,"#5fc613"
벌목,벌목,11,11,22,4,0.387097,0.443673,8.982123,5,-25376.976562,-24970.121094,529.411743,"#ea8615"
