Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,X,Y,Size,Color
비계,비계,37,37,74,3,0.545775,0.607527,218.51629,0,1304.009521,3395.541016,820,"#d97dd8"
거푸집,거푸집,66,66,132,2,0.635246,0.712903,1827.34986,0,6456.486328,-4643.154785,1255,"#d97dd8"
바닥,바닥,43,43,86,2,0.580524,0.63871,333.036924,0,1780.125977,-4196.199219,910,"#d97dd8"
철거,철거,69,69,138,2,0.643154,0.722581,1553.97561,0,-5059.943848,3576.455322,1300,"#d97dd8"
작업중,작업중,57,57,114,3,0.598456,0.677419,876.725359,0,-7261.209473,-22618.835938,1120,"#d97dd8"
발판,발판,56,56,112,2,0.610236,0.680645,830.104428,1,9947.618164,7565.638672,1105,"#8cb900"
자재,자재,52,52,104,3,0.59387,0.664516,919.784276,1,10059.19043,781.756897,1045,"#8cb900"
추락,추락,60,60,120,2,0.62,0.693548,792.255947,0,-285.170258,8613.279297,1165,"#d97dd8"
이동,이동,26,26,52,3,0.520134,0.568817,83.953936,0,3025.165771,5929.060547,655,"#d97dd8"
정리,정리,48,48,96,2,0.591603,0.654839,851.373109,0,5215.910645,-634.431702,985,"#d97dd8"
고리,고리,45,45,90,3,0.549645,0.626882,452.072018,3,3137.754883,24173.107422,940,"#00c7ff"
동바리,동바리,45,45,90,3,0.569853,0.637634,422.550412,0,-2466.164551,-16723.103516,940,"#d97dd8"
사다리,사다리,37,37,74,3,0.557554,0.613978,290.56448,0,16671.980469,-2715.253906,820,"#d97dd8"
지지,지지,42,42,84,3,0.553571,0.622581,401.752383,0,11930.712891,13428.536133,895,"#d97dd8"
벽체,벽체,20,20,40,3,0.498392,0.541935,20.416442,0,-4558.763672,-3397.004639,565,"#d97dd8"
콘크리트,콘크리트,12,12,24,3,0.476923,0.509677,4.209642,0,-5558.016113,-1495.35498,445,"#d97dd8"
낙하,낙하,44,44,88,3,0.567766,0.634409,484.507422,0,-10309.28418,3727.390869,925,"#d97dd8"
공사,공사,38,38,76,3,0.555556,0.615054,402.566476,0,-9045.470703,-3449.494141,835,"#d97dd8"
적벽,적벽,10,10,20,3,0.472561,0.502151,0.117647,0,-1010.245728,-1657.689697,415,"#d97dd8"
시공,시공,11,11,22,3,0.47546,0.506452,7.341834,0,-1039.89978,-3257.446777,430,"#d97dd8"
하부,하부,65,65,130,3,0.61753,0.703226,1290.165039,4,-23564.734375,-5706.848145,1240,"#ff7045"
좌측,좌측,42,42,84,3,0.565693,0.629032,200.697052,0,-12736.716797,-522.320435,895,"#d97dd8"
부위,부위,37,37,74,3,0.545775,0.607527,359.22891,0,-2979.751221,-6244.774414,820,"#d97dd8"
