,이동,자재,운반,비계,사용,철근,주위,설치,단독,손가락,단순,과실,자의,반경,반복,동작,낙하,부주의,배관,배근,근로자,미흡,부주의,행동,결빙,질병,불안전,방법,위험,불량,부주의,돌풍,기술,자재,임목,중량,렌탈,철골,난간,발판,부주의,자의,불안전,개인,행동,부족,판단,자세,평재,인지,자재,이동,균형,운반,년월,트러스,설치,혼합,소속,압송,이동,보행,뒷걸음,잔돌,바닥상태,헛딛음,물체,지정,통행,주위,미흡,통제,주변,동부,원인,착용,하부,구간,확보,보호,철골,안전,설치,자재,추락,이동,데크,바닥,체결,철근
이동,0.0,0.03346947443509155,0.20752884185378562,0.06112151104989322,0.06010957960005171,0.028484044006705605,0.052480363295872225,0.03533823289125952,0.053139893616732256,0.052492462873350465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03346947443509155,0.0,0.0,0.0,0.03829041748883421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03346947443509155,0.0,0.20776235408185334,0.20752884185378562,0.16473453786777315,0.15870733166721113,0.03533823289125952,0.1456811421459951,0.1456811421459951,0.1456811421459951,0.0,0.2248940556582827,0.16328441822208947,0.16328441822208947,0.16328441822208947,0.16328441822208947,0.15053911298648287,0.1427644585028468,0.1329756949313085,0.052480363295872225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03829041748883421,0.035746465018647165,0.03533823289125952,0.03346947443509155,0.03247480979978885,0.0,0.029691928227734934,0.04457437879086373,0.028545687660475577,0.028484044006705605
자재,0.03346947443509155,0.0,0.048853962157607386,0.04365914386182406,0.057169123939621994,0.02752451541458901,0.051829402617599364,0.04064405720859081,0.05019943795630254,0.049552007212920746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.731401475689466,0.0,0.0,0.0,0.0,0.731401475689466,0.0,0.0,0.0,0.0,0.0,0.0,0.0308152332018623,0.731401475689466,0.151044577054986,0.14572453885065195,0.0,0.13289377940312647,0.06928263514436528,0.043385494647434235,0.03956377563267998,0.04242558673799816,0.03831568142763082,0.731401475689466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03346947443509155,0.10869556168350276,0.048853962157607386,0.07166878152443855,0.06868037792223414,0.04064405720859081,0.05646773613002535,0.05646773613002535,0.05646773613002535,0.03346947443509155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051829402617599364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03956377563267998,0.038729674840273814,0.04064405720859081,0.0,0.028123529684582052,0.03346947443509155,0.032675138049361584,0.03165818534671323,0.031528897482102226,0.02752451541458901
운반,0.20752884185378562,0.048853962157607386,0.0,0.0447626440750335,0.05261695447476556,0.04733636170647729,0.04727723315274293,0.04219371599555075,0.04564726849144611,0.044999837748064306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031205822636141505,0.0,0.0,0.0,0.048853962157607386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048853962157607386,0.20752884185378562,0.12831082863952487,0.0,0.08228965903062718,0.07927938490045872,0.04219371599555075,0.06474376117644273,0.06474376117644273,0.06474376117644273,0.20752884185378562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04727723315274293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04219371599555075,0.048853962157607386,0.025207948992060882,0.20752884185378562,0.0,0.0,0.0,0.04733636170647729
비계,0.06112151104989322,0.04365914386182406,0.0447626440750335,0.0,0.036591403499068254,0.046846122637413,0.04678699408367864,0.042957827669854974,0.025098223861166655,0.026991512137489022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014572531324467168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024858209138441268,0.0,0.029675693952817543,0.0,0.0,0.0,0.04365914386182406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04365914386182406,0.06112151104989322,0.09842308520771142,0.0447626440750335,0.06308443251896184,0.059376969646734064,0.042957827669854974,0.045452265823704555,0.045452265823704555,0.045452265823704555,0.06112151104989322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678699408367864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042957827669854974,0.04365914386182406,0.03833411338423301,0.06112151104989322,0.02143914982394985,0.0,0.0,0.046846122637413
사용,0.06010957960005171,0.057169123939621994,0.05261695447476556,0.036591403499068254,0.0,0.045834191187571496,0.045775062633837134,0.04549491392825776,0.03006570610340752,0.03507845774357151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01667550431290748,0.0,0.0,0.0,0.03395365639822688,0.0,0.029438755195469745,0.032365994645388155,0.026809804577609037,0.0,0.0,0.0,0.0,0.0,0.057169123939621994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032365994645388155,0.05688511440941863,0.03395365639822688,0.051580752618783636,0.043097837958579084,0.047205776978838536,0.0364746028922883,0.04504682971219977,0.057169123939621994,0.06010957960005171,0.0,0.05261695447476556,0.0,0.0,0.04549491392825776,0.0,0.0,0.0,0.06010957960005171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045775062633837134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03658817413783085,0.0,0.0,0.0,0.0,0.04549491392825776,0.057169123939621994,0.03617180102649838,0.06010957960005171,0.028130661175466386,0.0,0.0,0.045834191187571496
철근,0.028484044006705605,0.02752451541458901,0.04733636170647729,0.046846122637413,0.045834191187571496,0.0,0.04049446986554886,0.03333601228450022,0.020417579155002388,0.021413497107751353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03643079470792645,0.0,0.011917896889276934,0.0,0.0,0.03643079470792645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03643079470792645,0.08029789441593413,0.07621254185341922,0.02752451541458901,0.06663492043160482,0.06109936236801955,0.0660351354628967,0.062131284046396264,0.06076911374172709,0.04864184568799294,0.03643079470792645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02752451541458901,0.028484044006705605,0.0,0.04733636170647729,0.0,0.0,0.03333601228450022,0.0,0.0,0.0,0.028484044006705605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04049446986554886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062131284046396264,0.033744244411887864,0.03333601228450022,0.02752451541458901,0.030472589193029545,0.028484044006705605,0.017775762828019487,0.02667275491832729,0.026543467053716276,0.0
주위,0.052480363295872225,0.051829402617599364,0.04727723315274293,0.04678699408367864,0.045775062633837134,0.04049446986554886,0.0,0.04015519260623514,0.038805376650517684,0.03815794590713588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051829402617599364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.051829402617599364,0.052480363295872225,0.0,0.04727723315274293,0.0,0.0,0.04015519260623514,0.0,0.0,0.0,0.052480363295872225,0.21525673727589675,0.15237262085489395,0.15237262085489395,0.15237262085489395,0.15237262085489395,0.14040775686878948,0.13240386031209905,0.12250013648601943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04015519260623514,0.051829402617599364,0.0,0.052480363295872225,0.0,0.03256876838819282,0.0,0.04049446986554886
설치,0.03533823289125952,0.04064405720859081,0.04219371599555075,0.042957827669854974,0.04549491392825776,0.03333601228450022,0.04015519260623514,0.0,0.03852522794493831,0.03787779720155651,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029933127882785907,0.0,0.0,0.0,0.04064405720859081,0.0,0.0,0.0,0.04314238576662882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04064405720859081,0.03533823289125952,0.10391716078783776,0.04219371599555075,0.06628812516072517,0.061963123782658926,0.0,0.0478714224080564,0.0478714224080564,0.0478714224080564,0.03533823289125952,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04015519260623514,0.0,0.0,0.040273382210233216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04314238576662882,0.04059843329644178,0.0,0.04064405720859081,0.029672858823950325,0.03533823289125952,0.03454389650552955,0.0335269438028812,0.0171053262516127,0.03333601228450022
단독,0.053139893616732256,0.05019943795630254,0.04564726849144611,0.025098223861166655,0.03006570610340752,0.020417579155002388,0.038805376650517684,0.03852522794493831,0.0,0.030805140419637167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016775530832064598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020074570155726508,0.0,0.0,0.0,0.0,0.0,0.05019943795630254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05019943795630254,0.053139893616732256,0.0,0.04564726849144611,0.0,0.0,0.03852522794493831,0.0,0.0,0.0,0.053139893616732256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038805376650517684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03852522794493831,0.05019943795630254,0.020082850728691967,0.053139893616732256,0.02047780877170274,0.0,0.0,0.020417579155002388
손가락,0.052492462873350465,0.049552007212920746,0.044999837748064306,0.026991512137489022,0.03507845774357151,0.021413497107751353,0.03815794590713588,0.03787779720155651,0.030805140419637167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009630317844014163,0.017088751634259703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049552007212920746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049552007212920746,0.052492462873350465,0.0,0.044999837748064306,0.0,0.0,0.03787779720155651,0.0,0.0,0.0,0.052492462873350465,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03815794590713588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024879382005299065,0.03787779720155651,0.049552007212920746,0.028851478325259732,0.052492462873350465,0.030446419384494994,0.0,0.021020940081988192,0.021413497107751353
