Source,Target,Type,Id,Label,Weight,Color
이동,자재,Directed,19224,,0.535512,"#000000"
이동,운반,Directed,19225,,1.660231,"#000000"
이동,비계,Directed,19226,,0.244486,"#000000"
이동,사용,Directed,19227,,0.240438,"#000000"
이동,철근,Directed,19228,,0.227872,"#000000"
이동,주위,Directed,19229,,0.419843,"#000000"
이동,설치,Directed,19230,,0.424059,"#000000"
이동,단독,Directed,19231,,0.21256,"#000000"
이동,손가락,Directed,19232,,0.20997,"#000000"
이동,철골,Directed,19234,,0.306323,"#000000"
이동,균형,Directed,19236,,0.831049,"#000000"
이동,년월,Directed,19238,,0.658938,"#000000"
이동,트러스,Directed,19239,,0.634829,"#000000"
이동,혼합,Directed,19241,,0.582725,"#000000"
이동,소속,Directed,19242,,0.582725,"#000000"
이동,압송,Directed,19243,,0.582725,"#000000"
이동,보행,Directed,19244,,0.899576,"#000000"
이동,뒷걸음,Directed,19245,,0.653138,"#000000"
이동,잔돌,Directed,19246,,0.653138,"#000000"
이동,바닥상태,Directed,19247,,0.653138,"#000000"
이동,헛딛음,Directed,19248,,0.653138,"#000000"
이동,물체,Directed,19249,,0.602156,"#000000"
이동,지정,Directed,19250,,0.571058,"#000000"
이동,통행,Directed,19251,,0.531903,"#000000"
이동,안전,Directed,19254,,0.142986,"#000000"
이동,추락,Directed,19257,,0.129899,"#000000"
이동,데크,Directed,19258,,0.118768,"#000000"
이동,바닥,Directed,19259,,0.178298,"#000000"
이동,체결,Directed,19260,,0.114183,"#000000"
자재,이동,Directed,19262,,0.535512,"#000000"
자재,운반,Directed,19263,,0.390832,"#000000"
자재,비계,Directed,19264,,0.174637,"#000000"
자재,사용,Directed,19265,,0.228676,"#000000"
자재,철근,Directed,19266,,0.220196,"#000000"
자재,주위,Directed,19267,,0.414635,"#000000"
자재,설치,Directed,19268,,0.487729,"#000000"
자재,단독,Directed,19269,,0.200798,"#000000"
자재,손가락,Directed,19270,,0.198208,"#000000"
자재,부주의,Directed,19271,,11.702424,"#000000"
자재,불량,Directed,19273,,0.123261,"#000000"
자재,돌풍,Directed,19275,,0.604178,"#000000"
자재,기술,Directed,19276,,0.582898,"#000000"
자재,임목,Directed,19277,,0.531575,"#000000"
자재,중량,Directed,19278,,0.277131,"#000000"
자재,렌탈,Directed,19279,,0.173542,"#000000"
자재,철골,Directed,19280,,0.31651,"#000000"
자재,난간,Directed,19281,,0.169702,"#000000"
자재,발판,Directed,19282,,0.153263,"#000000"
자재,균형,Directed,19285,,0.434782,"#000000"
자재,년월,Directed,19287,,0.286675,"#000000"
자재,트러스,Directed,19288,,0.274722,"#000000"
자재,혼합,Directed,19290,,0.225871,"#000000"
자재,소속,Directed,19291,,0.225871,"#000000"
자재,압송,Directed,19292,,0.225871,"#000000"
자재,안전,Directed,19296,,0.154919,"#000000"
자재,추락,Directed,19298,,0.112494,"#000000"
자재,데크,Directed,19300,,0.130701,"#000000"
자재,바닥,Directed,19301,,0.126633,"#000000"
자재,체결,Directed,19302,,0.126116,"#000000"
운반,이동,Directed,19304,,1.660231,"#000000"
운반,자재,Directed,19305,,0.390832,"#000000"
운반,비계,Directed,19306,,0.089525,"#000000"
운반,사용,Directed,19307,,0.105234,"#000000"
운반,철근,Directed,19308,,0.189345,"#000000"
운반,주위,Directed,19309,,0.189109,"#000000"
운반,설치,Directed,19310,,0.253162,"#000000"
운반,단독,Directed,19311,,0.091295,"#000000"
운반,손가락,Directed,19312,,0.09,"#000000"
운반,불량,Directed,19313,,0.062412,"#000000"
운반,균형,Directed,19317,,0.256622,"#000000"
운반,년월,Directed,19318,,0.164579,"#000000"
운반,트러스,Directed,19319,,0.158559,"#000000"
운반,혼합,Directed,19321,,0.129488,"#000000"
운반,소속,Directed,19322,,0.129488,"#000000"
운반,압송,Directed,19323,,0.129488,"#000000"
운반,추락,Directed,19328,,0.050416,"#000000"
비계,이동,Directed,19331,,0.244486,"#000000"
비계,자재,Directed,19332,,0.174637,"#000000"
비계,운반,Directed,19333,,0.089525,"#000000"
비계,사용,Directed,19334,,0.036591,"#000000"
비계,철근,Directed,19335,,0.093692,"#000000"
비계,주위,Directed,19336,,0.093574,"#000000"
비계,설치,Directed,19337,,0.128873,"#000000"
비계,단독,Directed,19338,,0.025098,"#000000"
비계,손가락,Directed,19339,,0.026992,"#000000"
비계,배근,Directed,19340,,0.014573,"#000000"
비계,방법,Directed,19341,,0.024858,"#000000"
비계,불량,Directed,19342,,0.029676,"#000000"
비계,균형,Directed,19346,,0.098423,"#000000"
비계,년월,Directed,19348,,0.063084,"#000000"
비계,트러스,Directed,19349,,0.059377,"#000000"
비계,혼합,Directed,19351,,0.045452,"#000000"
비계,소속,Directed,19352,,0.045452,"#000000"
비계,압송,Directed,19353,,0.045452,"#000000"
비계,추락,Directed,19358,,0.038334,"#000000"
비계,데크,Directed,19360,,0.021439,"#000000"
사용,이동,Directed,19362,,0.240438,"#000000"
사용,자재,Directed,19363,,0.228676,"#000000"
사용,운반,Directed,19364,,0.105234,"#000000"
사용,비계,Directed,19365,,0.036591,"#000000"
사용,철근,Directed,19366,,0.091668,"#000000"
사용,주위,Directed,19367,,0.09155,"#000000"
사용,설치,Directed,19368,,0.136485,"#000000"
사용,단독,Directed,19369,,0.030066,"#000000"
