,철근,거푸집,설치,자재,이동,바닥,안전,비계,상부,고정,철근,거푸집,손가락,자재,상태,벽체,유로폼,바닥,미흡,설치,부주의,자의,과실,단순,불안전,행동,이동,자세,개인,발판,골절,발목,오른쪽,부상,철근,장갑,왼쪽,거푸집,손가락,무릎,근로자,부주의,행동,불안전,미흡,이동,안전,통로,자재,비계,계단,사다리,이동,이용,설치,이동식,비계,승강,난간,낙상,미흡,질병,질환,원인,골격계,개인,심근경색,주시,전방,피로,철근,운반,자재,배근,이동,기초,상부,가공,부주의,실족,콘크리트,펌프,배관,바닥,호스,잔재,분배,망치,이동,철근콘크리트,호수,물이,신호,빗물,크레인,타워,인양,운전,바람,유도,목재,절단,톱날,합판,스킬,나무,공용,사용,가공,원형,안전,난간,보호,의식,설치,준수,부족,미착,시설,추락,운전,차량,트리,아웃,지게차,추락사고,크레인,트럭,적재,주차장,포트,펌프,레미콘,차량,고정,호퍼,호스,후진,슈트,압력,시스템,발판,비계,설치,동바리,이동식,추락,실족,이동,거푸집,안경,미착,착용,램프,보호,지급,안전모,개인,안구,일체,의사소통,신호,자간,소통,상호,부재,미흡,체계,인조,일치,교육,안전교육,미흡,대한,방법,외국인,요인,부족,관리,장소,균형,각목,인써트플레이트,과정,벽체,발의,상체,배관,반발력,바닥,관리,자의,감독,부재,관리자,협조,부공,행정,결정,관계자
철근,0.0,0.031203890216282663,0.02765685417429595,0.024859864482547504,0.017397538861973427,0.027976485303270765,0.025075853560179242,0.024721959745678507,0.018804706577258426,0.024318349336191855,0.0,0.031203890216282663,0.030563774200393974,0.024859864482547504,0.029798795309953836,0.029102069555524624,0.029001015343209258,0.027976485303270765,0.027838634304925405,0.02765685417429595,0.11027162929878936,0.0,0.0,0.0,0.0,0.0,0.017397538861973427,0.0,0.0,0.0,0.06629832817063319,0.013506365130859376,0.03315851043608696,0.014782331185054247,0.0,0.03151216876686055,0.03139621040667112,0.031203890216282663,0.030563774200393974,0.02982679345654013,0.0,0.11027162929878936,0.0,0.0,0.027838634304925405,0.017397538861973427,0.025075853560179242,0.015047926151164787,0.024859864482547504,0.024721959745678507,0.0,0.0,0.017397538861973427,0.0,0.02765685417429595,0.0,0.024721959745678507,0.0,0.0,0.0,0.027838634304925405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0870979078412765,0.024859864482547504,0.06121512647939819,0.017397538861973427,0.03490366167021712,0.018804706577258426,0.023882535518201083,0.11027162929878936,0.013326038154760356,0.0,0.0,0.0,0.027976485303270765,0.0,0.0,0.0,0.0,0.017397538861973427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013999419860626918,0.023882535518201083,0.0,0.025075853560179242,0.0,0.0,0.0,0.02765685417429595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024318349336191855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024721959745678507,0.02765685417429595,0.0,0.0,0.0,0.013326038154760356,0.017397538861973427,0.031203890216282663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027838634304925405,0.0,0.0,0.0,0.0,0.0,0.027838634304925405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029102069555524624,0.0,0.0,0.0,0.0,0.027976485303270765,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
거푸집,0.031203890216282663,0.0,0.018382934960714113,0.01820665039117039,0.018035507066242563,0.02222463417128583,0.023376419994340605,0.015571818012749006,0.017847410636589473,0.018646632446991766,0.031203890216282663,0.0,0.01680971428390643,0.01820665039117039,0.014552607494531654,0.02050036185641221,0.016550662772544796,0.02222463417128583,0.027115293946681295,0.018382934960714113,0.0,0.0,0.0,0.0,0.0,0.0,0.018035507066242563,0.0,0.0,0.018573725986324525,0.06496391961647681,0.01548422227844332,0.01492785706717968,0.015044386477438939,0.031203890216282663,0.011527690313694659,0.015464950141903038,0.0,0.01680971428390643,0.01291554630647443,0.0,0.0,0.0,0.0,0.027115293946681295,0.018035507066242563,0.023376419994340605,0.01257320008861744,0.01820665039117039,0.015571818012749006,0.0,0.0,0.018035507066242563,0.029378611076087247,0.018382934960714113,0.0164928428105084,0.015571818012749006,0.0,0.0,0.013751456189732546,0.027115293946681295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031203890216282663,0.0,0.01820665039117039,0.0,0.018035507066242563,0.0,0.017847410636589473,0.0,0.0,0.011559681342033811,0.0,0.0,0.024282250591987294,0.02222463417128583,0.0,0.0,0.0,0.013024108529029499,0.018035507066242563,0.0,0.0,0.0,0.0,0.0,0.01587848427097834,0.0,0.018081910349415437,0.0,0.0,0.0,0.0,0.0,0.0,0.018585622915889825,0.0,0.0,0.0,0.02058313454023672,0.0,0.0,0.023376419994340605,0.0,0.0,0.0,0.018382934960714113,0.0,0.0,0.0,0.0,0.022563429363349246,0.0,0.0,0.0,0.0,0.0,0.0,0.01587848427097834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018646632446991766,0.0,0.0,0.0,0.0,0.0,0.04537716683243794,0.018573725986324525,0.015571818012749006,0.018382934960714113,0.03900332528212855,0.0164928428105084,0.022563429363349246,0.011559681342033811,0.018035507066242563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04445829217934116,0.0,0.027115293946681295,0.0,0.023940829242304857,0.0,0.0,0.0,0.027115293946681295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24080800374923875,0.06508736684687345,0.037457529948894744,0.049783458843126814,0.02050036185641221,0.032938143285622265,0.032890938511594185,0.024282250591987294,0.03185072056854435,0.02222463417128583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
설치,0.02765685417429595,0.018382934960714113,0.0,0.012390167129934286,0.015807925762963616,0.011735075992126658,0.010490267326266327,0.021621674495739276,0.014883041413048663,0.012183961411836506,0.02765685417429595,0.018382934960714113,0.026147010779903286,0.012390167129934286,0.011728229786357566,0.009748414796151662,0.014867232358188851,0.011735075992126658,0.019700719649245396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015807925762963616,0.0,0.0,0.029805722502018142,0.0,0.0,0.0,0.0,0.02765685417429595,0.0,0.0,0.018382934960714113,0.026147010779903286,0.0,0.0,0.0,0.0,0.0,0.019700719649245396,0.015807925762963616,0.010490267326266327,0.014919220015441065,0.012390167129934286,0.021621674495739276,0.14820726573165688,0.12689772877714717,0.015807925762963616,0.019794984786370443,0.0,0.02428714957236684,0.021621674495739276,0.03445178131271551,0.015638240807903117,0.02015677746501685,0.019700719649245396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02765685417429595,0.0,0.012390167129934286,0.0,0.015807925762963616,0.0,0.014883041413048663,0.0,0.0,0.02141326715723196,0.0,0.0,0.013647391308154068,0.011735075992126658,0.0,0.0,0.0,0.0,0.015807925762963616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01665576626089896,0.0,0.0,0.010490267326266327,0.015638240807903117,0.06527306688922704,0.019974474412840663,0.0,0.019574534653555478,0.056079928807837756,0.05373681803584245,0.018005718429391766,0.030770261307622095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012183961411836506,0.0,0.0,0.0,0.0,0.0,0.09160624105465451,0.029805722502018142,0.021621674495739276,0.0,0.05342500038183175,0.02428714957236684,0.030770261307622095,0.02141326715723196,0.015807925762963616,0.018382934960714113,0.0,0.05373681803584245,0.0,0.0,0.06527306688922704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019700719649245396,0.0,0.0,0.0,0.0,0.0,0.019700719649245396,0.0,0.0,0.0,0.0,0.056079928807837756,0.0,0.0,0.0,0.0,0.0,0.02923735472225821,0.009748414796151662,0.0,0.0,0.013647391308154068,0.0,0.011735075992126658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
자재,0.024859864482547504,0.01820665039117039,0.012390167129934286,0.0,0.021995207977513583,0.01572966005077969,0.029676929588870325,0.009916054475804102,0.020758776925519428,0.011382771445366762,0.024859864482547504,0.01820665039117039,0.01275570097975118,0.0,0.01309479027488527,0.011973442493534527,0.01190052060359146,0.01572966005077969,0.03556964502304813,0.012390167129934286,0.050346700216455896,0.0,0.0,0.0,0.0391172776357687,0.042543884447894975,0.021995207977513583,0.0,0.0,0.012647542997995339,0.0,0.016147513478315008,0.0,0.014347308533804042,0.024859864482547504,0.0,0.012953780418429909,0.01820665039117039,0.01275570097975118,0.0,0.12961896586166435,0.050346700216455896,0.042543884447894975,0.0391172776357687,0.03556964502304813,0.021995207977513583,0.029676929588870325,0.01854179760563186,0.0,0.009916054475804102,0.0,0.0,0.021995207977513583,0.019445033518822777,0.012390167129934286,0.0,0.009916054475804102,0.0,0.0,0.0,0.03556964502304813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014078498572486348,0.0,0.024859864482547504,0.07560148298310469,0.0,0.048002709262783036,0.021995207977513583,0.02767299456627822,0.020758776925519428,0.02124229838200228,0.050346700216455896,0.014311591505481674,0.0,0.0,0.013100759930035271,0.01572966005077969,0.0,0.0,0.0,0.0,0.021995207977513583,0.0,0.0,0.0,0.0,0.0,0.015794923585796587,0.0,0.0172469717083336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020608977336547245,0.02124229838200228,0.0,0.029676929588870325,0.0,0.0,0.0,0.012390167129934286,0.0,0.0,0.0,0.0,0.016151175232109554,0.0,0.0,0.0,0.0,0.018091610479446987,0.0,0.015794923585796587,0.0,0.021586911409767907,0.0,0.0,0.0,0.0,0.0,0.011382771445366762,0.0,0.0,0.0,0.0,0.0,0.0,0.012647542997995339,0.009916054475804102,0.012390167129934286,0.0,0.0,0.016151175232109554,0.014311591505481674,0.021995207977513583,0.01820665039117039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03556964502304813,0.0,0.0,0.0,0.0,0.0,0.03556964502304813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03534241536005939,0.011973442493534527,0.0,0.0,0.013100759930035271,0.0,0.01572966005077969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
이동,0.017397538861973427,0.018035507066242563,0.015807925762963616,0.021995207977513583,0.0,0.01478417006756587,0.03625852906069989,0.013706779741059013,0.01879375394657227,0.011914702395218463,0.017397538861973427,0.018035507066242563,0.0,0.021995207977513583,0.01628257920367222,0.01058164038334327,0.013791872332057087,0.01478417006756587,0.0421512444948777,0.015807925762963616,0.07658879867960969,0.10654578729513227,0.042230192242817835,0.08167323716701652,0.0344921550121507,0.028829789579357955,0.0,0.023913838945460064,0.05125905308712732,0.018607895067508522,0.0,0.017270804560821026,0.011697996658981644,0.014488314466708414,0.017397538861973427,0.0,0.012840490774385756,0.018035507066242563,0.0,0.010481046536578274,0.05085316388904982,0.07658879867960969,0.028829789579357955,0.0344921550121507,0.0421512444948777,0.0,0.03625852906069989,0.022488286273953564,0.021995207977513583,0.013706779741059013,0.062323581463820915,0.053008547818641005,0.0,0.02184126682589223,0.015807925762963616,0.014861444716265612,0.013706779741059013,0.017020737774306516,0.04128321145411806,0.01625543526033493,0.0421512444948777,0.0,0.0,0.0,0.0,0.05125905308712732,0.0,0.013815400618351355,0.01680554740455995,0.0,0.017397538861973427,0.05547614368448434,0.021995207977513583,0.03395363195762271,0.0,0.02113892591176455,0.01879375394657227,0.01360240788982144,0.07658879867960969,0.01692037639638797,0.14317131549667914,0.04688949179719982,0.013835768764787235,0.01478417006756587,0.029193465905977642,0.02804802100846514,0.0262299493611408,0.012294184646425312,0.0,0.0247916412209671,0.0,0.0,0.0,0.0,0.0,0.0,0.01440418829995214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022212316325761698,0.01360240788982144,0.0,0.03625852906069989,0.04128321145411806,0.0,0.0,0.015807925762963616,0.0,0.01875740808112416,0.0,0.014166630264479197,0.02104044427085613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020944668118617577,0.0,0.0,0.04688949179719982,0.0,0.0,0.011914702395218463,0.0,0.029193465905977642,0.0,0.0,0.0,0.04272640737911469,0.018607895067508522,0.013706779741059013,0.015807925762963616,0.029545922600963427,0.014861444716265612,0.02104044427085613,0.01692037639638797,0.0,0.018035507066242563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05125905308712732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0421512444948777,0.0,0.0,0.0,0.0,0.0,0.0421512444948777,0.0,0.0,0.0,0.0,0.01875740808112416,0.0,0.0,0.0,0.0,0.0,0.03144491821217633,0.01058164038334327,0.0,0.0,0.013835768764787235,0.0,0.01478417006756587,0.0,0.10654578729513227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
바닥,0.027976485303270765,0.02222463417128583,0.011735075992126658,0.01572966005077969,0.01478417006756587,0.0,0.021211735399501684,0.009408536179762698,0.014918441324534374,0.01698965152561212,0.027976485303270765,0.02222463417128583,0.01367231261441226,0.01572966005077969,0.010470022778774691,0.021096675973019837,0.010880115179630568,0.0,0.02002035077822021,0.011735075992126658,0.0,0.0,0.0,0.0,0.0,0.0,0.01478417006756587,0.0,0.0,0.0,0.0,0.014944758812974615,0.01594708273411271,0.01390630010875337,0.027976485303270765,0.0,0.015597803428127003,0.02222463417128583,0.01367231261441226,0.012075728804464407,0.0,0.0,0.0,0.0,0.02002035077822021,0.01478417006756587,0.021211735399501684,0.0,0.01572966005077969,0.009408536179762698,0.0,0.0,0.01478417006756587,0.027764782407648635,0.011735075992126658,0.0,0.009408536179762698,0.0,0.0,0.0,0.02002035077822021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027976485303270765,0.0,0.01572966005077969,0.0,0.01478417006756587,0.013308004571161073,0.014918441324534374,0.010964678007926762,0.0,0.0,0.055748892007191325,0.05259434302331455,0.028370297055334733,0.0,0.011553928126880554,0.011260148863518723,0.010143280370891261,0.01404151074290841,0.01478417006756587,0.01032991046934836,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014711603761754968,0.0,0.0,0.0,0.013355575110649892,0.010964678007926762,0.0,0.021211735399501684,0.0,0.0,0.0,0.011735075992126658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05259434302331455,0.0,0.0,0.01698965152561212,0.0,0.011553928126880554,0.0,0.0,0.0,0.0,0.0,0.009408536179762698,0.011735075992126658,0.023513906787636703,0.0,0.0,0.0,0.01478417006756587,0.02222463417128583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02002035077822021,0.0,0.0,0.0,0.0,0.0,0.02002035077822021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29737432946438885,0.07827698757464412,0.044953475165617374,0.05113008871157348,0.021096675973019837,0.0391839284810651,0.03915862150139808,0.028370297055334733,0.037439736303100865,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
안전,0.025075853560179242,0.023376419994340605,0.010490267326266327,0.029676929588870325,0.03625852906069989,0.021211735399501684,0.0,0.02836508431998378,0.007305314056523827,0.01817690344479598,0.025075853560179242,0.023376419994340605,0.0,0.029676929588870325,0.009056119302767373,0.0,0.0,0.021211735399501684,0.040058504010657414,0.010490267326266327,0.05201795421074491,0.0,0.0,0.0,0.04360613662337799,0.04703274343550426,0.03625852906069989,0.0,0.012031906304411633,0.0,0.0,0.0,0.0,0.0,0.025075853560179242,0.0,0.0,0.023376419994340605,0.0,0.0,0.13410782484927364,0.05201795421074491,0.04703274343550426,0.04360613662337799,0.040058504010657414,0.03625852906069989,0.0,0.030251024589624066,0.029676929588870325,0.02836508431998378,0.0,0.0,0.03625852906069989,0.0,0.010490267326266327,0.0,0.02836508431998378,0.0,0.022766913195995723,0.01292232784031353,0.040058504010657414,0.0,0.0,0.0,0.0,0.012031906304411633,0.0,0.0,0.0,0.0,0.025075853560179242,0.0,0.029676929588870325,0.0,0.03625852906069989,0.0,0.007305314056523827,0.0,0.05201795421074491,0.0,0.0,0.0,0.0,0.021211735399501684,0.0,0.0,0.0,0.0,0.03625852906069989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022766913195995723,0.02524410594555638,0.041993853593255796,0.010490267326266327,0.027147063068453763,0.0229413858662154,0.13865885947432005,0.029877016326442327,0.01650541347595313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01817690344479598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02836508431998378,0.010490267326266327,0.0,0.0,0.01650541347595313,0.0,0.03625852906069989,0.023376419994340605,0.0,0.13865885947432005,0.0,0.0,0.02524410594555638,0.0,0.0,0.012031906304411633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040058504010657414,0.0,0.0,0.0,0.0,0.0,0.040058504010657414,0.0,0.0,0.0,0.0,0.0229413858662154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021211735399501684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
비계,0.024721959745678507,0.015571818012749006,0.021621674495739276,0.009916054475804102,0.013706779741059013,0.009408536179762698,0.02836508431998378,0.0,0.010883733106459854,0.009329842099720924,0.024721959745678507,0.015571818012749006,0.0,0.009916054475804102,0.008262847973371335,0.008661558126185388,0.011957005286180508,0.009408536179762698,0.034257799754161586,0.021621674495739276,0.04621724995424908,0.0,0.0,0.0,0.037805432366882157,0.04123203917900843,0.013706779741059013,0.0,0.0,0.027030745446776937,0.0,0.0,0.0,0.0,0.024721959745678507,0.0,0.0,0.015571818012749006,0.0,0.0,0.12830712059277782,0.04621724995424908,0.04123203917900843,0.037805432366882157,0.034257799754161586,0.013706779741059013,0.02836508431998378,0.013082283151573289,0.009916054475804102,0.0,0.1474257613201681,0.1261162243656584,0.013706779741059013,0.018248240261525887,0.021621674495739276,0.0219271233188954,0.0,0.033670276901226724,0.010431749817518024,0.015251713978234247,0.034257799754161586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024721959745678507,0.0,0.009916054475804102,0.0,0.013706779741059013,0.0,0.010883733106459854,0.0,0.04621724995424908,0.018268828099706407,0.0,0.0,0.011902658460798498,0.009408536179762698,0.0,0.0,0.0,0.0,0.013706779741059013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013874452440454965,0.0,0.0,0.02836508431998378,0.010431749817518024,0.0,0.0,0.021621674495739276,0.015550817854032882,0.0,0.0,0.0,0.02513583673507205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009329842099720924,0.0,0.0,0.0,0.0,0.0,0.09002671436773195,0.027030745446776937,0.0,0.021621674495739276,0.05097127726127015,0.0219271233188954,0.02513583673507205,0.018268828099706407,0.013706779741059013,0.015571818012749006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034257799754161586,0.0,0.0,0.0,0.0,0.0,0.034257799754161586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02876168889901181,0.008661558126185388,0.0,0.0,0.011902658460798498,0.0,0.009408536179762698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
상부,0.018804706577258426,0.017847410636589473,0.014883041413048663,0.020758776925519428,0.01879375394657227,0.014918441324534374,0.007305314056523827,0.010883733106459854,0.0,0.011080241806248002,0.018804706577258426,0.017847410636589473,0.010963029602207026,0.020758776925519428,0.01328006157767277,0.011624441195243577,0.01195755465002664,0.014918441324534374,0.007562022257365942,0.014883041413048663,0.03544063077459227,0.0,0.0,0.0,0.0,0.0,0.01879375394657227,0.0,0.0,0.014836213086236824,0.0,0.013277084653347803,0.010559424186085766,0.012978850421081475,0.018804706577258426,0.0,0.011419950271685636,0.017847410636589473,0.010963029602207026,0.008980275239910792,0.0,0.03544063077459227,0.0,0.0,0.007562022257365942,0.01879375394657227,0.007305314056523827,0.0159477971237551,0.020758776925519428,0.010883733106459854,0.0,0.0,0.01879375394657227,0.019603908768832973,0.014883041413048663,0.01178103262495202,0.010883733106459854,0.0,0.009432728892517697,0.011926564480653922,0.007562022257365942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01252055114497419,0.0,0.018804706577258426,0.060735998082200114,0.020758776925519428,0.03896089140990406,0.01879375394657227,0.023250007242250178,0.0,0.015174954027667473,0.03544063077459227,0.013792794258419339,0.0,0.0,0.01542335803807882,0.014918441324534374,0.0,0.0,0.0,0.00923088182637704,0.01879375394657227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016612936339105842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018799693077956942,0.015174954027667473,0.0,0.007305314056523827,0.009432728892517697,0.0,0.0,0.014883041413048663,0.0,0.015431908644192627,0.0,0.015102682332725813,0.01921684990037667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016243606820756918,0.0,0.0,0.0,0.0,0.0,0.011080241806248002,0.0,0.0,0.0,0.0,0.0,0.04055165992018469,0.014836213086236824,0.010883733106459854,0.014883041413048663,0.0285311743792284,0.01178103262495202,0.01921684990037667,0.013792794258419339,0.01879375394657227,0.017847410636589473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007562022257365942,0.0,0.0,0.0,0.0,0.0,0.007562022257365942,0.0,0.0,0.0,0.0,0.015431908644192627,0.0,0.0,0.0,0.0,0.0,0.03573873658766185,0.011624441195243577,0.0,0.0,0.01542335803807882,0.0,0.014918441324534374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
고정,0.024318349336191855,0.018646632446991766,0.012183961411836506,0.011382771445366762,0.011914702395218463,0.01698965152561212,0.01817690344479598,0.009329842099720924,0.011080241806248002,0.0,0.024318349336191855,0.018646632446991766,0.0,0.011382771445366762,0.010752451225560768,0.016072725259017078,0.008147492628379997,0.01698965152561212,0.0,0.012183961411836506,0.0,0.0,0.0,0.0,0.0,0.0,0.011914702395218463,0.0,0.0,0.011920173079899529,0.0,0.0,0.0,0.0,0.024318349336191855,0.0,0.0,0.018646632446991766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011914702395218463,0.01817690344479598,0.0,0.011382771445366762,0.009329842099720924,0.0,0.0,0.011914702395218463,0.024864791779909166,0.012183961411836506,0.0,0.009329842099720924,0.0,0.0,0.00981808908151797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024318349336191855,0.0,0.011382771445366762,0.0,0.011914702395218463,0.0,0.011080241806248002,0.0,0.0,0.0,0.0,0.02156206512947403,0.023008798291730508,0.01698965152561212,0.011505621519587917,0.0,0.0,0.0,0.011914702395218463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011643528441650359,0.0,0.0,0.01817690344479598,0.0,0.0,0.0,0.012183961411836506,0.0,0.0,0.0,0.0,0.012293002124996842,0.0,0.0554128320197083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07181095855760093,0.02156206512947403,0.019868174601743453,0.0554128320197083,0.0,0.0157573073107401,0.011505621519587917,0.012650465183845185,0.011806638054283182,0.010977373953133137,0.0,0.011920173079899529,0.009329842099720924,0.012183961411836506,0.03005688420538372,0.0,0.012293002124996842,0.0,0.011914702395218463,0.018646632446991766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28087685412467983,0.07310675413560035,0.041031804783860815,0.044953396366743295,0.016072725259017078,0.03521894033338444,0.035387650124355366,0.023008798291730508,0.033919782035070886,0.01698965152561212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
