Source,Target,Type,Id,Label,Weight,Color
비계,거푸집,Directed,33456,,0.807062,"#000000"
비계,바닥,Directed,33457,,0.146903,"#000000"
비계,철거,Directed,33458,,0.142813,"#000000"
비계,작업중,Directed,33459,,0.029183,"#000000"
비계,발판,Directed,33460,,0.133685,"#000000"
비계,자재,Directed,33461,,0.343081,"#000000"
비계,추락,Directed,33462,,0.149386,"#000000"
비계,이동,Directed,33463,,0.122415,"#000000"
비계,정리,Directed,33464,,0.197972,"#000000"
비계,고리,Directed,33465,,0.066746,"#000000"
비계,동바리,Directed,33466,,0.032067,"#000000"
비계,사다리,Directed,33469,,0.06887,"#000000"
비계,지지,Directed,33472,,0.056358,"#000000"
비계,벽체,Directed,33474,,0.066152,"#000000"
비계,콘크리트,Directed,33475,,0.161043,"#000000"
비계,낙하,Directed,33476,,0.127076,"#000000"
비계,공사,Directed,33478,,0.120622,"#000000"
비계,적벽,Directed,33479,,0.117427,"#000000"
비계,시공,Directed,33480,,0.117043,"#000000"
비계,하부,Directed,33482,,0.038524,"#000000"
비계,좌측,Directed,33487,,0.041742,"#000000"
비계,부위,Directed,33488,,0.074888,"#000000"
비계,상부,Directed,33491,,0.049228,"#000000"
비계,사이,Directed,33493,,0.078523,"#000000"
비계,충돌,Directed,33500,,0.101687,"#000000"
비계,받침,Directed,33501,,0.084383,"#000000"
비계,이동식,Directed,33504,,0.349026,"#000000"
비계,경로,Directed,33506,,0.222575,"#000000"
비계,협소,Directed,33507,,0.171123,"#000000"
비계,배관,Directed,33508,,0.152067,"#000000"
비계,인계,Directed,33509,,0.138451,"#000000"
비계,주형,Directed,33510,,0.138451,"#000000"
비계,음으로,Directed,33511,,0.138451,"#000000"
비계,라켓,Directed,33512,,0.138451,"#000000"
비계,외부,Directed,33513,,0.067315,"#000000"
비계,난간,Directed,33514,,0.068862,"#000000"
비계,시스템,Directed,33515,,0.13505,"#000000"
거푸집,비계,Directed,33516,,0.807062,"#000000"
거푸집,바닥,Directed,33517,,0.219781,"#000000"
거푸집,철거,Directed,33518,,0.464393,"#000000"
거푸집,작업중,Directed,33519,,0.130666,"#000000"
거푸집,발판,Directed,33520,,0.489639,"#000000"
거푸집,자재,Directed,33521,,0.470437,"#000000"
거푸집,추락,Directed,33522,,0.195114,"#000000"
거푸집,이동,Directed,33523,,0.308062,"#000000"
거푸집,정리,Directed,33524,,0.282447,"#000000"
거푸집,요인,Directed,33525,,0.155796,"#000000"
거푸집,관리,Directed,33526,,0.071801,"#000000"
거푸집,진행,Directed,33527,,0.096606,"#000000"
거푸집,가시,Directed,33528,,0.121172,"#000000"
거푸집,골절,Directed,33529,,0.599562,"#000000"
거푸집,손가락,Directed,33530,,0.557502,"#000000"
거푸집,부상,Directed,33531,,0.310004,"#000000"
거푸집,손목,Directed,33532,,0.100022,"#000000"
거푸집,왼쪽,Directed,33533,,0.339747,"#000000"
거푸집,우측,Directed,33534,,0.125163,"#000000"
거푸집,오른쪽,Directed,33535,,0.247134,"#000000"
거푸집,동바리,Directed,33536,,0.118663,"#000000"
거푸집,늑골,Directed,33537,,0.214132,"#000000"
거푸집,부가,Directed,33539,,0.0952,"#000000"
거푸집,가드레일,Directed,33540,,0.093472,"#000000"
거푸집,볼트,Directed,33541,,0.287125,"#000000"
거푸집,코킹,Directed,33542,,0.083865,"#000000"
거푸집,튀어,Directed,33545,,0.131103,"#000000"
거푸집,빠루,Directed,33546,,0.126283,"#000000"
거푸집,계단,Directed,33547,,0.280181,"#000000"
거푸집,가설,Directed,33548,,0.301495,"#000000"
거푸집,사다리,Directed,33549,,0.11974,"#000000"
거푸집,슬라브,Directed,33553,,0.089476,"#000000"
거푸집,벽체,Directed,33554,,0.268966,"#000000"
거푸집,콘크리트,Directed,33555,,0.117521,"#000000"
거푸집,낙하,Directed,33556,,0.241357,"#000000"
거푸집,공사,Directed,33559,,0.094954,"#000000"
거푸집,적벽,Directed,33560,,0.243746,"#000000"
거푸집,시공,Directed,33561,,0.242849,"#000000"
거푸집,하부,Directed,33562,,0.10271,"#000000"
거푸집,부주의,Directed,33563,,1.460863,"#000000"
거푸집,어깨,Directed,33569,,0.587287,"#000000"
거푸집,본인,Directed,33571,,0.099139,"#000000"
거푸집,강제,Directed,33572,,0.293163,"#000000"
거푸집,선관,Directed,33573,,0.293163,"#000000"
거푸집,제거,Directed,33574,,0.164631,"#000000"
거푸집,좌측,Directed,33575,,0.10843,"#000000"
거푸집,부위,Directed,33576,,0.110686,"#000000"
거푸집,발등,Directed,33577,,0.27174,"#000000"
거푸집,상부,Directed,33579,,0.155373,"#000000"
거푸집,사이,Directed,33582,,0.21654,"#000000"
거푸집,왼손,Directed,33583,,0.227789,"#000000"
거푸집,엄지손가락,Directed,33584,,0.146584,"#000000"
거푸집,러그,Directed,33585,,0.132191,"#000000"
거푸집,새끼손가락,Directed,33588,,0.129706,"#000000"
거푸집,끼임,Directed,33589,,0.153603,"#000000"
거푸집,근로자,Directed,33590,,0.565853,"#000000"
거푸집,지주,Directed,33592,,0.144387,"#000000"
거푸집,인적,Directed,33593,,0.12809,"#000000"
거푸집,공간,Directed,33594,,0.125049,"#000000"
거푸집,실행,Directed,33597,,0.094864,"#000000"
거푸집,탈구,Directed,33598,,0.094864,"#000000"
거푸집,흙막이,Directed,33601,,0.344222,"#000000"
거푸집,충돌,Directed,33602,,0.192052,"#000000"
거푸집,갱폼,Directed,33603,,0.178568,"#000000"
거푸집,순간,Directed,33604,,0.189591,"#000000"
거푸집,하층,Directed,33608,,0.148792,"#000000"
바닥,비계,Directed,33612,,0.146903,"#000000"
바닥,거푸집,Directed,33613,,0.219781,"#000000"
바닥,철거,Directed,33614,,0.186769,"#000000"
바닥,작업중,Directed,33615,,0.026839,"#000000"
바닥,발판,Directed,33616,,0.138123,"#000000"
바닥,자재,Directed,33617,,0.113893,"#000000"
바닥,추락,Directed,33618,,0.088011,"#000000"
바닥,이동,Directed,33619,,0.086835,"#000000"
바닥,정리,Directed,33620,,0.06085,"#000000"
바닥,상태,Directed,33621,,0.024441,"#000000"
바닥,진행,Directed,33622,,0.035327,"#000000"
바닥,가시,Directed,33623,,0.029516,"#000000"
바닥,부상,Directed,33624,,0.059299,"#000000"
바닥,우측,Directed,33625,,0.027558,"#000000"
바닥,동바리,Directed,33626,,0.027916,"#000000"
바닥,볼트,Directed,33630,,0.087868,"#000000"
바닥,튀어,Directed,33631,,0.041328,"#000000"
바닥,가설,Directed,33632,,0.139927,"#000000"
바닥,사다리,Directed,33633,,0.052098,"#000000"
바닥,지지,Directed,33636,,0.0263,"#000000"
바닥,슬라브,Directed,33638,,0.025572,"#000000"
바닥,벽체,Directed,33639,,0.054302,"#000000"
바닥,공사,Directed,33642,,0.033287,"#000000"
바닥,하부,Directed,33644,,0.029385,"#000000"
바닥,낙상,Directed,33645,,0.046824,"#000000"
바닥,설치,Directed,33647,,0.033458,"#000000"
바닥,붕괴,Directed,33649,,0.03744,"#000000"
바닥,제거,Directed,33652,,0.043354,"#000000"
바닥,좌측,Directed,33653,,0.031453,"#000000"
바닥,폐기물,Directed,33655,,0.089064,"#000000"
바닥,적재,Directed,33656,,0.064459,"#000000"
바닥,트럭,Directed,33657,,0.050195,"#000000"
바닥,차량,Directed,33659,,0.045671,"#000000"
바닥,야적,Directed,33660,,0.035647,"#000000"
바닥,컨테이너,Directed,33661,,0.035647,"#000000"
바닥,운반,Directed,33662,,0.042296,"#000000"
바닥,상부,Directed,33663,,0.056713,"#000000"
바닥,흙막이,Directed,33670,,0.144737,"#000000"
바닥,충돌,Directed,33671,,0.083316,"#000000"
바닥,갱폼,Directed,33672,,0.074546,"#000000"
바닥,받침,Directed,33673,,0.063547,"#000000"
바닥,순간,Directed,33674,,0.075377,"#000000"
바닥,하층,Directed,33677,,0.067481,"#000000"
철거,비계,Directed,33681,,0.142813,"#000000"
철거,거푸집,Directed,33682,,0.464393,"#000000"
철거,바닥,Directed,33683,,0.186769,"#000000"
철거,작업중,Directed,33684,,0.089495,"#000000"
철거,발판,Directed,33685,,0.173767,"#000000"
철거,자재,Directed,33686,,0.303417,"#000000"
철거,추락,Directed,33687,,0.216397,"#000000"
철거,이동,Directed,33688,,0.21539,"#000000"
철거,정리,Directed,33689,,0.158328,"#000000"
철거,상태,Directed,33690,,0.085694,"#000000"
철거,관리,Directed,33691,,0.04858,"#000000"
철거,진행,Directed,33692,,0.052822,"#000000"
철거,사망,Directed,33693,,0.048937,"#000000"
철거,조치,Directed,33694,,0.044545,"#000000"
철거,안전,Directed,33695,,0.496036,"#000000"
철거,고리,Directed,33696,,0.068494,"#000000"
철거,부상,Directed,33697,,0.178788,"#000000"
철거,손목,Directed,33698,,0.062972,"#000000"
철거,왼쪽,Directed,33699,,0.18436,"#000000"
철거,우측,Directed,33700,,0.084984,"#000000"
철거,동바리,Directed,33701,,0.082792,"#000000"
철거,볼트,Directed,33705,,0.14765,"#000000"
철거,가설,Directed,33707,,0.184477,"#000000"
철거,슬라브,Directed,33711,,0.073938,"#000000"
철거,벽체,Directed,33712,,0.159428,"#000000"
철거,콘크리트,Directed,33713,,0.113153,"#000000"
철거,낙하,Directed,33714,,0.249678,"#000000"
철거,공사,Directed,33716,,0.109014,"#000000"
철거,적벽,Directed,33717,,0.193085,"#000000"
철거,시공,Directed,33718,,0.05844,"#000000"
철거,하부,Directed,33720,,0.1167,"#000000"
철거,낙상,Directed,33721,,0.104649,"#000000"
철거,지붕,Directed,33722,,0.226154,"#000000"
철거,토사,Directed,33723,,0.083038,"#000000"
철거,설치,Directed,33725,,0.129345,"#000000"
철거,건물,Directed,33726,,0.101837,"#000000"
철거,슬레이트,Directed,33728,,0.058046,"#000000"
철거,붕괴,Directed,33729,,0.08548,"#000000"
철거,살수,Directed,33730,,0.061936,"#000000"
철거,제거,Directed,33734,,0.115014,"#000000"
철거,좌측,Directed,33735,,0.104416,"#000000"
철거,부위,Directed,33736,,0.060607,"#000000"
철거,발등,Directed,33738,,0.068595,"#000000"
철거,폐기물,Directed,33739,,0.207419,"#000000"
철거,적재,Directed,33740,,0.148921,"#000000"
철거,트럭,Directed,33741,,0.114337,"#000000"
철거,차량,Directed,33743,,0.119572,"#000000"
철거,야적,Directed,33744,,0.079586,"#000000"
철거,컨테이너,Directed,33745,,0.079586,"#000000"
철거,운반,Directed,33746,,0.114548,"#000000"
철거,상부,Directed,33747,,0.142042,"#000000"
철거,끼임,Directed,33751,,0.067568,"#000000"
철거,물이,Directed,33753,,0.226623,"#000000"
철거,호수,Directed,33754,,0.127678,"#000000"
철거,잔해,Directed,33756,,0.108406,"#000000"
철거,빗물,Directed,33757,,0.078353,"#000000"
철거,잔재,Directed,33758,,0.112728,"#000000"
철거,발기,Directed,33759,,0.084073,"#000000"
철거,물의,Directed,33760,,0.086533,"#000000"
철거,안전모,Directed,33761,,0.106939,"#000000"
철거,가해,Directed,33762,,0.123663,"#000000"
철거,대상,Directed,33763,,0.115503,"#000000"
철거,충돌,Directed,33764,,0.125845,"#000000"
철거,하층,Directed,33768,,0.095049,"#000000"
철거,외부,Directed,33772,,0.147403,"#000000"
철거,난간,Directed,33773,,0.117369,"#000000"
철거,시스템,Directed,33774,,0.109931,"#000000"
