Source,Target,Weight
설치,비계,0.025451558048247593
설치,자재,0.02407709721003437
설치,바닥,0.023951148557671113
설치,이동,0.023826010510861445
설치,거푸집,0.02341181395147729
설치,추락,0.023263536143414615
설치,작업중,0.022554130390978297
설치,안전,0.022402611961629498
설치,발판,0.021821148086949647
비계,자재,0.022868471960711966
비계,바닥,0.02274252330834871
비계,이동,0.022617385261539037
비계,거푸집,0.02220318870215488
비계,추락,0.02205491089409221
비계,작업중,0.02134550514165589
비계,안전,0.021193986712307093
비계,발판,0.020612522837627243
자재,바닥,0.021368062470135486
자재,이동,0.021242924423325815
자재,거푸집,0.02082872786394166
자재,추락,0.02068045005587899
자재,작업중,0.019971044303442667
자재,안전,0.01981952587409387
자재,발판,0.01923806199941402
바닥,이동,0.021116975770962554
바닥,거푸집,0.020702779211578398
바닥,추락,0.02055450140351573
바닥,작업중,0.01984509565107941
바닥,안전,0.01969357722173061
바닥,발판,0.019112113347050763
이동,거푸집,0.02057764116476873
이동,추락,0.02042936335670606
이동,작업중,0.01971995760426974
이동,안전,0.01956843917492094
이동,발판,0.018986975300241092
거푸집,추락,0.020015166797321904
거푸집,작업중,0.019305761044885586
거푸집,안전,0.019154242615536783
거푸집,발판,0.018572778740856936
추락,작업중,0.01915748323682291
추락,안전,0.019005964807474116
추락,발판,0.018424500932794265
작업중,안전,0.018296559055037794
작업중,발판,0.017715095180357944
안전,발판,0.017563576751009148
사다리,상태,0.030936771458859865
사다리,거푸집,0.030909485077448083
사다리,설치,0.030610467903275707
사다리,계단,0.03029989429337364
사다리,손가락,0.030192362478258402
사다리,미흡,0.02962388835219207
사다리,고정,0.02940029237627173
사다리,발판,0.027903116418614517
사다리,안전,0.02710498296498852
상태,거푸집,0.02785931987922443
상태,설치,0.02756030270505206
상태,계단,0.02724972909514999
상태,손가락,0.027142197280034752
상태,미흡,0.026573723153968422
상태,고정,0.02635012717804808
상태,발판,0.024852951220390863
상태,안전,0.02405481776676487
거푸집,설치,0.027533016323640275
거푸집,계단,0.027222442713738207
거푸집,손가락,0.027114910898622967
거푸집,미흡,0.026546436772556636
거푸집,고정,0.0263228407966363
거푸집,발판,0.02482566483897908
거푸집,안전,0.024027531385353088
설치,계단,0.02692342553956583
설치,손가락,0.026815893724450597
설치,미흡,0.026247419598384267
설치,고정,0.026023823622463922
설치,발판,0.02452664766480671
설치,안전,0.02372851421118071
계단,손가락,0.026505320114548526
계단,미흡,0.025936845988482195
계단,고정,0.025713250012561854
계단,발판,0.02421607405490464
계단,안전,0.023417940601278643
손가락,미흡,0.02582931417336696
손가락,고정,0.025605718197446618
손가락,발판,0.0241085422397894
손가락,안전,0.023310408786163406
미흡,고정,0.025037244071380287
미흡,발판,0.02354006811372307
미흡,안전,0.022741934660097076
고정,발판,0.023316472137802732
고정,안전,0.022518338684176735
발판,안전,0.02102116272651952
안전,체결,0.09070346650805577
안전,고리,0.08868552746153127
안전,이동,0.07761221980900504
안전,운전,0.0766914220203544
안전,안전교육,0.07659308897075026
안전,안전벨트,0.07580920780353306
안전,부족,0.07490774710687037
안전,설치,0.0737003777960653
안전,부주의,0.07326206054427647
체결,고리,0.060566389496868295
체결,이동,0.04949308184434208
체결,운전,0.04857228405569143
체결,안전교육,0.0484739510060873
체결,안전벨트,0.0476900698388701
체결,부족,0.046788609142207394
체결,설치,0.045581239831402325
체결,부주의,0.04514292257961351
고리,이동,0.04747514279781756
고리,운전,0.046554345009166914
고리,안전교육,0.04645601195956278
고리,안전벨트,0.04567213079234558
고리,부족,0.044770670095682884
고리,설치,0.04356330078487781
고리,부주의,0.043124983533088995
이동,운전,0.035481037356640696
이동,안전교육,0.03538270430703656
이동,안전벨트,0.03459882313981936
이동,부족,0.03369736244315666
이동,설치,0.03248999313235158
이동,부주의,0.03205167588056277
운전,안전교육,0.03446190651838592
운전,안전벨트,0.03367802535116872
운전,부족,0.03277656465450601
운전,설치,0.031569195343700944
운전,부주의,0.03113087809191213
안전교육,안전벨트,0.03357969230156458
안전교육,부족,0.03267823160490188
안전교육,설치,0.031470862294096805
안전교육,부주의,0.031032545042307992
안전벨트,부족,0.03189435043768468
안전벨트,설치,0.030686981126879606
안전벨트,부주의,0.030248663875090794
부족,설치,0.029785520430216907
부족,부주의,0.029347203178428094
설치,부주의,0.02813983386762302
부주의,가설,0.24879116217232652
부주의,공구,0.24732826446119344
부주의,계단,0.24662068598299922
부주의,본인,0.24589660509160638
부주의,인력,0.2458677820236882
부주의,운반,0.24416924133735018
부주의,미숙,0.24307684259091006
부주의,사용,0.23685948324346856
부주의,철근,0.23528141999657107
가설,공구,0.0694944366223906
가설,계단,0.06878685814419638
가설,본인,0.06806277725280355
가설,인력,0.06803395418488536
가설,운반,0.06633541349854735
가설,미숙,0.06524301475210724
가설,사용,0.05902565540466573
가설,철근,0.05744759215776825
공구,계단,0.0673239604330633
공구,본인,0.06659987954167046
공구,인력,0.06657105647375228
공구,운반,0.06487251578741426
공구,미숙,0.06378011704097415
공구,사용,0.057562757693532626
공구,철근,0.05598469444663516
계단,본인,0.06589230106347624
계단,인력,0.06586347799555806
계단,운반,0.06416493730922003
계단,미숙,0.06307253856277992
계단,사용,0.056855179215338406
계단,철근,0.055277115968440926
본인,인력,0.06513939710416522
본인,운반,0.06344085641782721
본인,미숙,0.062348457671387095
본인,사용,0.05613109832394557
본인,철근,0.054553035077048104
인력,운반,0.06341203334990902
인력,미숙,0.06231963460346891
인력,사용,0.05610227525602739
인력,철근,0.05452421200912992
운반,미숙,0.06062109391713089
운반,사용,0.054403734569689374
운반,철근,0.0528256713227919
미숙,사용,0.05331133582324926
미숙,철근,0.05173327257635179
사용,철근,0.04551591322891027
자재,시스템,0.1091980836000596
자재,비계,0.10467412051776528
자재,발판,0.09988696462848937
자재,설치,0.09512794644443513
자재,동바리,0.07857129640932167
자재,이동,0.07856497324249291
자재,운반,0.07780102044674249
자재,외부,0.07767887252656487
자재,정리,0.07635952207414329
시스템,비계,0.10198214150833566
시스템,발판,0.09719498561905973
시스템,설치,0.09243596743500551
시스템,동바리,0.07587931739989205
시스템,이동,0.07587299423306329
시스템,운반,0.07510904143731287
시스템,외부,0.07498689351713525
시스템,정리,0.07366754306471367
비계,발판,0.09267102253676543
비계,설치,0.0879120043527112
비계,동바리,0.07135535431759774
비계,이동,0.07134903115076897
비계,운반,0.07058507835501855
비계,외부,0.07046293043484093
비계,정리,0.06914357998241935
발판,설치,0.08312484846343526
발판,동바리,0.06656819842832182
발판,이동,0.06656187526149304
발판,운반,0.06579792246574263
발판,외부,0.065675774545565
발판,정리,0.06435642409314342
설치,동바리,0.061809180244267584
설치,이동,0.06180285707743882
설치,운반,0.0610389042816884
설치,외부,0.06091675636151078
설치,정리,0.0595974059090892
동바리,이동,0.04524620704232536
동바리,운반,0.04448225424657494
동바리,외부,0.04436010632639732
동바리,정리,0.04304075587397574
이동,운반,0.04447593107974618
이동,외부,0.04435378315956856
이동,정리,0.04303443270714698
운반,외부,0.04358983036381814
운반,정리,0.042270479911396555
외부,정리,0.04214833199121893
골절,발목,0.10014739329012351
골절,왼쪽,0.09407440997032022
골절,통증,0.09120584290375387
골절,시스템,0.09063244024702642
골절,발판,0.08932656815572684
골절,손가락,0.08876306243933751
골절,우측,0.0885982761348056
골절,자재,0.08858039499483077
골절,비계,0.08834107688285779
발목,왼쪽,0.046207508538706824
발목,통증,0.04333894147214048
발목,시스템,0.04276553881541303
발목,발판,0.04145966672411344
발목,손가락,0.04089616100772411
발목,우측,0.040731374703192214
발목,자재,0.04071349356321737
발목,비계,0.04047417545124439
왼쪽,통증,0.037265958152337186
왼쪽,시스템,0.036692555495609736
왼쪽,발판,0.03538668340431014
왼쪽,손가락,0.034823177687920814
왼쪽,우측,0.034658391383388915
왼쪽,자재,0.03464051024341408
왼쪽,비계,0.0344011921314411
통증,시스템,0.03382398842904338
통증,발판,0.0325181163377438
통증,손가락,0.03195461062135447
통증,우측,0.03178982431682257
통증,자재,0.03177194317684773
통증,비계,0.031532625064874746
시스템,발판,0.03194471368101635
시스템,손가락,0.03138120796462702
시스템,우측,0.03121642166009512
시스템,자재,0.031198540520120277
시스템,비계,0.030959222408147295
발판,손가락,0.030075335873327433
발판,우측,0.029910549568795533
발판,자재,0.02989266842882069
발판,비계,0.02965335031684771
손가락,우측,0.029347043852406204
손가락,자재,0.029329162712431363
손가락,비계,0.02908984460045838
우측,자재,0.029164376407899463
우측,비계,0.02892505829592648
자재,비계,0.028907177155951643
자의,부주의,0.21487936001168262
자의,불안전,0.211593913306674
자의,행동,0.18951601979997912
자의,자세,0.1757317659901821
자의,실족,0.17054577935116533
자의,개인,0.16967862993304028
자의,불량,0.1661779002862014
자의,의견,0.1559702823378522
자의,실수,0.15577445222657388
부주의,불안전,0.1740096773635746
부주의,행동,0.15193178385687972
부주의,자세,0.1381475300470827
부주의,실족,0.13296154340806593
부주의,개인,0.13209439398994088
부주의,불량,0.12859366434310202
부주의,의견,0.11838604639475281
부주의,실수,0.11819021628347448
불안전,행동,0.1486463371518711
불안전,자세,0.13486208334207408
불안전,실족,0.1296760967030573
불안전,개인,0.12880894728493225
불안전,불량,0.1253082176380934
불안전,의견,0.11510059968974419
불안전,실수,0.11490476957846586
행동,자세,0.11278418983537919
행동,실족,0.10759820319636242
행동,개인,0.10673105377823738
행동,불량,0.10323032413139852
행동,의견,0.09302270618304931
행동,실수,0.09282687607177098
자세,실족,0.0938139493865654
자세,개인,0.09294679996844035
자세,불량,0.0894460703216015
자세,의견,0.07923845237325228
자세,실수,0.07904262226197395
실족,개인,0.08776081332942358
실족,불량,0.08426008368258472
실족,의견,0.0740524657342355
실족,실수,0.07385663562295718
개인,불량,0.08339293426445968
개인,의견,0.07318531631611047
개인,실수,0.07298948620483214
불량,의견,0.0696845866692716
불량,실수,0.06948875655799328
의견,실수,0.05928113860964407
근로자,행동,0.23809953593669114
근로자,불안전,0.21970509762175883
근로자,부주의,0.2098060889126484
근로자,이동,0.19702609411130168
근로자,미흡,0.18975482992939674
근로자,간의,0.18834849236062878
근로자,대차,0.1880146635397808
근로자,다림,0.18685822572953684
근로자,방법,0.18658788302747736
행동,불안전,0.12010963304156672
행동,부주의,0.11021062433245632
행동,이동,0.09743062953110958
행동,미흡,0.09015936534920464
행동,간의,0.08875302778043669
행동,대차,0.08841919895958869
행동,다림,0.08726276114934473
행동,방법,0.08699241844728525
불안전,부주의,0.091816186017524
불안전,이동,0.07903619121617726
불안전,미흡,0.07176492703427233
불안전,간의,0.07035858946550437
불안전,대차,0.07002476064465638
불안전,다림,0.06886832283441241
불안전,방법,0.06859798013235294
부주의,이동,0.06913718250706687
부주의,미흡,0.06186591832516193
부주의,간의,0.060459580756393974
부주의,대차,0.06012575193554598
부주의,다림,0.05896931412530202
부주의,방법,0.05869897142324255
이동,미흡,0.04908592352381519
이동,간의,0.047679585955047225
이동,대차,0.04734575713419924
이동,다림,0.04618931932395527
이동,방법,0.0459189766218958
미흡,간의,0.0404083217731423
미흡,대차,0.0400744929522943
미흡,다림,0.038918055142050344
미흡,방법,0.03864771243999087
간의,대차,0.038668155383526345
간의,다림,0.03751171757328238
간의,방법,0.03724137487122291
대차,다림,0.0371778887524344
대차,방법,0.036907546050374926
다림,방법,0.03575110824013096
미흡,신호,0.22859790274244615
미흡,체계,0.22793336210766915
미흡,전달,0.2238196853058882
미흡,위험,0.21786177572267118
미흡,요소,0.2155759307349602
미흡,주변,0.21317626835007208
미흡,운반,0.21282729292112204
미흡,고정,0.20821621956130318
미흡,정리,0.20790999583713887
신호,체계,0.08680522972433224
신호,전달,0.08269155292255129
신호,위험,0.07673364333933427
신호,요소,0.0744477983516233
신호,주변,0.07204813596673519
신호,운반,0.07169916053778513
신호,고정,0.06708808717796627
신호,정리,0.06678186345380199
체계,전달,0.08202701228777429
체계,위험,0.07606910270455727
체계,요소,0.07378325771684628
체계,주변,0.07138359533195818
체계,운반,0.07103461990300813
체계,고정,0.06642354654318927
체계,정리,0.06611732281902497
전달,위험,0.07195542590277632
전달,요소,0.06966958091506534
전달,주변,0.06726991853017722
전달,운반,0.06692094310122718
전달,고정,0.062309869741408314
전달,정리,0.06200364601724402
위험,요소,0.06371167133184832
위험,주변,0.06131200894696021
위험,운반,0.06096303351801016
위험,고정,0.0563519601581913
위험,정리,0.05604573643402701
요소,주변,0.05902616395924923
요소,운반,0.058677188530299185
요소,고정,0.05406611517048032
요소,정리,0.05375989144631603
주변,운반,0.05627752614541107
주변,고정,0.05166645278559221
주변,정리,0.05136022906142792
운반,고정,0.05131747735664216
운반,정리,0.05101125363247787
고정,정리,0.046400180272659006
목재,부상,0.09628224145196729
목재,좌측,0.07719669842060119
목재,자재,0.07261981848655814
목재,설치,0.06849052125520116
목재,무릎,0.0677350723887712
목재,거푸집,0.06738718791357887
목재,정리,0.06655495801453261
목재,비계,0.06564288445662167
목재,부분,0.06495323006141641
부상,좌측,0.07628487323535066
부상,자재,0.07170799330130762
부상,설치,0.06757869606995065
부상,무릎,0.06682324720352067
부상,거푸집,0.06647536272832834
부상,정리,0.06564313282928208
부상,비계,0.06473105927137113
부상,부분,0.06404140487616589
좌측,자재,0.052622450269941515
좌측,설치,0.04849315303858454
좌측,무릎,0.047737704172154574
좌측,거푸집,0.04738981969696224
좌측,정리,0.04655758979791598
좌측,비계,0.045645516240005034
좌측,부분,0.044955861844799785
자재,설치,0.0439162731045415
자재,무릎,0.04316082423811153
자재,거푸집,0.042812939762919194
자재,정리,0.041980709863872936
자재,비계,0.04106863630596199
자재,부분,0.04037898191075674
설치,무릎,0.03903152700675455
설치,거푸집,0.03868364253156223
설치,정리,0.03785141263251597
설치,비계,0.03693933907460502
설치,부분,0.03624968467939978
무릎,거푸집,0.037928193665132254
무릎,정리,0.037095963766085996
무릎,비계,0.03618389020817504
무릎,부분,0.0354942358129698
거푸집,정리,0.036748079290893666
거푸집,비계,0.03583600573298272
거푸집,부분,0.03514635133777747
정리,비계,0.03500377583393646
정리,부분,0.034314121438731214
비계,부분,0.03340204788082027
호수,물이,0.12046340290104177
호수,형강,0.11472916379516128
호수,배치,0.11398815606583612
호수,양수기,0.11377855790087323
호수,콘크리트,0.11345944684115969
호수,장비,0.10890215966993562
호수,신호,0.10690938637939648
호수,위치,0.10236344318606003
호수,중량,0.10106184253603026
물이,형강,0.0661291597711543
물이,배치,0.06538815204182914
물이,양수기,0.06517855387686625
물이,콘크리트,0.06485944281715271
물이,장비,0.06030215564592865
물이,신호,0.05830938235538951
물이,위치,0.05376343916205305
물이,중량,0.052461838512023296
형강,배치,0.05965391293594867
형강,양수기,0.05944431477098577
형강,콘크리트,0.05912520371127223
형강,장비,0.05456791654004817
형강,신호,0.05257514324950903
형강,위치,0.048029200056172575
형강,중량,0.04672759940614281
배치,양수기,0.05870330704166061
배치,콘크리트,0.058384195981947065
