Source,Target,Weight
0,1,0.9257234087157128
0,2,0.8228374521456621
0,3,0.7936927657268578
0,4,0.7818557105858033
0,5,0.7845684045724565
0,6,0.6624001344346623
0,7,0.4908381775729141
0,8,0.7249900854878264
0,9,0.8462836260171228
0,10,0.7731071301292881
0,11,0.7360834119007079
0,12,0.7519690760395407
0,13,0.7364546592246768
0,14,0.7001562259393322
0,15,0.5479573463424615
0,16,0.7279014365365386
0,17,0.6777549816617628
0,18,0.7369217021214964
0,19,0.6729391063273762
1,2,0.6831973478473758
1,3,0.7762757194664687
1,4,0.618036976325122
1,5,0.6804216265501841
1,6,0.5963819627637006
1,7,0.351151552342692
1,8,0.7113577593961565
1,9,0.6506932418522354
1,10,0.6829809639818156
1,11,0.5944880042900346
1,12,0.6342447124813709
1,13,0.5646712455767002
1,14,0.6338394564678314
1,15,0.5222532640899242
1,16,0.6011149392856945
1,17,0.4725822577473465
1,18,0.7162791810046578
1,19,0.5399223971322417
2,3,0.6156228543656569
2,4,0.7341818105532699
2,5,0.5248405137878492
2,6,0.6180884162884668
2,7,0.5101519647087339
2,8,0.5932358516429664
2,9,0.6932557404685095
2,10,0.6726714322957387
2,11,0.6005847717494309
2,12,0.5834226010491372
2,13,0.7327305227439506
2,14,0.5643254988324586
2,15,0.4305779674845007
2,16,0.6655924894387337
2,17,0.6161697164722851
2,18,0.6735291673017338
2,19,0.6662642919786955
3,4,0.6652175479956802
3,5,0.6055417784482966
3,6,0.843174354025087
3,7,0.4190119791779163
3,8,0.7046685181633007
3,9,0.5547641636959008
3,10,0.5608679235475511
3,11,0.523740053861206
3,12,0.6024492061871898
3,13,0.5077365071926478
3,14,0.5040500163083118
3,15,0.7185550643984565
3,16,0.7184412435193137
3,17,0.42974313577959977
3,18,0.7528416622094083
3,19,0.4526925005269177
4,5,0.5420432195446189
4,6,0.6019377073135505
4,7,0.47649406508926523
4,8,0.5096287647977389
4,9,0.7018033029332524
4,10,0.5937638536071774
4,11,0.6469991891370488
4,12,0.6646408890845518
4,13,0.6031678910446902
4,14,0.4741797128076407
4,15,0.5031765579097172
4,16,0.6643523490766167
4,17,0.7622278736463924
4,18,0.5814792298224906
4,19,0.6515133103067938
5,6,0.4825399917955737
5,7,0.31794896038846154
5,8,0.5507496100953371
5,9,0.8383539721148964
5,10,0.5175791693879856
5,11,0.7633145060093791
5,12,0.5483755014604247
5,13,0.5374554288933558
5,14,0.5547712534871808
5,15,0.37957620142382203
5,16,0.5356893012590203
5,17,0.5376946784066472
5,18,0.4734773994814091
5,19,0.465815422271062
6,7,0.465168750437555
6,8,0.6463004422577542
6,9,0.4841445600775249
6,10,0.44136208302559976
6,11,0.47826762034701775
6,12,0.4908254426896978
6,13,0.4832277323019636
6,14,0.3956579820199479
6,15,0.776610495581809
6,16,0.649169197645163
6,17,0.38229960880592406
6,18,0.7176613657741022
6,19,0.3488316265450813
7,8,0.337050353306762
7,9,0.48269579817408076
7,10,0.283264578687485
7,11,0.40214856690284245
7,12,0.41219177366543197
7,13,0.4052464075422725
7,14,0.33222399194117797
7,15,0.31660445286350103
7,16,0.4556926113491655
7,17,0.761711100415905
7,18,0.42468755056564345
7,19,0.3605479520807997
8,9,0.50429836783105
8,10,0.5838981439371203
8,11,0.44179145939658515
8,12,0.5207200417183354
8,13,0.45483563994706744
8,14,0.7175697517811335
8,15,0.552184653745548
8,16,0.5769207145575898
8,17,0.3616523183447907
8,18,0.7145031483228805
8,19,0.43295985324310804
9,10,0.6648441162107758
9,11,0.7650381284676631
9,12,0.7207394146751747
9,13,0.7649887786337951
9,14,0.6114048689021886
9,15,0.344763405468944
9,16,0.5864168070305763
9,17,0.7739894904894088
9,18,0.4693865868695017
9,19,0.6027624682484132
10,11,0.5154646199119616
10,12,0.7280004870294178
10,13,0.673869310889675
10,14,0.6696672057083345
10,15,0.38390964028696406
10,16,0.5585838989891565
10,17,0.5001581392243571
10,18,0.5516993941700349
10,19,0.6203447342593065
11,12,0.4808820403725115
11,13,0.5364024416660146
11,14,0.37497372007093654
11,15,0.3898935294162203
11,16,0.49962387000982
11,17,0.6021514294156307
11,18,0.5446963743198664
11,19,0.6347862428831279
12,13,0.6695695233681933
12,14,0.5993817881894958
12,15,0.44925899552248943
12,16,0.5530617723877056
12,17,0.6605850204007728
12,18,0.48145740983558605
12,19,0.4875000783382397
13,14,0.5423998946305657
13,15,0.34298749455226113
13,16,0.569866201577867
13,17,0.5726015753872478
13,18,0.49848388683569717
13,19,0.520721797014033
14,15,0.37201678679782757
14,16,0.46365385560130223
14,17,0.46146409949683853
14,18,0.4403115645746838
14,19,0.40018306338558907
15,16,0.4912137032599901
15,17,0.2992507343787668
15,18,0.6210050829374509
15,19,0.2639701750354757
16,17,0.4910247137063731
16,18,0.6712294381446381
16,19,0.6007097971221108
17,18,0.3849574945513609
17,19,0.5479187724861283
18,19,0.5685810086396305
