,설치,비계,자재,바닥,이동,거푸집,추락,작업중,안전,발판,사다리,상태,거푸집,설치,계단,손가락,미흡,고정,발판,안전,안전,체결,고리,이동,운전,안전교육,안전벨트,부족,설치,부주의,부주의,가설,공구,계단,본인,인력,운반,미숙,사용,철근,자재,시스템,비계,발판,설치,동바리,이동,운반,외부,정리,골절,발목,왼쪽,통증,시스템,발판,손가락,우측,자재,비계,자의,부주의,불안전,행동,자세,실족,개인,불량,의견,실수,근로자,행동,불안전,부주의,이동,미흡,간의,대차,다림,방법,미흡,신호,체계,전달,위험,요소,주변,운반,고정,정리,목재,부상,좌측,자재,설치,무릎,거푸집,정리,비계,부분,호수,물이,형강,배치,양수기,콘크리트,장비,신호,위치,중량,손가락,엄지손가락,사이,시스템,끼임,부상,자재,우측,비계,타격,흙막이,토류판,가시,굴착,토사,작업중,설치,간이,진흙,상부,추락사고,충돌,설치,굴착기,비계,고리,결속,이동,철골빔,시야,산소,절단,단기,화상,철골빔,호스,용접,용단,연료,치의,단순,과실,자의,협소,구간,계단,가설,바닥,복구,복공,이동,이동식,비계,헛딛임,장위,겨낭줄,횡재,실선,조금,이끼,근로자,자재,정리,우마,비계,적재,정리정돈,상부,이동,원상,의사소통,신호,일치,자간,기사,상호,인조,가시,제때,관계,포트,하층,드롭,패널,얼굴,손등,조정,전달,손위,하부
설치,0.0,0.018067112121441,0.018604949156355532,0.013137673210982637,0.04912301507589317,0.015928348146907294,0.013575825813100727,0.019681742684673112,0.010001147536012289,0.017347482686710824,0.030610467903275707,0.012554114019682625,0.015928348146907294,0.0,0.02692342553956583,0.026815893724450597,0.026247419598384267,0.010949627493078378,0.017347482686710824,0.010001147536012289,0.010001147536012289,0.045581239831402325,0.02110116159978995,0.04912301507589317,0.015236238240728278,0.031470862294096805,0.030686981126879606,0.029785520430216907,0.0,0.02813983386762302,0.02813983386762302,0.0,0.0,0.02692342553956583,0.0,0.0,0.027062634614370692,0.0,0.01784481812209097,0.0,0.018604949156355532,0.05119961392991642,0.018067112121441,0.017347482686710824,0.0,0.027346745370456574,0.04912301507589317,0.027062634614370692,0.024111463452921787,0.023286228684051093,0.0,0.01726139169596766,0.015436372601227658,0.0,0.05119961392991642,0.017347482686710824,0.026815893724450597,0.013848453737424282,0.018604949156355532,0.018067112121441,0.0,0.02813983386762302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02813983386762302,0.04912301507589317,0.026247419598384267,0.0,0.0,0.0,0.0,0.026247419598384267,0.0,0.0,0.0,0.0,0.0,0.0,0.027062634614370692,0.010949627493078378,0.023286228684051093,0.06849052125520116,0.02411306825621825,0.04849315303858454,0.018604949156355532,0.0,0.01692416063093998,0.015928348146907294,0.023286228684051093,0.018067112121441,0.014202147538709322,0.0,0.0,0.0,0.0,0.0,0.0,0.016915402429182626,0.0,0.013299644825210073,0.0,0.026815893724450597,0.0,0.019140276344421565,0.05119961392991642,0.02143110603418584,0.02411306825621825,0.018604949156355532,0.013848453737424282,0.018067112121441,0.017444367708287518,0.07132406890883772,0.046281450434274424,0.04014104526389672,0.03056958415755613,0.024712881963734015,0.019681742684673112,0.0,0.015817107615005387,0.015577984213336962,0.03458371067379873,0.04717683998557601,0.04608498565947699,0.0,0.054001918392437565,0.018067112121441,0.02110116159978995,0.016107495911933813,0.04912301507589317,0.04757711759689778,0.013783919354561433,0.0,0.0,0.0,0.0,0.04757711759689778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0200031053330926,0.02692342553956583,0.0,0.013137673210982637,0.0060120507207728794,0.0,0.04912301507589317,0.0,0.018067112121441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018604949156355532,0.023286228684051093,0.0,0.018067112121441,0.029327439273005202,0.0,0.03458371067379873,0.04912301507589317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04014104526389672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0328547771247792
비계,0.018067112121441,0.0,0.016235138639751838,0.015482587187863175,0.016896190040128,0.011898387327026659,0.01670369337247857,0.01195002299466118,0.021193986712307093,0.015542734628930282,0.01561859142254719,0.013253753399182675,0.011898387327026659,0.018067112121441,0.0,0.08645703647980821,0.0,0.015764251795977156,0.015542734628930282,0.021193986712307093,0.021193986712307093,0.0,0.04835864629727208,0.016896190040128,0.0,0.0,0.0,0.01498853002267387,0.018067112121441,0.0,0.0,0.0,0.026052105206143348,0.0,0.0,0.0,0.025968518331172658,0.0,0.017998109880865264,0.024965520278840445,0.016235138639751838,0.047630001102970804,0.0,0.015542734628930282,0.018067112121441,0.02367311753937366,0.016896190040128,0.025968518331172658,0.02049397050916407,0.021190061232106518,0.08834107688285779,0.015502001849222498,0.0344011921314411,0.031532625064874746,0.047630001102970804,0.015542734628930282,0.08645703647980821,0.011782865434981006,0.016235138639751838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10880370796869844,0.0,0.0,0.0,0.016896190040128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022413674991367927,0.0,0.0,0.015788221063635893,0.025968518331172658,0.015764251795977156,0.021190061232106518,0.06564288445662167,0.045215737362503935,0.045645516240005034,0.016235138639751838,0.018067112121441,0.012756948573757433,0.011898387327026659,0.021190061232106518,0.0,0.011542545436366864,0.0,0.0,0.0,0.0,0.0,0.0,0.014406277534680982,0.0,0.0,0.0,0.08645703647980821,0.06165768278580684,0.018443369442395816,0.047630001102970804,0.017493424905805917,0.045215737362503935,0.016235138639751838,0.011782865434981006,0.0,0.012164147922164255,0.0,0.0,0.0,0.0,0.0,0.01195002299466118,0.018067112121441,0.0,0.0,0.023274375429270616,0.13181188079255488,0.1233697766096363,0.018067112121441,0.05193568206326206,0.0,0.04835864629727208,0.04752095847962237,0.016896190040128,0.04551088126772228,0.044940871290504336,0.0,0.0,0.0,0.0,0.04551088126772228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02084277501795551,0.0,0.0,0.015482587187863175,0.005029559184042542,0.0,0.016896190040128,0.05879054178711011,0.0,0.03417743279523796,0.03417743279523796,0.03417743279523796,0.03417743279523796,0.03417743279523796,0.03417743279523796,0.03198764540011759,0.10880370796869844,0.016235138639751838,0.021190061232106518,0.06103539674420221,0.0,0.02565489613201913,0.055878330362640054,0.023274375429270616,0.016896190040128,0.052711853850107196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022413674991367927,0.0,0.01959224868770831
자재,0.018604949156355532,0.016235138639751838,0.0,0.010731968951658304,0.09322176275121334,0.015331612278005047,0.008915271944670752,0.012199651945961842,0.01981952587409387,0.015353791775602397,0.0,0.0,0.015331612278005047,0.018604949156355532,0.0,0.08783255417288627,0.0,0.010208151947873272,0.015353791775602397,0.01981952587409387,0.01981952587409387,0.0,0.0,0.09322176275121334,0.0,0.0,0.0,0.0,0.018604949156355532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026511259236007247,0.0,0.017825675742487865,0.0,0.0,0.04771810042497423,0.016235138639751838,0.015353791775602397,0.018604949156355532,0.025179078377635503,0.09322176275121334,0.026511259236007247,0.020008030662714366,0.028588223983485924,0.08858039499483077,0.020887467488801922,0.03464051024341408,0.03177194317684773,0.04771810042497423,0.015353791775602397,0.08783255417288627,0.015342865001581487,0.0,0.016235138639751838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07108641157996481,0.0,0.0,0.0,0.09322176275121334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026511259236007247,0.010208151947873272,0.028588223983485924,0.07261981848655814,0.046591255055582,0.052622450269941515,0.0,0.018604949156355532,0.01570304286654855,0.015331612278005047,0.028588223983485924,0.016235138639751838,0.011058873291281723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012015252646939456,0.011029650579393946,0.08783255417288627,0.0630332004788849,0.05495870181711964,0.04771810042497423,0.02525910224345455,0.046591255055582,0.0,0.015342865001581487,0.016235138639751838,0.01213538224002438,0.0,0.0,0.0,0.0,0.0,0.012199651945961842,0.018604949156355532,0.0,0.0,0.029460410454835346,0.0,0.0,0.018604949156355532,0.0,0.016235138639751838,0.0,0.0,0.09322176275121334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015740954612389547,0.0,0.0,0.010731968951658304,0.006502937286879487,0.0,0.09322176275121334,0.0,0.016235138639751838,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07108641157996481,0.0,0.028588223983485924,0.02971333215241307,0.016235138639751838,0.03269612213306509,0.02569827759307105,0.029460410454835346,0.09322176275121334,0.022487708654974792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02696069796428412
바닥,0.013137673210982637,0.015482587187863175,0.010731968951658304,0.0,0.014768133369672224,0.011547846343894046,0.014460072792759304,0.010297172024375672,0.01969357722173061,0.007947976376984722,0.017835625696061373,0.015386937671168388,0.011547846343894046,0.013137673210982637,0.03384369456744534,0.0,0.0,0.015305814697288088,0.007947976376984722,0.01969357722173061,0.01969357722173061,0.0,0.0,0.014768133369672224,0.012241463058068816,0.0,0.0,0.013788752583335595,0.013137673210982637,0.0,0.0,0.03307107228239123,0.017549513446559903,0.03384369456744534,0.0,0.0,0.021350038678346443,0.0,0.0,0.019183501505483654,0.010731968951658304,0.0,0.015482587187863175,0.007947976376984722,0.013137673210982637,0.013498731387603727,0.014768133369672224,0.021350038678346443,0.0,0.015189566744613027,0.0,0.0,0.013082444077399108,0.0,0.0,0.007947976376984722,0.0,0.011231134769990525,0.010731968951658304,0.015482587187863175,0.35005244604951213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014768133369672224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031824854496202294,0.0,0.0,0.0,0.021350038678346443,0.015305814697288088,0.015189566744613027,0.0,0.0,0.01579155718548525,0.010731968951658304,0.013137673210982637,0.0,0.011547846343894046,0.015189566744613027,0.015482587187863175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016057789566611406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010731968951658304,0.011231134769990525,0.015482587187863175,0.0114239579729617,0.0,0.0,0.0,0.0,0.0,0.010297172024375672,0.013137673210982637,0.0,0.0,0.020898711521924677,0.0,0.0,0.013137673210982637,0.0,0.015482587187863175,0.0,0.0,0.014768133369672224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5291832125233484,0.4811802680943754,0.35005244604951213,0.018503600638455703,0.02399957140918275,0.03384369456744534,0.03307107228239123,0.0,0.015160067728848552,0.015160067728848552,0.014768133369672224,0.060383931618184866,0.015482587187863175,0.03292541401395038,0.03292541401395038,0.03292541401395038,0.03292541401395038,0.03292541401395038,0.03292541401395038,0.030807116118222462,0.0,0.010731968951658304,0.015189566744613027,0.0,0.015482587187863175,0.014911464801953728,0.0,0.020898711521924677,0.014768133369672224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03636076983126,0.0,0.0,0.019857720892526687,0.0,0.0,0.031824854496202294,0.0,0.024055457632200294
이동,0.04912301507589317,0.016896190040128,0.09322176275121334,0.014768133369672224,0.0,0.02057764116476873,0.014948856948765767,0.01971995760426974,0.07761221980900504,0.06656187526149304,0.019667442167284475,0.0132387070982352,0.02057764116476873,0.04912301507589317,0.0,0.0,0.04908592352381519,0.011805590141060404,0.06656187526149304,0.07761221980900504,0.07761221980900504,0.04949308184434208,0.0439214295754856,0.0,0.035481037356640696,0.03538270430703656,0.03459882313981936,0.01930166314103664,0.04912301507589317,0.06913718250706687,0.06913718250706687,0.0,0.026259807494764885,0.0,0.0,0.0,0.04447593107974618,0.0,0.0,0.028363941678699305,0.09322176275121334,0.07587299423306329,0.016896190040128,0.06656187526149304,0.04912301507589317,0.04524620704232536,0.0,0.04447593107974618,0.04435378315956856,0.06277412058200262,0.0,0.0,0.0,0.0,0.07587299423306329,0.06656187526149304,0.0,0.0,0.09322176275121334,0.016896190040128,0.0,0.06913718250706687,0.07903619121617726,0.09743062953110958,0.0,0.0,0.0,0.0,0.0,0.0,0.10334204603391935,0.09743062953110958,0.07903619121617726,0.06913718250706687,0.0,0.04908592352381519,0.047679585955047225,0.04734575713419924,0.04618931932395527,0.0459189766218958,0.04908592352381519,0.0,0.0,0.026749825096981327,0.0,0.0,0.0,0.04447593107974618,0.011805590141060404,0.06277412058200262,0.0,0.0,0.0,0.09322176275121334,0.04912301507589317,0.0,0.02057764116476873,0.06277412058200262,0.016896190040128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07587299423306329,0.0,0.0,0.09322176275121334,0.0,0.016896190040128,0.0,0.0,0.0,0.0,0.0,0.0,0.01971995760426974,0.04912301507589317,0.0,0.0,0.04893763547789181,0.12737466407076842,0.11893255988784983,0.04912301507589317,0.04749846534147559,0.016896190040128,0.0439214295754856,0.04308374175783589,0.0,0.041073664545935806,0.040503654568717865,0.0,0.0,0.0,0.0,0.041073664545935806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016515503770421693,0.0,0.0,0.014768133369672224,0.0,0.0,0.0,0.08617142532373172,0.016896190040128,0.05588010533976806,0.05588010533976806,0.05588010533976806,0.05588010533976806,0.05588010533976806,0.05588010533976806,0.05148710335361064,0.10334204603391935,0.09322176275121334,0.06277412058200262,0.05557373480942311,0.016896190040128,0.050938152646557947,0.05041666842786095,0.04893763547789181,0.0,0.047250191915328095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026749825096981327,0.0,0.0
거푸집,0.015928348146907294,0.011898387327026659,0.015331612278005047,0.011547846343894046,0.02057764116476873,0.0,0.020015166797321904,0.01222189373617507,0.024027531385353088,0.010777892245988921,0.011315595536989803,0.02785931987922443,0.0,0.015928348146907294,0.027222442713738207,0.011403085301314146,0.026546436772556636,0.010999544182001424,0.010777892245988921,0.024027531385353088,0.024027531385353088,0.0,0.0,0.02057764116476873,0.0,0.0,0.0,0.0,0.015928348146907294,0.0,0.0,0.0,0.0,0.027222442713738207,0.0,0.0,0.02476076830632169,0.0,0.016761508906627157,0.0,0.015331612278005047,0.03560903464896026,0.011898387327026659,0.010777892245988921,0.015928348146907294,0.02373936798998934,0.02057764116476873,0.02476076830632169,0.01741171341877372,0.02009048482269243,0.0,0.021835988135061435,0.018132397237464182,0.014592669935950778,0.03560903464896026,0.010777892245988921,0.011403085301314146,0.018323646452469956,0.015331612278005047,0.011898387327026659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02057764116476873,0.026546436772556636,0.0,0.0,0.0,0.0,0.026546436772556636,0.0,0.0,0.0,0.0,0.0,0.0,0.02476076830632169,0.010999544182001424,0.02009048482269243,0.03044730311484735,0.03419547714416331,0.024198835465892653,0.015331612278005047,0.015928348146907294,0.018000167131124532,0.0,0.02009048482269243,0.011898387327026659,0.017657705903614127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013426505820566344,0.01048327205509741,0.011403085301314146,0.0,0.020454355580934575,0.03560903464896026,0.022107899129783445,0.03419547714416331,0.015331612278005047,0.018323646452469956,0.011898387327026659,0.015289239974087666,0.0,0.0,0.0,0.0,0.0,0.01222189373617507,0.015928348146907294,0.0,0.0,0.023164006309235867,0.0,0.0,0.015928348146907294,0.0,0.011898387327026659,0.0,0.0,0.02057764116476873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027222442713738207,0.0,0.011547846343894046,0.0,0.0,0.02057764116476873,0.0,0.011898387327026659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015331612278005047,0.02009048482269243,0.0,0.011898387327026659,0.022675443897988066,0.0,0.023164006309235867,0.02057764116476873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14325959763314772,0.03753139281557709,0.027819548113882684,0.025353895415304327,0.024062879261390342,0.022829047980822505,0.021470521117143152,0.0,0.01724131628747798,0.02910915262459291
추락,0.013575825813100727,0.01670369337247857,0.008915271944670752,0.014460072792759304,0.014948856948765767,0.020015166797321904,0.0,0.009818330955416182,0.008065389764025663,0.01033182617555729,0.01573044687280457,0.015497624836690203,0.020015166797321904,0.013575825813100727,0.0,0.0,0.0,0.01122797178801524,0.01033182617555729,0.008065389764025663,0.008065389764025663,0.01659756991417099,0.016662819933204755,0.014948856948765767,0.0,0.0,0.0,0.020366621396095914,0.013575825813100727,0.0,0.0,0.0,0.022069764228286957,0.0,0.0,0.0,0.01827097082939332,0.0,0.013376622313015436,0.021115873816914023,0.008915271944670752,0.025034970271342844,0.01670369337247857,0.01033182617555729,0.013575825813100727,0.017522965844173528,0.014948856948765767,0.01827097082939332,0.012617539742082682,0.0,0.0,0.0,0.0,0.0,0.025034970271342844,0.01033182617555729,0.0,0.0,0.008915271944670752,0.01670369337247857,0.0,0.0,0.03987532928776046,0.0,0.027249554985439694,0.02405537253429637,0.024481418447841213,0.028308657045671162,0.017265252432650806,0.01829630733023125,0.0,0.0,0.03987532928776046,0.0,0.014948856948765767,0.0,0.0,0.0,0.0,0.011468886375016201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01827097082939332,0.01122797178801524,0.0,0.0,0.0,0.0,0.008915271944670752,0.013575825813100727,0.0,0.020015166797321904,0.0,0.01670369337247857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014226233767938582,0.0,0.0,0.0,0.0,0.0,0.0,0.025034970271342844,0.0,0.0,0.008915271944670752,0.0,0.01670369337247857,0.01103624263599733,0.0,0.0,0.0,0.0,0.0,0.009818330955416182,0.013575825813100727,0.0,0.0,0.019976851119743767,0.0,0.0,0.013575825813100727,0.0,0.01670369337247857,0.016662819933204755,0.0,0.014948856948765767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02020762286731131,0.0,0.0,0.014460072792759304,0.0,0.0,0.014948856948765767,0.056555193204835395,0.01670369337247857,0.03527980678017233,0.03527980678017233,0.03527980678017233,0.03527980678017233,0.03527980678017233,0.03527980678017233,0.03260852015039359,0.0,0.008915271944670752,0.0,0.0,0.01670369337247857,0.016233966984585523,0.0,0.019976851119743767,0.014948856948765767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
작업중,0.019681742684673112,0.01195002299466118,0.012199651945961842,0.010297172024375672,0.01971995760426974,0.01222189373617507,0.009818330955416182,0.0,0.007142553035776253,0.010466013457436304,0.0,0.013577897489614535,0.01222189373617507,0.019681742684673112,0.0,0.01078816761245046,0.0,0.008547173132775115,0.010466013457436304,0.007142553035776253,0.007142553035776253,0.0,0.0,0.01971995760426974,0.011373991544577496,0.0,0.0,0.0,0.019681742684673112,0.0,0.0,0.020183341093148677,0.0,0.0,0.0,0.0,0.024052083891342262,0.0,0.01817483663059526,0.0,0.012199651945961842,0.037901712985726775,0.01195002299466118,0.010466013457436304,0.019681742684673112,0.01813945699310353,0.01971995760426974,0.024052083891342262,0.01741429574023646,0.018057422283587133,0.0,0.015518040654248036,0.014951318956883102,0.012665789491930196,0.037901712985726775,0.010466013457436304,0.01078816761245046,0.014245378726287474,0.012199651945961842,0.01195002299466118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01971995760426974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024052083891342262,0.008547173132775115,0.018057422283587133,0.0,0.028691293664412598,0.015648336148186854,0.012199651945961842,0.019681742684673112,0.015068349744165889,0.01222189373617507,0.018057422283587133,0.01195002299466118,0.015518564045861076,0.0,0.0,0.0,0.0,0.0,0.0,0.01752101119485863,0.0,0.011912491483187326,0.011554651005313828,0.01078816761245046,0.0,0.022233564015280035,0.037901712985726775,0.021438577879818635,0.028691293664412598,0.012199651945961842,0.014245378726287474,0.01195002299466118,0.01910621254573863,0.09701639609206145,0.06364341157243139,0.048856270254301566,0.0373589813340135,0.031830962837190974,0.0,0.019681742684673112,0.020585979479586847,0.02072847548492074,0.030361851584629354,0.0,0.0,0.019681742684673112,0.0,0.01195002299466118,0.0,0.0,0.01971995760426974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0222917506857186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017792979609521534,0.0,0.020183341093148677,0.010297172024375672,0.0,0.0,0.01971995760426974,0.0,0.01195002299466118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012199651945961842,0.018057422283587133,0.0,0.01195002299466118,0.023568940462734396,0.0,0.030361851584629354,0.01971995760426974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.048856270254301566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03198152260141326
안전,0.010001147536012289,0.021193986712307093,0.01981952587409387,0.01969357722173061,0.07761221980900504,0.024027531385353088,0.008065389764025663,0.007142553035776253,0.0,0.02102116272651952,0.02710498296498852,0.010478573845501033,0.024027531385353088,0.010001147536012289,0.023417940601278643,0.023310408786163406,0.022741934660097076,0.022518338684176735,0.02102116272651952,0.0,0.0,0.03928627866001654,0.03470529367710499,0.07761221980900504,0.0193386851882457,0.024270789149279392,0.023757834082114605,0.011483619910890834,0.010001147536012289,0.07326206054427647,0.07326206054427647,0.0,0.0,0.023417940601278643,0.0,0.0,0.0,0.0,0.014092652169474092,0.0,0.01981952587409387,0.0,0.021193986712307093,0.02102116272651952,0.010001147536012289,0.0,0.07761221980900504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02102116272651952,0.023310408786163406,0.0,0.01981952587409387,0.021193986712307093,0.0,0.07326206054427647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07326206054427647,0.07761221980900504,0.022741934660097076,0.0,0.0,0.0,0.0,0.022741934660097076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022518338684176735,0.0,0.0,0.0,0.0,0.01981952587409387,0.010001147536012289,0.0,0.024027531385353088,0.0,0.021193986712307093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014858073353184155,0.0,0.0,0.0,0.023310408786163406,0.0,0.0,0.0,0.0,0.0,0.01981952587409387,0.0,0.021193986712307093,0.0,0.0,0.0,0.0,0.0,0.0,0.007142553035776253,0.010001147536012289,0.0,0.0,0.0,0.0,0.0,0.010001147536012289,0.0,0.021193986712307093,0.03470529367710499,0.0,0.07761221980900504,0.0,0.011575170928120894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023417940601278643,0.0,0.01969357722173061,0.0,0.0,0.07761221980900504,0.0,0.021193986712307093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01981952587409387,0.0,0.0,0.021193986712307093,0.0,0.0,0.0,0.07761221980900504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
발판,0.017347482686710824,0.015542734628930282,0.015353791775602397,0.007947976376984722,0.06656187526149304,0.010777892245988921,0.01033182617555729,0.010466013457436304,0.02102116272651952,0.0,0.027903116418614517,0.008842648010122715,0.010777892245988921,0.017347482686710824,0.02421607405490464,0.009586602169457923,0.02354006811372307,0.009265664716263142,0.0,0.02102116272651952,0.02102116272651952,0.0,0.0,0.06656187526149304,0.0,0.0,0.0,0.0,0.017347482686710824,0.0,0.0,0.0,0.0,0.02421607405490464,0.0,0.0,0.023248380762540908,0.0,0.014752472223580088,0.0,0.015353791775602397,0.05732483270964601,0.015542734628930282,0.0,0.017347482686710824,0.027686437339816853,0.06656187526149304,0.023248380762540908,0.02393767252236873,0.0191093809448006,0.08932656815572684,0.01597278569903218,0.012637665899656694,0.011185638216098285,0.05732483270964601,0.0,0.009586602169457923,0.011196739662577249,0.015353791775602397,0.015542734628930282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022153776754677373,0.0,0.015973169112613282,0.0,0.0,0.0,0.0,0.06656187526149304,0.02354006811372307,0.0,0.0,0.0,0.01362676257745175,0.02354006811372307,0.0,0.0,0.0,0.0,0.0,0.0,0.023248380762540908,0.009265664716263142,0.0191093809448006,0.0,0.0,0.0,0.015353791775602397,0.017347482686710824,0.0,0.010777892245988921,0.0191093809448006,0.015542734628930282,0.01235149038424693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009790553902718659,0.009586602169457923,0.0,0.02381330644017731,0.05732483270964601,0.018585873346132157,0.0,0.015353791775602397,0.011196739662577249,0.015542734628930282,0.015558168504163996,0.0,0.0,0.0,0.0,0.0,0.010466013457436304,0.017347482686710824,0.0,0.0,0.02388905391395715,0.0,0.0,0.017347482686710824,0.0,0.015542734628930282,0.0,0.0,0.06656187526149304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012285892799240949,0.02421607405490464,0.0,0.007947976376984722,0.0,0.0,0.06656187526149304,0.0,0.015542734628930282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015353791775602397,0.0191093809448006,0.0,0.015542734628930282,0.02371687449476203,0.0,0.02388905391395715,0.06656187526149304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018420825195706522
