,배관,바닥,설치,비계,자재,이동,안전,발판,상태,운반,상태,미흡,그라인더,배관,안전,차량,고정,구간,설치,실시,손가락,장갑,절단,왼손,배관,끼임,골절,검지,왼쪽,사이,사다리,안전,추락,인조,이용,미끄럼,높이,발판,사용,아웃,부주의,개인,동작,본인,과실,부족,홀더선,순관,능력,부품,근로자,행동,불안전,부주의,작업장,체계,발판,이동,상태,신호,위험,불안전,대책,자세,돌출,원인,교육,요인,도출,방법,배관,이동,포트,설치,천장,비계,자재,추락,발목,철골,이동식,이송,자재,통로,지정,비계,이동,하나,불안전,운반,미흡,소음,통제,착용,설정,주변,구획,예방,구간,소화기,골절,발목,무릎,충격,계단,손목,마치,가설,도로,우측,계단,가설,건물,이동,이용,부주의,점등,가로,벽돌,신년,어깨,통증,허리,요양,산재,신청,느낌,방문,진단,운반,가스,용기,내부,잔류,시공,배관,불티,화재,와이어,방서,질병,질환,장기간,골격계,개인,종사,건강,업무,자세,플랜트,대차,바퀴,컨베이어,사이,협착,이동,방향,덕트,크레인,부족,이동,부주의,행동,낙상,미고,주장,조기,마치,인력,중량,단순,과실,자의,부주의,베이스,베임,벨트,벽돌,벽면,벽체,엘리베이터,상층,와이어로프,내부,외줄,텐션,피트,추락,설치,이스트,로프,밸브,지지,벽체,리프트,철골,테이블,중인,인양,협착된
배관,0.0,0.02447010513192135,0.020850851702298907,0.015902507721577516,0.010046199680612586,0.07721213703205282,0.012576431310104904,0.02645526759969908,0.013935115527084053,0.013203892430281935,0.013935115527084053,0.02630743905695844,0.0157639557401604,0.0,0.012576431310104904,0.01749697553888743,0.011475638021799461,0.010016676809806203,0.020850851702298907,0.022562783903321507,0.02869351498788379,0.05359345578147344,0.029530764495699205,0.02103839586760866,0.0,0.01858334456279451,0.03854113223174736,0.01193133640108882,0.01567683510014386,0.018867232884605775,0.0,0.012576431310104904,0.01635511768225585,0.0,0.016842261559010394,0.0,0.017472021565288404,0.02645526759969908,0.02035979404201717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02645526759969908,0.07721213703205282,0.013935115527084053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07721213703205282,0.03131270578896039,0.020850851702298907,0.02808416186257773,0.015902507721577516,0.010046199680612586,0.01635511768225585,0.06037137191517151,0.017414300496180226,0.0,0.0,0.010046199680612586,0.0,0.0,0.015902507721577516,0.07721213703205282,0.0,0.0,0.013203892430281935,0.02630743905695844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010016676809806203,0.0,0.03854113223174736,0.06037137191517151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025393624567378672,0.0,0.0,0.0,0.07721213703205282,0.016842261559010394,0.0,0.0,0.0,0.0,0.0,0.05623061870801398,0.054234968605059684,0.03829274532143456,0.0,0.017516536841670063,0.017516536841670063,0.0,0.01680975038903888,0.016995640580116836,0.013203892430281935,0.03182990283039097,0.021453614563950844,0.022183576103133724,0.017102391709888275,0.019693823317928356,0.0,0.016329016189697627,0.016230054353317015,0.018547636033684707,0.014066999321128601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867232884605775,0.024531541102371966,0.07721213703205282,0.01761193573373469,0.02332409947957474,0.0,0.0,0.07721213703205282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007377052228551501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022183576103133724,0.0,0.0,0.0,0.01635511768225585,0.020850851702298907,0.0,0.029854095847937634,0.0,0.0,0.0,0.02083963822528758,0.017414300496180226,0.0,0.0,0.0,0.0
바닥,0.02447010513192135,0.0,0.01781292671420001,0.012412853965330466,0.010317979379103184,0.024552780061329937,0.012344030967849315,0.011418988395314774,0.010772164440006494,0.010474398904885721,0.010772164440006494,0.0,0.010390423662018077,0.02447010513192135,0.012344030967849315,0.010334962666345699,0.01068411371469172,0.010165165325744744,0.01781292671420001,0.00856554192099979,0.0,0.0,0.020205911776273938,0.01588562520582423,0.02447010513192135,0.01741781151664997,0.014522313009873309,0.0,0.015115040192541672,0.015327676752441977,0.05234361051555995,0.012344030967849315,0.021434216743696863,0.0,0.01671287066436413,0.0,0.01674792338084617,0.011418988395314774,0.01923632836342643,0.011372546902900103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011418988395314774,0.024552780061329937,0.010772164440006494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02447010513192135,0.024552780061329937,0.015675262648437924,0.01781292671420001,0.016005276024930907,0.012412853965330466,0.010317979379103184,0.021434216743696863,0.014225360745572757,0.0,0.0,0.0,0.010317979379103184,0.0,0.0,0.012412853965330466,0.024552780061329937,0.0,0.0,0.010474398904885721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010165165325744744,0.0,0.014522313009873309,0.014225360745572757,0.030041221715247885,0.02930761308837815,0.0,0.026115126780464265,0.0,0.0,0.019217899613776086,0.03023728797926852,0.0,0.0,0.0,0.024552780061329937,0.01671287066436413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010474398904885721,0.04511330120189477,0.028879378770136726,0.031073499748621218,0.023479330641058203,0.029479939569981177,0.02447010513192135,0.021155308685093008,0.02199121296923534,0.022037043518685663,0.01902049241362709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015327676752441977,0.018487477492170622,0.024552780061329937,0.0,0.02127428566922162,0.014327008003391302,0.0,0.024552780061329937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005515101043004762,0.006346447167666498,0.0,0.0,0.0,0.0,0.0,0.0,0.031073499748621218,0.0,0.0,0.0,0.021434216743696863,0.01781292671420001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
설치,0.020850851702298907,0.01781292671420001,0.0,0.016469325688651365,0.014985351016156476,0.06337064862359815,0.010409993942566859,0.014019147171037777,0.009412327609203132,0.014040596050587122,0.009412327609203132,0.0249188147888625,0.023778727874186115,0.020850851702298907,0.010409993942566859,0.01116057870593435,0.014948529219450392,0.021609769437369482,0.0,0.02117415963522557,0.0,0.0,0.01502595914044162,0.0,0.020850851702298907,0.016973156451420914,0.0,0.0,0.01569141550252893,0.010897673724793507,0.0,0.010409993942566859,0.02901908180400751,0.0,0.02552747408640721,0.0,0.023983376471904922,0.014019147171037777,0.022877755385644464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014019147171037777,0.06337064862359815,0.009412327609203132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020850851702298907,0.06337064862359815,0.018981896105709127,0.0,0.01824346206132897,0.016469325688651365,0.014985351016156476,0.02901908180400751,0.04652988350671683,0.016754711482850175,0.0,0.0,0.014985351016156476,0.0,0.0,0.016469325688651365,0.06337064862359815,0.0,0.0,0.014040596050587122,0.0249188147888625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021609769437369482,0.0,0.0,0.04652988350671683,0.0,0.0,0.022275874129788986,0.0,0.0,0.0,0.0,0.019403121338378355,0.022275874129788986,0.0,0.026305285717975663,0.06337064862359815,0.02552747408640721,0.0,0.015336124205948464,0.015336124205948464,0.015336124205948464,0.015336124205948464,0.0,0.0,0.030814708770500483,0.0,0.0,0.0,0.0,0.0,0.0,0.014040596050587122,0.0,0.0,0.03237147781743156,0.0,0.0,0.020850851702298907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010897673724793507,0.0,0.06337064862359815,0.0,0.015921635259854777,0.0,0.0,0.06337064862359815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015336124205948464,0.00699457749913961,0.007861090132579046,0.10870351067490772,0.03316825244608397,0.030274914678404017,0.03237147781743156,0.0283833640888341,0.02614265587247892,0.02614265587247892,0.02901908180400751,0.0,0.02534250211912285,0.03688874126344723,0.03022818372910523,0.02443163343155326,0.007861090132579046,0.02308788182418504,0.016754711482850175,0.01685842416171705,0.0170201902645904,0.023613711858253415,0.016926981681222135
비계,0.015902507721577516,0.012412853965330466,0.016469325688651365,0.0,0.018739586998798713,0.012979968289124979,0.008494039798933331,0.010193825720045346,0.010415695099450294,0.016809572389223766,0.010415695099450294,0.0,0.0,0.015902507721577516,0.008494039798933331,0.009890535799924709,0.00806230247472651,0.01302667613849181,0.016469325688651365,0.0,0.0,0.0,0.0,0.0,0.015902507721577516,0.0,0.0,0.0,0.0,0.010013416475573106,0.0,0.008494039798933331,0.042690577795527554,0.0,0.024123557759017002,0.0,0.020547534161978007,0.010193825720045346,0.018371132466980092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023643447604263526,0.02375233972986993,0.0,0.0,0.0,0.010193825720045346,0.012979968289124979,0.010415695099450294,0.0,0.0,0.02375233972986993,0.0,0.015706137228012552,0.0,0.0,0.0,0.0,0.0,0.014498100489249204,0.015902507721577516,0.012979968289124979,0.014998585337878597,0.016469325688651365,0.013119144274064506,0.0,0.018739586998798713,0.042690577795527554,0.010490746715691682,0.011344510622082426,0.077278103945439,0.056647706695435604,0.018739586998798713,0.04501822785865581,0.040916839452659864,0.0,0.012979968289124979,0.027741175323284975,0.02375233972986993,0.016809572389223766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01302667613849181,0.0,0.0,0.010490746715691682,0.0,0.0,0.0,0.0,0.026740971946743637,0.0,0.0,0.017410872964999557,0.0,0.0,0.0,0.012979968289124979,0.024123557759017002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016809572389223766,0.0,0.0,0.0,0.0,0.0,0.015902507721577516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015706137228012552,0.0,0.04144477359212072,0.0,0.0,0.010013416475573106,0.016465822823478894,0.012979968289124979,0.0,0.01793204301656427,0.0,0.0,0.012979968289124979,0.0,0.023643447604263526,0.03294199025564908,0.0,0.0226126829439766,0.0,0.026740971946743637,0.02597944383010768,0.02457803613681844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004591821929499235,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042690577795527554,0.016469325688651365,0.0,0.028258563559417624,0.0,0.0,0.004591821929499235,0.0,0.011344510622082426,0.0,0.0,0.0,0.0
자재,0.010046199680612586,0.010317979379103184,0.014985351016156476,0.018739586998798713,0.0,0.01054042327894558,0.02080498820085646,0.013337461002528209,0.00702325351436675,0.01459949672517763,0.00702325351436675,0.0,0.0,0.010046199680612586,0.02080498820085646,0.0,0.0,0.0120590904317051,0.014985351016156476,0.00790735111314089,0.0,0.0,0.0,0.0,0.010046199680612586,0.011760089829181461,0.0,0.0,0.0,0.0,0.0,0.02080498820085646,0.014527166729778317,0.0,0.020374160432787124,0.0,0.014894632206870503,0.013337461002528209,0.016008435497686452,0.0,0.15598929000472675,0.0,0.02041342611287321,0.021617153414590473,0.0,0.017003867197151516,0.01494803220223553,0.01494803220223553,0.01494803220223553,0.01494803220223553,0.0,0.020645640550224952,0.02088044074875273,0.15598929000472675,0.0,0.0,0.013337461002528209,0.01054042327894558,0.00702325351436675,0.0,0.0,0.02088044074875273,0.0,0.015841028798988053,0.0,0.0,0.0,0.0,0.0,0.01970653479257885,0.010046199680612586,0.01054042327894558,0.04981104582863753,0.014985351016156476,0.04572108985340649,0.018739586998798713,0.0,0.014527166729778317,0.03898749102055182,0.03886206086552464,0.07591271975883006,0.05900507745015769,0.0,0.047084213359915375,0.04435701718473852,0.018739586998798713,0.01054042327894558,0.029410868069262304,0.02088044074875273,0.01459949672517763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0120590904317051,0.0,0.0,0.03898749102055182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01054042327894558,0.020374160432787124,0.15598929000472675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01459949672517763,0.0,0.0,0.0,0.0,0.0,0.010046199680612586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015841028798988053,0.0,0.0,0.0,0.0,0.0,0.01667429932881406,0.01054042327894558,0.0,0.0,0.0,0.017003867197151516,0.01054042327894558,0.15598929000472675,0.020645640550224952,0.027952329982175124,0.0,0.0,0.0,0.0,0.0,0.019106782254686813,0.0,0.0,0.0,0.15598929000472675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014527166729778317,0.014985351016156476,0.016441778769584626,0.0,0.0,0.0,0.0,0.0,0.03886206086552464,0.0,0.0,0.0,0.0
이동,0.07721213703205282,0.024552780061329937,0.06337064862359815,0.012979968289124979,0.01054042327894558,0.0,0.020436475052319644,0.033213250041969955,0.03314768238827819,0.01334921191553635,0.03314768238827819,0.0,0.0,0.07721213703205282,0.020436475052319644,0.0,0.0,0.014387064624300113,0.06337064862359815,0.0,0.0,0.0,0.0,0.0,0.07721213703205282,0.0,0.0,0.0,0.0,0.06649401743342452,0.0,0.020436475052319644,0.05468048560209807,0.0,0.0792854992108976,0.0,0.0,0.033213250041969955,0.0,0.0,0.16409180449452526,0.0,0.0,0.0,0.0,0.0561371709756556,0.0,0.0,0.0,0.0,0.1397510201529212,0.04130892278670727,0.019676909987060426,0.16409180449452526,0.035022891475831944,0.033600329130785415,0.033213250041969955,0.0,0.03314768238827819,0.03235318235388309,0.0,0.019676909987060426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07721213703205282,0.0,0.06370682810720148,0.06337064862359815,0.059616872131970436,0.012979968289124979,0.01054042327894558,0.05468048560209807,0.015399703888415347,0.05275784314408859,0.05433023559903502,0.11022994971204364,0.01054042327894558,0.09196111396604117,0.09171279972143997,0.012979968289124979,0.0,0.06880736521074324,0.019676909987060426,0.01334921191553635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014387064624300113,0.0,0.0,0.015399703888415347,0.0,0.0,0.3582833270889977,0.0,0.04122178241414515,0.10150499766076343,0.0,0.0,0.3582833270889977,0.10150499766076343,0.09539763984665975,0.0,0.0792854992108976,0.16409180449452526,0.07591515558003006,0.07591515558003006,0.07591515558003006,0.07591515558003006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01334921191553635,0.0,0.0,0.0,0.0,0.0,0.07721213703205282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12362934158097189,0.0748331154834021,0.0740729055049347,0.06649401743342452,0.06321902530244676,0.0,0.060338341144303795,0.06019990956368239,0.057714663641782835,0.0561371709756556,0.0,0.16409180449452526,0.04130892278670727,0.06062474105142037,0.05731095250491721,0.058431467032019804,0.05740762338999951,0.04122178241414515,0.04882152522961357,0.03641011119116037,0.0,0.0,0.0,0.16409180449452526,0.0,0.0,0.0,0.07591515558003006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05468048560209807,0.06337064862359815,0.0,0.0,0.0,0.0,0.0,0.0,0.05275784314408859,0.0,0.0,0.0,0.0
안전,0.012576431310104904,0.012344030967849315,0.010409993942566859,0.008494039798933331,0.02080498820085646,0.020436475052319644,0.0,0.012924724086696622,0.00985213071719529,0.01883377049183571,0.00985213071719529,0.025742536839024333,0.024602449924347947,0.012576431310104904,0.0,0.02285126211044925,0.012770210059494679,0.022433491487531314,0.010409993942566859,0.007024952237530435,0.0,0.0,0.0,0.0,0.012576431310104904,0.0,0.0,0.0,0.0,0.0,0.09839085370406117,0.0,0.02195264989879997,0.02494763589431977,0.017089896634281773,0.023043691332618774,0.0153039081688938,0.012924724086696622,0.018070602245205264,0.014250351400648396,0.0,0.0,0.0,0.0,0.0,0.01704236293872277,0.0,0.0,0.0,0.0,0.0,0.0,0.02028290822372261,0.0,0.0,0.0,0.012924724086696622,0.020436475052319644,0.00985213071719529,0.0,0.03265926478862378,0.02028290822372261,0.020888235637958077,0.0,0.02329048283195532,0.021240412586341028,0.021038017125164322,0.019148908314641316,0.018811665771613015,0.014886488807186826,0.012576431310104904,0.020436475052319644,0.014675715205114438,0.010409993942566859,0.018322507742008283,0.008494039798933331,0.02080498820085646,0.02195264989879997,0.0,0.0,0.0,0.0,0.02080498820085646,0.0,0.0,0.008494039798933331,0.020436475052319644,0.0,0.02028290822372261,0.01883377049183571,0.025742536839024333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022433491487531314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020436475052319644,0.017089896634281773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01883377049183571,0.0,0.0,0.0,0.0,0.0,0.012576431310104904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020436475052319644,0.0,0.0,0.0,0.01704236293872277,0.020436475052319644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004066699047286099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02195264989879997,0.010409993942566859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
발판,0.02645526759969908,0.011418988395314774,0.014019147171037777,0.010193825720045346,0.013337461002528209,0.033213250041969955,0.012924724086696622,0.0,0.007728669968712476,0.006947104639083904,0.007728669968712476,0.0,0.0,0.02645526759969908,0.012924724086696622,0.0,0.011416866797448412,0.0,0.014019147171037777,0.010223898667247521,0.0,0.0,0.0,0.0,0.02645526759969908,0.010925552594522056,0.0,0.0,0.0,0.0,0.05994922717748663,0.012924724086696622,0.02082254803484437,0.01732599398974793,0.020650968197990914,0.01284848229834947,0.01887564187760754,0.0,0.015504608583349415,0.037450202122276406,0.13441158321048846,0.052494494826499614,0.02502428043390059,0.02427157458274235,0.0,0.024980882279077077,0.01567788540676617,0.01567788540676617,0.01567788540676617,0.01567788540676617,0.05048020070267335,0.056328586446403664,0.021212606223907367,0.13441158321048846,0.01067189781653862,0.009237895796985151,0.0,0.033213250041969955,0.007728669968712476,0.03236450934061634,0.027993469941086254,0.021212606223907367,0.016928270091028593,0.01918917429606907,0.017991357585639967,0.022721884634385736,0.017512010426732793,0.014268777099884679,0.014904686766312729,0.021288083656660794,0.02645526759969908,0.033213250041969955,0.0,0.014019147171037777,0.0,0.010193825720045346,0.013337461002528209,0.02082254803484437,0.0,0.0,0.0,0.0,0.013337461002528209,0.0,0.0,0.010193825720045346,0.033213250041969955,0.0,0.021212606223907367,0.006947104639083904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025114518895403302,0.0,0.0,0.021185780328148263,0.0,0.0,0.025114518895403302,0.021185780328148263,0.02451811392244417,0.033213250041969955,0.020650968197990914,0.13441158321048846,0.01567788540676617,0.01567788540676617,0.01567788540676617,0.01567788540676617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006947104639083904,0.0,0.0,0.01624852269108028,0.0,0.0,0.02645526759969908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.052494494826499614,0.0,0.0,0.0,0.01918917429606907,0.0,0.0,0.0,0.0,0.0,0.0,0.033213250041969955,0.0,0.0,0.0,0.024980882279077077,0.033213250041969955,0.13441158321048846,0.056328586446403664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13441158321048846,0.0,0.0,0.0,0.01567788540676617,0.0,0.0,0.06954547664049744,0.0,0.0,0.01624852269108028,0.0,0.0,0.0,0.02082254803484437,0.014019147171037777,0.019792986088288795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015872305715631464,0.0
상태,0.013935115527084053,0.010772164440006494,0.009412327609203132,0.010415695099450294,0.00702325351436675,0.03314768238827819,0.00985213071719529,0.007728669968712476,0.0,0.01784313984730529,0.0,0.03438209606168558,0.014776100036189099,0.013935115527084053,0.00985213071719529,0.0314908213331105,0.011367979240961133,0.008940064195478157,0.009412327609203132,0.008979786180156294,0.0,0.0,0.017440042930046404,0.0,0.013935115527084053,0.0,0.0,0.0,0.0,0.0,0.0,0.00985213071719529,0.0,0.011987876554220069,0.0,0.0,0.0,0.007728669968712476,0.014664499295511987,0.0,0.03988614181652972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06915861114770075,0.056263018792711894,0.019155304907634032,0.03988614181652972,0.013563709356947935,0.010503530278328602,0.007728669968712476,0.03314768238827819,0.0,0.01278929424785077,0.0,0.019155304907634032,0.0,0.022532073512967522,0.0,0.0,0.0,0.0,0.0,0.01664273337128286,0.013935115527084053,0.03314768238827819,0.0,0.009412327609203132,0.0,0.010415695099450294,0.00702325351436675,0.0,0.0,0.0,0.0,0.0,0.00702325351436675,0.022949778121411493,0.0,0.010415695099450294,0.03314768238827819,0.0,0.019155304907634032,0.01784313984730529,0.03438209606168558,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008940064195478157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03314768238827819,0.0,0.03988614181652972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01784313984730529,0.0,0.0,0.0,0.0,0.0,0.013935115527084053,0.0,0.0,0.0,0.0,0.07992332004336095,0.06036482372947506,0.055207135749989714,0.0530500821798713,0.0,0.0449037247288499,0.04077762303583122,0.038779361066277385,0.022532073512967522,0.033727828399389266,0.0,0.0,0.0,0.0,0.0,0.03314768238827819,0.0,0.0,0.0,0.0,0.03314768238827819,0.03988614181652972,0.056263018792711894,0.0,0.0,0.0,0.0,0.0,0.0,0.023558879612619335,0.0,0.0,0.0,0.03988614181652972,0.0,0.003637221335585957,0.0035630789530801156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009412327609203132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
운반,0.013203892430281935,0.010474398904885721,0.014040596050587122,0.016809572389223766,0.01459949672517763,0.01334921191553635,0.01883377049183571,0.006947104639083904,0.01784313984730529,0.0,0.01784313984730529,0.0,0.0,0.013203892430281935,0.01883377049183571,0.011721642556515012,0.0,0.014156790820179128,0.014040596050587122,0.0,0.0,0.0,0.0,0.0,0.013203892430281935,0.0,0.0,0.0,0.0,0.009110290188519245,0.0,0.01883377049183571,0.0,0.0,0.019031769688560275,0.0,0.01741648344393129,0.006947104639083904,0.016074723955728287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025153109990563426,0.017345133218258372,0.0,0.0,0.0,0.006947104639083904,0.01334921191553635,0.01784313984730529,0.0,0.0,0.017345133218258372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013203892430281935,0.01334921191553635,0.0,0.014040596050587122,0.0,0.016809572389223766,0.01459949672517763,0.0,0.0,0.0,0.05862044204041202,0.03770562753363808,0.01459949672517763,0.03237531415319185,0.025437987614227553,0.016809572389223766,0.01334921191553635,0.017026658665679782,0.017345133218258372,0.0,0.0,0.0,0.015591272978487548,0.0,0.0,0.0,0.0,0.01733288339164025,0.014156790820179128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02562322894907467,0.0,0.0,0.0,0.0,0.0,0.0,0.01334921191553635,0.019031769688560275,0.0,0.0,0.0,0.0,0.0,0.07294691698613132,0.06956759903589828,0.04537943609873177,0.022861815427855845,0.0215220455946097,0.0215220455946097,0.021649339417479548,0.02080946826374672,0.020845306094897945,0.0,0.0,0.0,0.0,0.0,0.0,0.013203892430281935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04059337526268522,0.01827013876711182,0.0,0.009110290188519245,0.01536111554082891,0.01334921191553635,0.016593322477178825,0.022191860022535162,0.0,0.0,0.01334921191553635,0.0,0.025153109990563426,0.03838595525338581,0.02939413576177909,0.031710069363756206,0.029558889511553294,0.02562322894907467,0.036304900916991886,0.025339950426518463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014040596050587122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
