Source,Target,Weight
이동,자재,0.06616391958381394
이동,운반,0.06161175011895751
이동,비계,0.06112151104989322
이동,사용,0.06010957960005171
이동,철근,0.054828986831763446
이동,주위,0.054769858278029084
이동,설치,0.05448970957244971
이동,단독,0.053139893616732256
이동,손가락,0.052492462873350465
자재,운반,0.05867129445852779
자재,비계,0.0581810553894635
자재,사용,0.057169123939621994
자재,철근,0.05188853117133373
자재,주위,0.051829402617599364
자재,설치,0.05154925391201999
자재,단독,0.05019943795630254
자재,손가락,0.049552007212920746
운반,비계,0.053628885924607066
운반,사용,0.05261695447476556
운반,철근,0.04733636170647729
운반,주위,0.04727723315274293
운반,설치,0.046997084447163565
운반,단독,0.04564726849144611
운반,손가락,0.044999837748064306
비계,사용,0.05212671540570127
비계,철근,0.046846122637413
비계,주위,0.04678699408367864
비계,설치,0.046506845378099265
비계,단독,0.04515702942238181
비계,손가락,0.04450959867900002
사용,철근,0.045834191187571496
사용,주위,0.045775062633837134
사용,설치,0.04549491392825776
사용,단독,0.044145097972540306
사용,손가락,0.043497667229158515
철근,주위,0.04049446986554886
철근,설치,0.04021432115996949
철근,단독,0.03886450520425204
철근,손가락,0.03821707446087024
주위,설치,0.04015519260623514
주위,단독,0.038805376650517684
주위,손가락,0.03815794590713588
설치,단독,0.03852522794493831
설치,손가락,0.03787779720155651
단독,손가락,0.03652798124583906
단순,과실,1.4325004398769692
단순,자의,0.8828347985990845
단순,반경,0.8051680724211773
단순,반복,0.801911922750541
단순,동작,0.7955914582865029
단순,낙하,0.7793472925289789
단순,부주의,0.7654560484833549
단순,배관,0.7406595064863104
단순,배근,0.7406595064863104
과실,자의,0.8340162255034331
과실,반경,0.7563494993255258
과실,반복,0.7530933496548895
과실,동작,0.7467728851908514
과실,낙하,0.7305287194333274
과실,부주의,0.7166374753877034
과실,배관,0.6918409333906589
과실,배근,0.6918409333906589
자의,반경,0.20668385804764103
자의,반복,0.20342770837700477
자의,동작,0.19710724391296666
자의,낙하,0.18086307815544272
자의,부주의,0.16697183410981872
자의,배관,0.1421752921127742
자의,배근,0.1421752921127742
반경,반복,0.12576098219909743
반경,동작,0.11944051773505932
반경,낙하,0.10319635197753536
반경,부주의,0.08930510793191138
반경,배관,0.06450856593486684
반경,배근,0.06450856593486684
반복,동작,0.11618436806442307
반복,낙하,0.09994020230689912
반복,부주의,0.08604895826127514
반복,배관,0.06125241626423059
반복,배근,0.06125241626423059
동작,낙하,0.09361973784286101
동작,부주의,0.07972849379723702
동작,배관,0.05493195180019248
동작,배근,0.05493195180019248
낙하,부주의,0.06348432803971306
낙하,배관,0.03868778604266852
낙하,배근,0.03868778604266852
부주의,배관,0.02479654199704454
부주의,배근,0.02479654199704454
배관,배근,0.0
근로자,미흡,0.17132629062770088
근로자,부주의,0.1674340723804963
근로자,행동,0.15347201909071229
근로자,결빙,0.14938404594496985
근로자,질병,0.14938404594496985
근로자,불안전,0.14894959982796224
근로자,방법,0.14838001417947935
근로자,위험,0.14818232239044024
근로자,불량,0.14616190769101792
미흡,부주의,0.08198827472631748
미흡,행동,0.06802622143653345
미흡,결빙,0.063938248290791
미흡,질병,0.063938248290791
미흡,불안전,0.06350380217378342
미흡,방법,0.06293421652530054
미흡,위험,0.06273652473626141
미흡,불량,0.060716110036839105
부주의,행동,0.06413400318932888
부주의,결빙,0.06004603004358644
부주의,질병,0.06004603004358644
부주의,불안전,0.05961158392657885
부주의,방법,0.05904199827809596
부주의,위험,0.05884430648905684
부주의,불량,0.056823891789634526
행동,결빙,0.04608397675380242
행동,질병,0.04608397675380242
행동,불안전,0.04564953063679483
행동,방법,0.04507994498831194
행동,위험,0.044882253199272824
행동,불량,0.04286183849985051
결빙,질병,0.041996003608059974
결빙,불안전,0.041561557491052385
결빙,방법,0.0409919718425695
결빙,위험,0.04079428005353038
결빙,불량,0.03877386535410807
질병,불안전,0.041561557491052385
질병,방법,0.0409919718425695
질병,위험,0.04079428005353038
질병,불량,0.03877386535410807
불안전,방법,0.04055752572556191
불안전,위험,0.04035983393652279
불안전,불량,0.03833941923710048
방법,위험,0.03979024828803991
방법,불량,0.037769833588617595
위험,불량,0.037572141799578476
부주의,돌풍,0.7403852329975765
부주의,기술,0.7350651947932425
부주의,자재,0.731401475689466
부주의,임목,0.722234435345717
부주의,중량,0.7180889841033871
부주의,렌탈,0.7132330199380561
부주의,철골,0.7057963865197714
부주의,난간,0.7051674496549075
부주의,발판,0.7015270714276207
돌풍,기술,0.1547082961587625
돌풍,자재,0.151044577054986
돌풍,임목,0.141877536711237
돌풍,중량,0.1377320854689071
돌풍,렌탈,0.1328761213035762
돌풍,철골,0.12543948788529147
돌풍,난간,0.12481055102042761
돌풍,발판,0.1211701727931408
기술,자재,0.14572453885065195
기술,임목,0.13655749850690296
기술,중량,0.13241204726457306
기술,렌탈,0.12755608309924216
기술,철골,0.12011944968095742
기술,난간,0.11949051281609356
기술,발판,0.11585013458880675
자재,임목,0.13289377940312647
자재,중량,0.12874832816079657
자재,렌탈,0.12389236399546566
자재,철골,0.11645573057718092
자재,난간,0.11582679371231706
자재,발판,0.11218641548503025
임목,중량,0.11958128781704758
임목,렌탈,0.11472532365171667
임목,철골,0.10728869023343193
임목,난간,0.10665975336856806
임목,발판,0.10301937514128126
중량,렌탈,0.11057987240938677
중량,철골,0.10314323899110205
중량,난간,0.10251430212623819
중량,발판,0.09887392389895137
렌탈,철골,0.09828727482577113
렌탈,난간,0.09765833796090727
렌탈,발판,0.09401795973362045
철골,난간,0.09022170454262254
철골,발판,0.08658132631533573
난간,발판,0.08595238945047187
부주의,자의,0.20464791538039082
부주의,불안전,0.19175850101082192
부주의,개인,0.17629999577802077
부주의,행동,0.1691489492780888
부주의,부족,0.14969819789279354
부주의,판단,0.1439499131394495
부주의,자세,0.14150130463361732
부주의,평재,0.13891702494988034
부주의,인지,0.13817057661934812
자의,불안전,0.1815887054116352
자의,개인,0.16613020017883404
자의,행동,0.15897915367890206
자의,부족,0.1395284022936068
자의,판단,0.13378011754026276
자의,자세,0.13133150903443058
자의,평재,0.1287472293506936
자의,인지,0.12800078102016138
불안전,개인,0.15324078580926515
불안전,행동,0.14608973930933317
불안전,부족,0.12663898792403794
불안전,판단,0.12089070317069385
불안전,자세,0.11844209466486169
불안전,평재,0.1158578149811247
불안전,인지,0.11511136665059249
개인,행동,0.13063123407653202
개인,부족,0.11118048269123677
개인,판단,0.1054321979378927
개인,자세,0.10298358943206054
개인,평재,0.10039930974832355
개인,인지,0.09965286141779134
행동,부족,0.1040294361913048
행동,판단,0.09828115143796072
행동,자세,0.09583254293212856
행동,평재,0.09324826324839157
행동,인지,0.09250181491785936
부족,판단,0.07883040005266548
부족,자세,0.07638179154683332
부족,평재,0.07379751186309633
부족,인지,0.07305106353256413
판단,자세,0.07063350679348925
판단,평재,0.06804922710975225
판단,인지,0.06730277877922006
자세,평재,0.0656006186039201
자세,인지,0.06485417027338788
평재,인지,0.0622698905896509
자재,이동,0.2231854705730335
자재,균형,0.22021744959689107
자재,운반,0.21998393736882338
자재,년월,0.17718963338281088
자재,트러스,0.1711624271822489
자재,설치,0.16173030162511487
자재,혼합,0.15813623766103285
자재,소속,0.15813623766103285
자재,압송,0.15813623766103285
이동,균형,0.20776235408185334
이동,운반,0.20752884185378562
이동,년월,0.16473453786777315
이동,트러스,0.15870733166721113
이동,설치,0.14927520611007714
이동,혼합,0.1456811421459951
이동,소속,0.1456811421459951
이동,압송,0.1456811421459951
균형,운반,0.2045608208776432
균형,년월,0.1617665168916307
균형,트러스,0.15573931069106872
균형,설치,0.1463071851339347
균형,혼합,0.14271312116985269
균형,소속,0.14271312116985269
균형,압송,0.14271312116985269
운반,년월,0.16153300466356302
운반,트러스,0.15550579846300103
운반,설치,0.146073672905867
운반,혼합,0.142479608941785
운반,소속,0.142479608941785
운반,압송,0.142479608941785
년월,트러스,0.11271149447698853
년월,설치,0.10327936891985451
년월,혼합,0.09968530495577249
년월,소속,0.09968530495577249
년월,압송,0.09968530495577249
트러스,설치,0.09725216271929252
트러스,혼합,0.0936580987552105
트러스,소속,0.0936580987552105
트러스,압송,0.0936580987552105
설치,혼합,0.08422597319807648
설치,소속,0.08422597319807648
설치,압송,0.08422597319807648
혼합,소속,0.08063190923399446
혼합,압송,0.08063190923399446
소속,압송,0.08063190923399446
이동,보행,0.5928443839132104
이동,뒷걸음,0.5288249742880362
이동,잔돌,0.5288249742880362
이동,바닥상태,0.5288249742880362
이동,헛딛음,0.5288249742880362
이동,물체,0.5149849008908788
이동,지정,0.5068984428202911
이동,통행,0.4967275403989458
이동,주위,0.4931038753440679
보행,뒷걸음,0.33494262465139557
보행,잔돌,0.33494262465139557
보행,바닥상태,0.33494262465139557
보행,헛딛음,0.33494262465139557
보행,물체,0.32110255125423826
보행,지정,0.31301609318365053
보행,통행,0.3028451907623052
보행,주위,0.2992215257074273
뒷걸음,잔돌,0.2709232150262214
뒷걸음,바닥상태,0.2709232150262214
뒷걸음,헛딛음,0.2709232150262214
뒷걸음,물체,0.2570831416290641
뒷걸음,지정,0.24899668355847634
뒷걸음,통행,0.23882578113713104
뒷걸음,주위,0.23520211608225317
잔돌,바닥상태,0.2709232150262214
잔돌,헛딛음,0.2709232150262214
잔돌,물체,0.2570831416290641
잔돌,지정,0.24899668355847634
잔돌,통행,0.23882578113713104
잔돌,주위,0.23520211608225317
바닥상태,헛딛음,0.2709232150262214
바닥상태,물체,0.2570831416290641
바닥상태,지정,0.24899668355847634
바닥상태,통행,0.23882578113713104
바닥상태,주위,0.23520211608225317
헛딛음,물체,0.2570831416290641
