,이동,자재,운반,비계,사용,철근,주위,설치,단독,손가락,단순,과실,자의,반경,반복,동작,낙하,부주의,배관,배근,근로자,미흡,부주의,행동,결빙,질병,불안전,방법,위험,불량,부주의,돌풍,기술,자재,임목,중량,렌탈,철골,난간,발판,부주의,자의,불안전,개인,행동,부족,판단,자세,평재,인지,자재,이동,균형,운반,년월,트러스,설치,혼합,소속,압송,이동,보행,뒷걸음,잔돌,바닥상태,헛딛음,물체,지정,통행,주위,미흡,통제,주변,동부,원인,착용,하부,구간,확보,보호,철골,안전,설치,자재,추락,이동,데크,바닥,체결,철근
이동,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
자재,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
운반,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
비계,0.0,0.0,0.0,0.0,0.08871811890476952,0.0,0.0,0.0,0.07025525328354847,0.07150111081648905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014572531324467168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024858209138441268,0.0,0.029675693952817543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09842308520771142,0.09839152999964057,0.06308443251896184,0.059376969646734064,0.0,0.045452265823704555,0.045452265823704555,0.045452265823704555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04678699408367864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08946467304795425,0.10184019925128757,0.03833411338423301,0.06112151104989322,0.02143914982394985,0.0,0.0,0.046846122637413
사용,0.0,0.0,0.0,0.08871811890476952,0.0,0.0,0.0,0.0,0.07421080407594782,0.07857612497273003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01667550431290748,0.0,0.0,0.0,0.0,0.0,0.029438755195469745,0.0,0.026809804577609037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032365994645388155,0.05688511440941863,0.03395365639822688,0.051580752618783636,0.043097837958579084,0.047205776978838536,0.0364746028922883,0.04504682971219977,0.0,0.0,0.0,0.05261695447476556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045775062633837134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03658817413783085,0.0,0.0,0.0,0.0,0.04549491392825776,0.057169123939621994,0.03617180102649838,0.06010957960005171,0.028130661175466386,0.0,0.0,0.045834191187571496
철근,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
주위,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
설치,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
단독,0.0,0.0,0.0,0.07025525328354847,0.07421080407594782,0.0,0.0,0.0,0.0,0.06733312166547623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016775530832064598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020074570155726508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04564726849144611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038805376650517684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03852522794493831,0.05019943795630254,0.020082850728691967,0.053139893616732256,0.02047780877170274,0.0,0.0,0.05928208435925443
손가락,0.0,0.0,0.0,0.07150111081648905,0.07857612497273003,0.0,0.0,0.0,0.06733312166547623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009630317844014163,0.017088751634259703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044999837748064306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03815794590713588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024879382005299065,0.03787779720155651,0.049552007212920746,0.028851478325259732,0.052492462873350465,0.030446419384494994,0.0,0.021020940081988192,0.059630571568621595
