Source,Target,Weight
철근,거푸집,0.029517865885736475
철근,설치,0.0290320647469606
철근,자재,0.028895097269739187
철근,이동,0.028584224874930314
철근,바닥,0.027353181290897557
철근,안전,0.025075853560179242
철근,비계,0.024721959745678507
철근,상부,0.02462597341479131
철근,고정,0.024318349336191855
거푸집,설치,0.027332631181121964
거푸집,자재,0.02719566370390055
거푸집,이동,0.026884791309091677
거푸집,바닥,0.02565374772505892
거푸집,안전,0.023376419994340605
거푸집,비계,0.02302252617983987
거푸집,상부,0.022926539848952675
거푸집,고정,0.022618915770353215
설치,자재,0.026709862565124677
설치,이동,0.026398990170315804
설치,바닥,0.025167946586283046
설치,안전,0.02289061885556473
설치,비계,0.022536725041063996
설치,상부,0.0224407387101768
설치,고정,0.02213311463157734
자재,이동,0.02626202269309439
자재,바닥,0.02503097910906163
자재,안전,0.022753651378343315
자재,비계,0.022399757563842583
자재,상부,0.022303771232955384
자재,고정,0.021996147154355924
이동,바닥,0.02472010671425276
이동,안전,0.022442778983534445
이동,비계,0.02208888516903371
이동,상부,0.021992898838146514
이동,고정,0.021685274759547055
바닥,안전,0.021211735399501684
바닥,비계,0.020857841585000952
바닥,상부,0.020761855254113754
바닥,고정,0.020454231175514294
안전,비계,0.018580513854282638
안전,상부,0.01848452752339544
안전,고정,0.01817690344479598
비계,상부,0.018130633708894707
비계,고정,0.017823009630295247
상부,고정,0.01772702329940805
철근,거푸집,0.03507142847173185
철근,손가락,0.0342849254355833
철근,자재,0.03146747197837365
철근,상태,0.029798795309953836
철근,벽체,0.029102069555524624
철근,유로폼,0.029001015343209258
철근,바닥,0.027976485303270765
철근,미흡,0.027838634304925405
철근,설치,0.02765685417429595
거푸집,손가락,0.03356158507733918
거푸집,자재,0.03074413162012954
거푸집,상태,0.029075454951709725
거푸집,벽체,0.028378729197280513
거푸집,유로폼,0.028277674984965147
거푸집,바닥,0.027253144945026654
거푸집,미흡,0.027115293946681295
거푸집,설치,0.02693351381605184
손가락,자재,0.02995762858398098
손가락,상태,0.028288951915561168
손가락,벽체,0.02759222616113196
손가락,유로폼,0.027491171948816593
손가락,바닥,0.026466641908878097
손가락,미흡,0.02632879091053274
손가락,설치,0.026147010779903286
자재,상태,0.025471498458351522
자재,벽체,0.02477477270392231
자재,유로폼,0.024673718491606947
자재,바닥,0.02364918845166845
자재,미흡,0.023511337453323095
자재,설치,0.023329557322693636
상태,벽체,0.023106096035502496
상태,유로폼,0.023005041823187133
상태,바닥,0.021980511783248637
상태,미흡,0.02184266078490328
상태,설치,0.021660880654273823
벽체,유로폼,0.02230831606875792
벽체,바닥,0.021283786028819425
벽체,미흡,0.02114593503047407
벽체,설치,0.020964154899844614
유로폼,바닥,0.021182731816504062
유로폼,미흡,0.021044880818158702
유로폼,설치,0.020863100687529248
바닥,미흡,0.02002035077822021
바닥,설치,0.01983857064759075
미흡,설치,0.019700719649245396
부주의,자의,0.18909792182117613
부주의,과실,0.1761194786577311
부주의,단순,0.16422537169306037
부주의,불안전,0.16118090135031332
부주의,행동,0.15417224899033574
부주의,이동,0.14306071409982588
부주의,자세,0.14139533644805954
부주의,개인,0.13381118761317115
부주의,발판,0.1316205780782797
자의,과실,0.1396045518530375
자의,단순,0.12771044488836678
자의,불안전,0.12466597454561973
자의,행동,0.11765732218564212
자의,이동,0.10654578729513227
자의,자세,0.10488040964336595
자의,개인,0.09729626080847756
자의,발판,0.09510565127358608
과실,단순,0.11473200172492176
과실,불안전,0.11168753138217472
과실,행동,0.10467887902219711
과실,이동,0.09356734413168726
과실,자세,0.09190196647992094
과실,개인,0.08431781764503254
과실,발판,0.08212720811014107
단순,불안전,0.09979342441750398
단순,행동,0.09278477205752639
단순,이동,0.08167323716701652
단순,자세,0.0800078595152502
단순,개인,0.07242371068036181
단순,발판,0.07023310114547035
불안전,행동,0.08974030171477934
불안전,이동,0.07862876682426947
불안전,자세,0.07696338917250316
불안전,개인,0.06937924033761476
불안전,발판,0.0671886308027233
행동,이동,0.0716201144642919
행동,자세,0.06995473681252556
행동,개인,0.06237058797763717
행동,발판,0.06017997844274571
이동,자세,0.058843201922015705
이동,개인,0.05125905308712732
이동,발판,0.049068443552235844
자세,개인,0.04959367543536099
자세,발판,0.047403065900469527
개인,발판,0.03981891706558113
골절,발목,0.06762226321340058
골절,오른쪽,0.0669185398362811
골절,부상,0.06684002109262852
골절,철근,0.06629832817063319
골절,장갑,0.06527219816705469
골절,왼쪽,0.06515623980686527
골절,거푸집,0.06496391961647681
골절,손가락,0.06432380360058812
골절,무릎,0.06358682285673427
발목,오른쪽,0.03448244547885436
발목,부상,0.03440392673520176
발목,철근,0.03386223381320644
발목,장갑,0.03283610380962794
발목,왼쪽,0.03272014544943852
발목,거푸집,0.032527825259050056
발목,손가락,0.03188770924316137
발목,무릎,0.03115072849930752
오른쪽,부상,0.033700203358082284
오른쪽,철근,0.03315851043608696
오른쪽,장갑,0.03213238043250847
오른쪽,왼쪽,0.03201642207231904
오른쪽,거푸집,0.031824101881930585
오른쪽,손가락,0.031183985866041895
오른쪽,무릎,0.03044700512218805
부상,철근,0.03307999169243436
부상,장갑,0.03205386168885588
부상,왼쪽,0.031937903328666445
부상,거푸집,0.031745583138277994
부상,손가락,0.031105467122389305
부상,무릎,0.030368486378535453
철근,장갑,0.03151216876686055
철근,왼쪽,0.03139621040667112
철근,거푸집,0.031203890216282663
철근,손가락,0.030563774200393974
철근,무릎,0.02982679345654013
장갑,왼쪽,0.03037008040309263
장갑,거푸집,0.03017776021270417
장갑,손가락,0.029537644196815482
장갑,무릎,0.028800663452961638
왼쪽,거푸집,0.030061801852514745
왼쪽,손가락,0.029421685836626056
왼쪽,무릎,0.02868470509277221
거푸집,손가락,0.0292293656462376
거푸집,무릎,0.028492384902383754
손가락,무릎,0.027852268886495064
근로자,부주의,0.15195999048353895
근로자,행동,0.1469747797082983
근로자,불안전,0.14354817289617203
근로자,미흡,0.14000054028345146
근로자,이동,0.13620056533349392
근로자,안전,0.13410782484927364
근로자,통로,0.1301930608624181
근로자,자재,0.12961896586166435
근로자,비계,0.12830712059277782
부주의,행동,0.06488490906976956
부주의,불안전,0.06145830225764329
부주의,미흡,0.05791066964492272
부주의,이동,0.05411069469496519
부주의,안전,0.05201795421074491
부주의,통로,0.04810319022388937
부주의,자재,0.04752909522313562
부주의,비계,0.04621724995424908
행동,불안전,0.056473091482402635
행동,미흡,0.05292545886968207
행동,이동,0.049125483919724544
행동,안전,0.04703274343550426
행동,통로,0.043117979448648716
행동,자재,0.042543884447894975
행동,비계,0.04123203917900843
불안전,미흡,0.049498852057555796
불안전,이동,0.04569887710759827
불안전,안전,0.04360613662337799
불안전,통로,0.03969137263652245
불안전,자재,0.0391172776357687
불안전,비계,0.037805432366882157
