,비계,거푸집,바닥,철거,작업중,발판,자재,추락,이동,정리,상태,그라인더,요인,관리,진행,사망,착용,조치,원인,가시,안전,위험,부족,자의,대한,확보,미흡,고리,개인,거리,골절,손가락,부상,손목,왼쪽,우측,오른쪽,동바리,거푸집,늑골,부상,거푸집,부가,가드레일,볼트,코킹,왼쪽,손가락,튀어,빠루,계단,가설,사다리,자재,교량,정리,보도,지지,발판,슬라브,벽체,콘크리트,낙하,비계,철거,공사,적벽,시공,거푸집,하부,부주의,순서,결빙,동작,부적정,자세,원인,낙상,불량,도중,지붕,토사,추락,설치,건물,안전,철거,슬레이트,붕괴,살수,자의,부주의,단순,과실,개인,발판,상체,태자,신설,자재,어깨,왼쪽,본인,강제,선관,제거,좌측,부위,거푸집,발등,폐기물,적재,트럭,자재,차량,야적,컨테이너,운반,상부,철거,손가락,사이,왼손,거푸집,엄지손가락,러그,정리,자재,새끼손가락,끼임,근로자,부주의,지주,인적,공간,계단,거푸집,요인,실행,탈구,물이,호수,낙하,잔해,빗물,잔재,철거,발기,물의,안전모,미흡,통제,주변,환경,고소,순서,대한,우물,경내,풍속,목재,나무,수목,객체,아웃,트리,가해,벌목,대상,선별,흙막이,충돌,갱폼,받침,순간,가설,바닥,추락,하층,볼트,이동식,이동,경로,비계,협소,배관,인계,주형,음으로,라켓,횡대,수평,외부,난간,시스템,소형,안전,체인,블럭,승강
비계,0.0,0.038431530986300234,0.02448379112794958,0.009520836870801526,0.009727582356934014,0.014853871822584548,0.02287208400400703,0.01659844116277428,0.020402555509779912,0.021996862851374373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022248512606005313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01068908230938619,0.038431530986300234,0.0,0.0,0.038431530986300234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022956648205694135,0.02287208400400703,0.0,0.021996862851374373,0.0,0.01878610844952579,0.014853871822584548,0.0,0.022050697632635716,0.05368116119219859,0.021179413121163965,0.0,0.009520836870801526,0.04020749418358831,0.03914235712363039,0.03901424259155192,0.038431530986300234,0.012841482415377073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01659844116277428,0.0,0.0,0.0,0.009520836870801526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014853871822584548,0.0,0.0,0.0,0.02287208400400703,0.0,0.0,0.0,0.0,0.0,0.0,0.013913949184770697,0.024962635186062333,0.038431530986300234,0.0,0.0,0.0,0.0,0.02287208400400703,0.0,0.0,0.0,0.0,0.01640949425538521,0.009520836870801526,0.0,0.0261742291341265,0.0,0.038431530986300234,0.0,0.0,0.021996862851374373,0.02287208400400703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.038431530986300234,0.0,0.0,0.0,0.0,0.0,0.021179413121163965,0.0,0.0,0.0,0.009520836870801526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03389579194937388,0.0,0.028127732264672807,0.0,0.0,0.02448379112794958,0.01659844116277428,0.0,0.0,0.11634183741405987,0.020402555509779912,0.0741917159990893,0.0,0.05704112538593087,0.05068905160062712,0.04615039039307813,0.04615039039307813,0.04615039039307813,0.04615039039307813,0.0,0.0,0.022438359318503878,0.022953854513580847,0.045016562177455074,0.0,0.0,0.0,0.0,0.0
거푸집,0.038431530986300234,0.0,0.015698621545308048,0.013268382930987378,0.01866650134678663,0.023316158580410768,0.013441052560313709,0.009291149332241611,0.022004457340929776,0.013449874756120537,0.0,0.0,0.011128320793380931,0.010257341178381733,0.01380091661063431,0.0,0.0,0.0,0.0,0.017310273423664292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08565178640293752,0.026547730919379914,0.022143127308207926,0.014288819762641946,0.016178425701632655,0.017880454148451044,0.03530490015785611,0.01695185352596815,0.0,0.03059027121168663,0.022143127308207926,0.0,0.013599938350594733,0.01335313730067137,0.020508917829910683,0.011980732505681744,0.016178425701632655,0.026547730919379914,0.01872894515067331,0.01804046938486407,0.020012911828566897,0.021535392815870233,0.01710565108643104,0.013441052560313709,0.0,0.013449874756120537,0.0,0.0,0.023316158580410768,0.01278229463338033,0.03842365921048606,0.016788666515983427,0.017239812071169095,0.038431530986300234,0.013268382930987378,0.013564883505402357,0.03482086052262452,0.034692745990546045,0.0,0.014672924618181468,0.06956488893641574,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009291149332241611,0.0,0.0,0.0,0.013268382930987378,0.0,0.0,0.0,0.0,0.06956488893641574,0.0,0.0,0.0,0.023316158580410768,0.0,0.0,0.0,0.013441052560313709,0.08389809249468963,0.016178425701632655,0.014162688582023042,0.041880479940954826,0.041880479940954826,0.023518676180861658,0.01549006736299783,0.015812323177029772,0.0,0.03882003847573046,0.0,0.0,0.0,0.013441052560313709,0.0,0.0,0.0,0.0,0.022196163652197332,0.013268382930987378,0.026547730919379914,0.030934326024748562,0.03254129138069109,0.0,0.02094056357544379,0.018884422309438063,0.013449874756120537,0.013441052560313709,0.018529439099369945,0.021943269371056194,0.08083615381015402,0.06956488893641574,0.02062673445721071,0.018298610331744816,0.017864183107643886,0.020012911828566897,0.0,0.011128320793380931,0.01355199082416396,0.01355199082416396,0.0,0.0,0.017239812071169095,0.0,0.0,0.0,0.013268382930987378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049174516217220895,0.02743606923400439,0.025509784869279076,0.0,0.027084469539711872,0.021535392815870233,0.015698621545308048,0.009291149332241611,0.021256001045525136,0.020508917829910683,0.0,0.022004457340929776,0.0,0.038431530986300234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
바닥,0.02448379112794958,0.015698621545308048,0.0,0.018676886740858812,0.013419374708459072,0.023020468585981342,0.011389281905021129,0.014668521421146866,0.02170876734650035,0.010141744844672075,0.012220588609755343,0.0,0.0,0.0,0.017663582520730112,0.0,0.0,0.0,0.0,0.014758228076588827,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014824761975001722,0.0,0.0,0.013779142329055732,0.0,0.013958012099245656,0.015698621545308048,0.0,0.014824761975001722,0.015698621545308048,0.0,0.0,0.021967124225152544,0.0,0.0,0.0,0.02066424784353133,0.0,0.0,0.03498186862266664,0.02604911821746584,0.011389281905021129,0.0,0.010141744844672075,0.0,0.0131497546526963,0.023020468585981342,0.01278599824251042,0.027151215969799285,0.0,0.0,0.02448379112794958,0.018676886740858812,0.016643690744650122,0.0,0.0,0.015698621545308048,0.014692354121246726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023411901605104844,0.0,0.0,0.0,0.0,0.014668521421146866,0.016728909679794478,0.0,0.0,0.018676886740858812,0.0,0.01872010723945651,0.0,0.0,0.0,0.0,0.0,0.0,0.023020468585981342,0.0,0.0,0.0,0.011389281905021129,0.0,0.0,0.0,0.0,0.0,0.021677228790808634,0.01572672978725759,0.0,0.015698621545308048,0.0,0.04453186855009336,0.03222954225716374,0.025097559661567632,0.011389281905021129,0.022835450924295845,0.017823577017300828,0.017823577017300828,0.02114781740760059,0.028356282371327143,0.018676886740858812,0.0,0.0,0.0,0.015698621545308048,0.0,0.0,0.010141744844672075,0.011389281905021129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015698621545308048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018676886740858812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07236854452604716,0.04165818012797045,0.03727300940546296,0.03177334715456481,0.03768835347824848,0.03498186862266664,0.0,0.014668521421146866,0.03374040221444022,0.021967124225152544,0.0,0.02170876734650035,0.0,0.02448379112794958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
철거,0.009520836870801526,0.013268382930987378,0.018676886740858812,0.0,0.01789896818533679,0.011584491608594214,0.012136672884847407,0.01442646091499118,0.02153898416111333,0.010555173573519917,0.01713872617575077,0.0,0.0,0.009715937981129028,0.010564363632442742,0.009787372055626702,0.0,0.008908994631791515,0.0,0.0,0.03306905904306764,0.0,0.0,0.0,0.0,0.0,0.0,0.013698730543050066,0.0,0.0,0.0,0.0,0.017878763366197287,0.012594362662669474,0.012290687434757993,0.0169967016203253,0.0,0.01655842595238587,0.013268382930987378,0.0,0.017878763366197287,0.013268382930987378,0.0,0.0,0.014765044414004126,0.0,0.012290687434757993,0.0,0.0,0.0,0.0,0.018447713602773926,0.0,0.012136672884847407,0.0,0.010555173573519917,0.0,0.0,0.011584491608594214,0.014787671343506064,0.03188569050170878,0.0226305144171344,0.024967757528347782,0.009520836870801526,0.0,0.02180284493581661,0.03861695734338976,0.011688045926739509,0.013268382930987378,0.02333998667035381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02092983570410425,0.0,0.0,0.0452308446519908,0.016607559876853948,0.01442646091499118,0.025868909554296198,0.020367413327540027,0.03306905904306764,0.0,0.011609193292584127,0.017095953346807368,0.012387195264348073,0.0,0.0,0.0,0.0,0.0,0.011584491608594214,0.0,0.0,0.0,0.012136672884847407,0.0,0.012290687434757993,0.0,0.0,0.0,0.023002762580338475,0.0208831929142966,0.012121318650791845,0.013268382930987378,0.01371905062277096,0.041483865893294204,0.029784145491456873,0.022867390453115137,0.012136672884847407,0.023914368541680928,0.015917277158285486,0.015917277158285486,0.022909538036374598,0.028408302794433102,0.0,0.0,0.0,0.0,0.013268382930987378,0.0,0.0,0.010555173573519917,0.012136672884847407,0.0,0.013513682804740846,0.0,0.0,0.0,0.0,0.0,0.0,0.013268382930987378,0.0,0.0,0.0,0.04532462449147314,0.025535594046855865,0.024967757528347782,0.021681160868713342,0.015670548045915177,0.022545650824544638,0.0,0.016814563509895394,0.017306679027711342,0.021387839244785274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024732564214582954,0.0,0.023100677892130522,0.0,0.0,0.025168986793961904,0.0,0.0,0.0,0.018447713602773926,0.018676886740858812,0.01442646091499118,0.019009786637238547,0.014765044414004126,0.0,0.02153898416111333,0.0,0.009520836870801526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02948051203584819,0.023473773071236572,0.021986116622532265,0.0,0.03306905904306764,0.01952341436206292,0.020756331513704873,0.0
작업중,0.009727582356934014,0.01866650134678663,0.013419374708459072,0.01789896818533679,0.0,0.022739883688346826,0.01442019866565888,0.008270976151079705,0.02142818244886583,0.0159709321885834,0.01735645194479513,0.011393856136140449,0.0,0.009637391879615716,0.0,0.0,0.00961697319388115,0.009094538779576472,0.0,0.009051604478990597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029799070969650128,0.023118958872360318,0.02246309275542997,0.017825935466748464,0.015960057317269825,0.02044831625664804,0.0,0.01754098454208357,0.01866650134678663,0.0,0.02246309275542997,0.01866650134678663,0.0,0.0,0.0,0.0,0.015960057317269825,0.023118958872360318,0.0,0.013947710132724469,0.02062868733653975,0.0,0.0,0.01442019866565888,0.0,0.0159709321885834,0.0,0.0,0.022739883688346826,0.02074045380661368,0.03466222350657812,0.020944867240510073,0.023595254701980924,0.009727582356934014,0.01789896818533679,0.019516326265535556,0.0,0.0,0.01866650134678663,0.020966520991816364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008270976151079705,0.022896136551476404,0.014423328092273294,0.0,0.01789896818533679,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022739883688346826,0.0,0.0,0.0,0.01442019866565888,0.0,0.015960057317269825,0.013359656209363047,0.0,0.0,0.024659601294624644,0.016978936741290557,0.01665724952961962,0.01866650134678663,0.011368340413422764,0.0,0.0,0.0,0.01442019866565888,0.0,0.0,0.0,0.018234163589130884,0.02140287787605897,0.01789896818533679,0.023118958872360318,0.032217532426679296,0.03155831154920508,0.01866650134678663,0.019055954686338396,0.015931244157067648,0.0159709321885834,0.01442019866565888,0.01662226910226362,0.018157787777637928,0.0,0.0,0.0,0.0,0.0,0.02062868733653975,0.01866650134678663,0.0,0.0,0.0,0.036726909545198826,0.0,0.023595254701980924,0.0,0.0,0.016979491643982058,0.01789896818533679,0.014547937587988979,0.012702334436064,0.01439230162197698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055623476726068384,0.04087238077664771,0.0,0.0,0.023634251627212798,0.023634251627212798,0.025646784561724725,0.018687822223705488,0.021411671092281193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013419374708459072,0.008270976151079705,0.0,0.0,0.0,0.02142818244886583,0.0,0.009727582356934014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
발판,0.014853871822584548,0.023316158580410768,0.023020468585981342,0.011584491608594214,0.022739883688346826,0.0,0.011890575812638948,0.013269291892494067,0.012384732848132308,0.03553263998227961,0.0,0.0,0.0,0.01328158637242597,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02253584856844725,0.023104846226846193,0.0,0.01502982961464092,0.0,0.019649890200801875,0.02002651872503109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023316158580410768,0.0,0.0,0.023316158580410768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030168878021803645,0.04929274696877956,0.01859975203071274,0.011890575812638948,0.019996982384367566,0.03553263998227961,0.03484465313807625,0.019611150668743714,0.0,0.009934256450882056,0.0,0.0,0.016751705627162612,0.014853871822584548,0.011584491608594214,0.0,0.0,0.0,0.023316158580410768,0.0116748270377239,0.19316475943835806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013269291892494067,0.01570715935692801,0.0,0.0,0.011584491608594214,0.0,0.0,0.0,0.023104846226846193,0.19316475943835806,0.10471742826362493,0.07629590209795062,0.02002651872503109,0.0,0.026162535374608737,0.026162535374608737,0.026162535374608737,0.011890575812638948,0.0,0.0,0.0,0.0,0.0,0.0,0.012469742332527218,0.01150350938502159,0.023316158580410768,0.0,0.0,0.0,0.0,0.011890575812638948,0.0,0.0,0.0,0.01968893681052229,0.0200541429427621,0.011584491608594214,0.0,0.0,0.0,0.023316158580410768,0.0,0.0,0.03553263998227961,0.011890575812638948,0.0,0.017237678082588363,0.0,0.19316475943835806,0.0,0.0,0.015027909515656355,0.030168878021803645,0.023316158580410768,0.0,0.0,0.0,0.0,0.0,0.016751705627162612,0.0,0.0,0.0,0.011584491608594214,0.0,0.0,0.012710141058344246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023020606953818575,0.0,0.0,0.0,0.04929274696877956,0.023020468585981342,0.013269291892494067,0.0,0.0,0.06776756289548104,0.012384732848132308,0.04134318092764125,0.014853871822584548,0.04695034234759988,0.031015763453380762,0.025463593756443755,0.025463593756443755,0.025463593756443755,0.025463593756443755,0.03125284942670733,0.027584481921569315,0.02729125226100537,0.026392528208843493,0.03510589440512718,0.02162728038575658,0.0,0.020715698571935056,0.020947593680241863,0.019967924068097446
자재,0.02287208400400703,0.013441052560313709,0.011389281905021129,0.012136672884847407,0.01442019866565888,0.011890575812638948,0.0,0.020175920428759764,0.020097060222557802,0.01447856981874611,0.0,0.0,0.0,0.01469278447920613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0169068745395768,0.01564581578166173,0.0,0.012666836018247227,0.0,0.0,0.012155102628407815,0.0,0.0,0.09483369168487686,0.0,0.0,0.0,0.013616972571500336,0.0,0.012641480847888659,0.013441052560313709,0.0,0.0,0.013441052560313709,0.0,0.0,0.0,0.0,0.0,0.09483369168487686,0.0,0.0,0.029909229247139058,0.06001676044461597,0.05863048759000795,0.0,0.016597496062508713,0.01447856981874611,0.010776620977672504,0.04266196156628385,0.011890575812638948,0.011703592863804428,0.0,0.0,0.013076349650520678,0.02287208400400703,0.012136672884847407,0.010871607593149502,0.0,0.0,0.013441052560313709,0.011548636286312875,0.18569812696016305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020175920428759764,0.0,0.0,0.0,0.012136672884847407,0.0,0.0,0.0,0.01564581578166173,0.18569812696016305,0.06554318080412663,0.05489266980343778,0.012155102628407815,0.011890575812638948,0.01619341146668237,0.01619341146668237,0.01619341146668237,0.0,0.0,0.0,0.0,0.0,0.0,0.012185101827203039,0.01606141562092856,0.011935282089502518,0.013441052560313709,0.0,0.0639640872288818,0.04611407771439684,0.037027783121278954,0.0,0.0312943990212687,0.026402937643986733,0.026402937643986733,0.0266793615162564,0.023885631449702144,0.012136672884847407,0.09483369168487686,0.06842370824190172,0.06679674547073096,0.013441052560313709,0.05042376356634722,0.050422147191008654,0.01447856981874611,0.0,0.046019252152632376,0.015293815687065216,0.06752387364692729,0.18569812696016305,0.0,0.0,0.02000512105508045,0.029909229247139058,0.013441052560313709,0.0,0.0,0.0,0.0,0.0,0.013076349650520678,0.0,0.0,0.0,0.012136672884847407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06001676044461597,0.011389281905021129,0.020175920428759764,0.0,0.0,0.0,0.020097060222557802,0.0,0.02287208400400703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
추락,0.01659844116277428,0.009291149332241611,0.014668521421146866,0.01442646091499118,0.008270976151079705,0.013269291892494067,0.020175920428759764,0.0,0.01282927952905549,0.0193006992761271,0.013266301762983325,0.0,0.0,0.0,0.012139009547435983,0.0,0.00809851108376559,0.0,0.0,0.00921286235011362,0.03839158317747842,0.0,0.0,0.0,0.0,0.0,0.0,0.022762012387844966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009291149332241611,0.0,0.0,0.009291149332241611,0.0,0.0,0.016947981456541597,0.0,0.0,0.0,0.010819194472111712,0.0,0.0,0.022876186200997815,0.025142830929610407,0.020175920428759764,0.0,0.0193006992761271,0.0,0.019160407687324785,0.013269291892494067,0.0,0.02143058772511534,0.0,0.016480854251782535,0.01659844116277428,0.01442646091499118,0.013201463756521823,0.0,0.0,0.009291149332241611,0.012471901662233551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020710350937328828,0.0,0.0,0.049344133120273616,0.017586240880761637,0.0,0.023365096709908592,0.02126817436875846,0.03839158317747842,0.01442646091499118,0.011989002728891031,0.0170932957554666,0.012069547673063463,0.0,0.0,0.0,0.0,0.0,0.013269291892494067,0.0,0.0,0.0,0.020175920428759764,0.0,0.0,0.0,0.0,0.0,0.014720228166344756,0.01397518689369811,0.014437302564982496,0.009291149332241611,0.0,0.0,0.0,0.0,0.020175920428759764,0.0,0.0,0.0,0.0,0.025035414318562894,0.01442646091499118,0.0,0.0,0.0,0.009291149332241611,0.0,0.0,0.0193006992761271,0.020175920428759764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009291149332241611,0.0,0.0,0.0,0.0,0.0,0.016480854251782535,0.0,0.0,0.0,0.01442646091499118,0.0,0.0,0.011916917812646966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05051277983340703,0.04727377505927084,0.0253175418396267,0.03557308108181521,0.02426236089320923,0.022876186200997815,0.014668521421146866,0.0,0.023914362483030815,0.016947981456541597,0.0717692132681749,0.01282927952905549,0.044522416774374074,0.01659844116277428,0.03727839746284874,0.033684906110848,0.027184632718251067,0.027184632718251067,0.027184632718251067,0.027184632718251067,0.029810086863104678,0.026688915421032737,0.026113590701414956,0.025710009987221512,0.034463572453016754,0.02052499044290679,0.03839158317747842,0.019518843886990225,0.0208512827274968,0.01742216359105975
이동,0.020402555509779912,0.022004457340929776,0.02170876734650035,0.02153898416111333,0.02142818244886583,0.012384732848132308,0.020097060222557802,0.01282927952905549,0.0,0.01922183906992514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01929013720906991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022004457340929776,0.0,0.0,0.022004457340929776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018134312971943352,0.020097060222557802,0.0,0.01922183906992514,0.0,0.016523912376286153,0.012384732848132308,0.0,0.0,0.0,0.01323259293995261,0.020402555509779912,0.02153898416111333,0.0,0.0,0.0,0.022004457340929776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01282927952905549,0.0,0.0,0.0,0.02153898416111333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012384732848132308,0.0,0.0,0.0,0.020097060222557802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01935849558712586,0.022004457340929776,0.0,0.0,0.0,0.0,0.020097060222557802,0.0,0.0,0.0,0.0,0.0,0.02153898416111333,0.0,0.020915812286129803,0.0,0.022004457340929776,0.0,0.0,0.01922183906992514,0.020097060222557802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022004457340929776,0.0,0.0,0.0,0.0,0.0,0.01323259293995261,0.0,0.0,0.0,0.02153898416111333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02723202652861423,0.0,0.027916059063533224,0.0,0.0,0.02170876734650035,0.01282927952905549,0.0,0.0,0.1300644390043434,0.0,0.08466058493497655,0.020402555509779912,0.06419690819488516,0.04933601203092586,0.051663055250016444,0.051663055250016444,0.051663055250016444,0.051663055250016444,0.0,0.0,0.0,0.0,0.03830078485338557,0.0,0.0,0.0,0.0,0.0
정리,0.021996862851374373,0.013449874756120537,0.010141744844672075,0.010555173573519917,0.0159709321885834,0.03553263998227961,0.01447856981874611,0.0193006992761271,0.01922183906992514,0.0,0.013303816457667492,0.0,0.0,0.0,0.0,0.0,0.010424371973857484,0.0,0.0,0.009053631879739519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.029191916167858406,0.012738973322010289,0.011865323167810598,0.012218062275607832,0.017941824461287992,0.012303485051178144,0.015343914207761484,0.013449874756120537,0.009471901855160279,0.012738973322010289,0.013449874756120537,0.0,0.0,0.0,0.0,0.012218062275607832,0.029191916167858406,0.0,0.012982442854965966,0.05894504526068678,0.01594975588184115,0.016161339799376066,0.01447856981874611,0.03973163358638013,0.0,0.012895377672093172,0.03560880200016908,0.03553263998227961,0.01512044091286805,0.0,0.0,0.0,0.021996862851374373,0.010555173573519917,0.013367722647883287,0.0,0.0,0.013449874756120537,0.009456674073981196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015815716198482828,0.0,0.0,0.0193006992761271,0.020375819922967556,0.0,0.0,0.010555173573519917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03553263998227961,0.0,0.0,0.0,0.01447856981874611,0.0,0.012218062275607832,0.0,0.0,0.0,0.017045575461895206,0.016482333349354724,0.0,0.013449874756120537,0.0,0.039304803295603416,0.031117332200021202,0.02124025130838009,0.01447856981874611,0.01880873850712855,0.0,0.0,0.015623528096176465,0.016883510319348725,0.010555173573519917,0.029191916167858406,0.037621610871581945,0.035206871433081086,0.013449874756120537,0.024994699182239705,0.022320601070836325,0.0,0.01447856981874611,0.021494344959839765,0.017112747019857367,0.0,0.0,0.0,0.0,0.0,0.05894504526068678,0.013449874756120537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010555173573519917,0.0,0.0,0.0,0.0,0.0,0.02288324727202973,0.0,0.02122332446637892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01594975588184115,0.010141744844672075,0.0193006992761271,0.0,0.0,0.0,0.01922183906992514,0.0,0.021996862851374373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
