Source,Target,Weight
0,1,0.8324374718588398
0,2,0.8782592482326689
0,3,0.8648696466743508
0,4,0.6627636714831645
0,5,0.5664692932094876
0,6,0.8038619221701835
0,7,0.8418914369927696
0,8,0.8549590440561685
0,9,0.6970731999583797
0,10,0.7173486637121643
0,11,0.6509961719232108
0,12,0.7637100951914231
0,13,0.711577836659459
0,14,0.5070908737510803
0,15,0.8653921906339188
0,16,0.6834309473178795
0,17,0.5703429499578436
0,18,0.8466339899325178
0,19,0.795972974146582
1,2,0.7721586465540131
1,3,0.8108521393405074
1,4,0.6736054178678684
1,5,0.3442515440581478
1,6,0.7659461624865551
1,7,0.5343161630861266
1,8,0.6534260559086978
1,9,0.6976848418676795
1,10,0.5523513403960434
1,11,0.5207971652137219
1,12,0.6822294285938332
1,13,0.5203191255706515
1,14,0.4636280924857391
1,15,0.6685135497542005
1,16,0.6104070193241193
1,17,0.634411644983109
1,18,0.6966155591667798
1,19,0.47021659591453746
2,3,0.7223159879426018
2,4,0.6095248698923466
2,5,0.42310252991674085
2,6,0.6932404470357212
2,7,0.6208010685167402
2,8,0.6810303359570626
2,9,0.6017803585839285
2,10,0.7968879787546402
2,11,0.5033886748650944
2,12,0.7733068932416325
2,13,0.5096879003974181
2,14,0.48576516906570233
2,15,0.711142955571266
2,16,0.5717022333702976
2,17,0.5147617144411236
2,18,0.710837912038684
2,19,0.7036931567576338
3,4,0.696234129581552
3,5,0.5052138925182567
3,6,0.7963602539183131
3,7,0.6982915215033989
3,8,0.7512292036224961
3,9,0.6441546027473964
3,10,0.6420508792144689
3,11,0.7682783700324289
3,12,0.6214934916556788
3,13,0.5754887248746758
3,14,0.4807341446287347
3,15,0.7293919741442481
3,16,0.7067934644644412
3,17,0.6057944961079538
3,18,0.775779269574181
3,19,0.6717804953418052
4,5,0.4034000556250169
4,6,0.8341982857426475
4,7,0.39986871022086
4,8,0.6548869267223753
4,9,0.6252595500297731
4,10,0.5491928266513589
4,11,0.5026550352800477
4,12,0.5550008926324622
4,13,0.3596133599004257
4,14,0.5813771973784405
4,15,0.5514284958012297
4,16,0.8529432480430531
4,17,0.8472485446315674
4,18,0.4793839992579763
4,19,0.3598080072470224
5,6,0.5582562767720587
5,7,0.4922677781399597
5,8,0.5745193313139096
5,9,0.39091236237255345
5,10,0.32325470521777694
5,11,0.40748614666591826
5,12,0.3802899134269976
5,13,0.42806648748648646
5,14,0.5576172704246303
5,15,0.5062006265988257
5,16,0.4948267851800503
5,17,0.31269294504265
5,18,0.47209677094503244
5,19,0.42245421363792346
6,7,0.5684478177605852
6,8,0.7485209710292587
6,9,0.7134681806650808
6,10,0.5501804862624678
6,11,0.5484754117663775
6,12,0.639940450837162
6,13,0.5145914647092708
6,14,0.6080122671848437
6,15,0.7107320044797607
6,16,0.8322052023092397
6,17,0.7055399817441694
6,18,0.6463991288178267
6,19,0.4930018640599946
7,8,0.7609037072451178
7,9,0.4515158377975132
7,10,0.5190567551759114
7,11,0.5531662690303666
7,12,0.5557222820969852
7,13,0.6738424791771398
7,14,0.26376489914701257
7,15,0.8303001048162589
7,16,0.5162180314157219
7,17,0.3069590058013631
7,18,0.7328640961300049
7,19,0.865149570349493
8,9,0.5741233045812053
8,10,0.538347809750624
8,11,0.6134434809798774
8,12,0.5609853939026006
8,13,0.5632135195830276
8,14,0.4480845355973121
8,15,0.8375990289619628
8,16,0.7937976075103829
8,17,0.5370445955074088
8,18,0.7368695257660691
8,19,0.6300724134564402
9,10,0.48608178626073434
9,11,0.4764088367242687
9,12,0.6001430467928247
9,13,0.5174839786667839
9,14,0.5551564740492848
9,15,0.5830479488506417
9,16,0.5988981515400573
9,17,0.5866291636540578
9,18,0.5769218262738774
9,19,0.4356871683835163
10,11,0.584446684849365
10,12,0.8132838139257373
10,13,0.3636247124221863
10,14,0.5776373947129952
10,15,0.5890385333739762
10,16,0.5700932947582854
10,17,0.4211501936279252
10,18,0.5756996489025422
10,19,0.6172845065126074
11,12,0.4246894750053036
11,13,0.4241718856078228
11,14,0.3119319118060635
11,15,0.554686569379403
11,16,0.6161324318582141
11,17,0.4011566307814825
11,18,0.7498507878800246
11,19,0.510064004597427
12,13,0.4029915017712414
12,14,0.6424346428921942
12,15,0.663992427313285
12,16,0.5368842650561849
12,17,0.4429862825557765
12,18,0.6054359103033504
12,19,0.5969419188559651
13,14,0.28426386484419086
13,15,0.6097463787591163
13,16,0.37544879058186104
13,17,0.3366924466532123
13,18,0.597512454632453
13,19,0.6249334572416579
14,15,0.34496649059739926
14,16,0.5420750940354674
14,17,0.4387049624340509
14,18,0.33884243226343697
14,19,0.24464571876890825
15,16,0.7012396313392137
15,17,0.4610578253698368
15,18,0.728799042324482
15,19,0.7556864822557323
16,17,0.7147098805491151
16,18,0.5511141604442349
16,19,0.43686322327578897
17,18,0.42747184046454634
17,19,0.26998166660045336
18,19,0.688270931575558
