Source,Target,Weight
0,1,0.7805353193227084
0,2,0.7695008331666157
0,3,0.9426923341419023
0,4,0.8126947416041479
0,5,0.9663155581936528
0,6,0.8767969626631404
0,7,0.9114272187187308
0,8,0.953371919839601
0,9,0.9029678994486832
0,10,0.8481648165693344
0,11,0.9446480315498602
0,12,0.9263468355101321
1,2,0.6159125162087525
1,3,0.788557834289411
1,4,0.648106208603048
1,5,0.7486102916473864
1,6,0.6589388816957348
1,7,0.764633383827641
1,8,0.7215756789428912
1,9,0.7123756543811247
1,10,0.7204025191882172
1,11,0.7558587031182858
1,12,0.7794983631472867
2,3,0.7745547703286477
2,4,0.6312237317833441
2,5,0.766891122114496
2,6,0.7246829877639005
2,7,0.7799129852202673
2,8,0.7494447263991101
2,9,0.7232466099751015
2,10,0.6506537840546218
2,11,0.7431196784117662
2,12,0.7274476069970466
3,4,0.7782619066671378
3,5,0.9239870528103066
3,6,0.8361088114826297
3,7,0.9234598769603914
3,8,0.9102999810353132
3,9,0.8699156259058989
3,10,0.7963931350714244
3,11,0.9088834569852553
3,12,0.9104325059341085
4,5,0.8379071217971736
4,6,0.711232504820976
4,7,0.765749166648349
4,8,0.8125315617293511
4,9,0.7834610090969946
4,10,0.7769710654679831
4,11,0.8437160226830189
4,12,0.807309275547749
5,6,0.8800754557711041
5,7,0.8966057140082558
5,8,0.9579935723459183
5,9,0.9038018346057106
5,10,0.8151684537536893
5,11,0.9588766418779152
5,12,0.9056588085256936
6,7,0.8064940190733445
6,8,0.8541498648059296
6,9,0.8108423376110715
6,10,0.7752753996968001
6,11,0.8391323716039609
6,12,0.8038671224948523
7,8,0.8806031174231759
7,9,0.8506495324275697
7,10,0.7803405596434234
7,11,0.8656075528133365
7,12,0.8850252731341659
8,9,0.9122593186860669
8,10,0.8018889119974536
8,11,0.9542281621853503
8,12,0.9101309578551007
9,10,0.8102834580352298
9,11,0.8882005401914561
9,12,0.8457933667196254
10,11,0.7864512644215851
10,12,0.755621017109825
11,12,0.9163244691015437
