,자의,부주의,옹벽,바닥,절단,인지,단순,용기,작업중,신호,근로자,불안전,행동,부주의,이동,부족,경계,자재,공유,정보,호수,신호,장비,배치,충돌,덤프트럭,운전,위치,지대,전달,이동,자재,보행,균형,구간,사면,낙상,인지,증가,장애물,질병,원인,복용,지병,개인,추정,증상,고혈압,정맥,심정지,부주의,주위,수사,램프,모름,자상,사인,마기,광역,암표,나무,벌목,수목,가지,방향,대피,소나무,가격,크레인,아웃,장비,토사,설치,안전,미흡,운전,굴착기,이동,적재,상태,본인,부주의,집중,미숙,당사자,혼자,마무리,암석,잘못,노면,손가락,끼임,강재,사이,손잡이,과정,파일,사보,포스트,왼손,골절,부상,왼쪽,발목,오른쪽,우측,절단,바닥,근로자,부위,개인,자의,부주의,부족,실수,대한,낙상,하치,의욕,인동,불안전,행동,자세,자의,산마루,무의식,케이싱,취급,자간,중량
자의,0.0,0.2594107326393016,0.04650548131570874,0.042536527637944986,0.023367086941177985,0.02597894828544692,0.039947820814779995,0.039947820814779995,0.03987040151122371,0.02652822103320503,0.0,0.04644233315663583,0.043735789344727584,0.2594107326393016,0.0,0.03890930580306621,0.0,0.0,0.0,0.0,0.0,0.02652822103320503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02524775349935305,0.0,0.03694216417743206,0.02597894828544692,0.0,0.0,0.0,0.0,0.0,0.0,0.0823985570946831,0.0,0.0,0.0,0.0,0.0,0.2594107326393016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018252395982927515,0.0,0.0,0.0,0.0,0.0,0.0,0.2594107326393016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0315555874873596,0.0,0.03153449485815583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027754095416729484,0.0,0.0,0.023367086941177985,0.042536527637944986,0.0,0.0,0.0823985570946831,0.0,0.2594107326393016,0.03890930580306621,0.07821214963066328,0.07299758576448666,0.03694216417743206,0.05933767122570441,0.05933767122570441,0.05933767122570441,0.04644233315663583,0.043735789344727584,0.10414603852430201,0.0,0.061648924830483974,0.05667251735869426,0.05436417606848353,0.043840633094661546,0.045929135712119956,0.04235628992662641
부주의,0.2594107326393016,0.0,0.045270730317168696,0.03157854192454766,0.040023036116203,0.024372071542603364,0.03871306981623995,0.03871306981623995,0.03863565051268367,0.03817414932634096,0.18438746679264773,0.08716210558695306,0.08230883656628743,0.0,0.05932701523889723,0.2171175100343083,0.04832470876040269,0.047524690752891174,0.047461292419998,0.047461292419998,0.0,0.03817414932634096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05932701523889723,0.047524690752891174,0.0,0.0,0.0,0.0,0.18856859429196565,0.024372071542603364,0.0,0.0,0.0,0.0,0.0,0.0,0.2951602383772879,0.0,0.0,0.0,0.0,0.0,0.0,0.1345514483087636,0.0989564472399089,0.0989564472399089,0.0989564472399089,0.0989564472399089,0.0989564472399089,0.0989564472399089,0.0989564472399089,0.0989564472399089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05932701523889723,0.0,0.0,0.3955670907120231,0.0,0.2735016714521707,0.24318136545432645,0.23959763957129082,0.22911578820091788,0.22911578820091788,0.22299272873786188,0.22299272873786188,0.2186542334253228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040023036116203,0.03157854192454766,0.18438746679264773,0.0,0.2951602383772879,0.2594107326393016,0.0,0.2171175100343083,0.19980068921862904,0.19151393056632365,0.18856859429196565,0.17487781239260375,0.17487781239260375,0.17487781239260375,0.08716210558695306,0.08230883656628743,0.0,0.2594107326393016,0.0,0.0,0.0,0.0,0.0,0.0
옹벽,0.04650548131570874,0.045270730317168696,0.0,0.023425153188619482,0.016191314126371304,0.03891772389950506,0.03128762707009321,0.03128762707009321,0.03130214764591186,0.03735912982448025,0.07511918078653942,0.0,0.0,0.045270730317168696,0.024300294065461435,0.0,0.02647690959451839,0.0,0.0,0.0,0.0,0.03735912982448025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024300294065461435,0.0,0.0,0.0,0.0,0.02316943372902525,0.0,0.03891772389950506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.045270730317168696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026168291514076764,0.02489340652752143,0.0,0.0,0.014822550778663453,0.024300294065461435,0.0,0.022049021494119043,0.0,0.045270730317168696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03449470889813975,0.0,0.022188218941225284,0.0,0.019744822509229678,0.0,0.016191314126371304,0.023425153188619482,0.07511918078653942,0.022477921451215768,0.0,0.04650548131570874,0.045270730317168696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04650548131570874,0.0,0.0,0.0,0.0,0.0,0.0
바닥,0.042536527637944986,0.03157854192454766,0.023425153188619482,0.0,0.03130315336693382,0.022304776097120428,0.015006387415123822,0.015006387415123822,0.019345676656832272,0.033390176146716494,0.03088546154997606,0.0,0.0,0.03157854192454766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033390176146716494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022304776097120428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03157854192454766,0.10853246778772398,0.07841136551715093,0.07841136551715093,0.07841136551715093,0.07841136551715093,0.07841136551715093,0.07841136551715093,0.07841136551715093,0.07841136551715093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016029645818830596,0.013887751474186034,0.0,0.0,0.013119112635241388,0.0,0.0,0.0,0.0,0.03157854192454766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030380021223822207,0.04148562252000214,0.020120150299672603,0.039882344170886624,0.017669952851450697,0.0350188212304505,0.03130315336693382,0.0,0.03088546154997606,0.015998101648863745,0.0,0.042536527637944986,0.03157854192454766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042536527637944986,0.0,0.0,0.0,0.0,0.0,0.0
절단,0.023367086941177985,0.040023036116203,0.016191314126371304,0.03130315336693382,0.0,0.01889772813031799,0.03265035611341354,0.03265035611341354,0.01702505891651715,0.019743898868034817,0.03126979324823714,0.059275853495126145,0.055477721417622486,0.040023036116203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019743898868034817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03248373441434265,0.0,0.0,0.01889772813031799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040023036116203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.040023036116203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06543750686283384,0.041869954218263214,0.01782581837193407,0.0402666758691477,0.03724016993997382,0.03540315292871157,0.0,0.03130315336693382,0.03126979324823714,0.017499272168021926,0.0,0.023367086941177985,0.040023036116203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059275853495126145,0.055477721417622486,0.14055963074845992,0.023367086941177985,0.08034569671348536,0.07340315837769773,0.07048005507039203,0.05783759078718278,0.059244862824787824,0.05579181518428319
인지,0.02597894828544692,0.024372071542603364,0.03891772389950506,0.022304776097120428,0.01889772813031799,0.0,0.03236006339857632,0.03236006339857632,0.03228264409502003,0.02200020961360117,0.0,0.039529458874585144,0.0369812508626915,0.024372071542603364,0.019132420081280403,0.0,0.0,0.015737556001138266,0.0,0.0,0.0,0.02200020961360117,0.0,0.0,0.0,0.0,0.0,0.01608104042679238,0.0,0.0,0.019132420081280403,0.015737556001138266,0.06712975624076895,0.06406299447115059,0.03502601077400539,0.01872802116790958,0.020942446326507755,0.0,0.05223078313359215,0.05047373128767173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024372071542603364,0.0748266937821331,0.05367181968678296,0.05367181968678296,0.05367181968678296,0.05367181968678296,0.05367181968678296,0.05367181968678296,0.05367181968678296,0.05367181968678296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012302238230450948,0.0,0.0,0.019132420081280403,0.0,0.0,0.0,0.024372071542603364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01889772813031799,0.022304776097120428,0.0,0.0,0.0,0.02597894828544692,0.024372071542603364,0.0,0.0,0.03607236634507831,0.020942446326507755,0.0,0.0,0.0,0.039529458874585144,0.0369812508626915,0.09747543146539017,0.02597894828544692,0.05367181968678296,0.049025045818973885,0.04705952027062404,0.04140250446084547,0.04150534884385521,0.039935294942470015
단순,0.039947820814779995,0.03871306981623995,0.03128762707009321,0.015006387415123822,0.03265035611341354,0.03236006339857632,0.0,0.03134038981345051,0.017812061581719392,0.030801469323551506,0.0,0.0,0.0,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030801469323551506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03236006339857632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012629279103041806,0.013637840888137073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03265035611341354,0.015006387415123822,0.0,0.0,0.0,0.039947820814779995,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039947820814779995,0.0,0.0,0.0,0.0,0.0,0.0
용기,0.039947820814779995,0.03871306981623995,0.03128762707009321,0.015006387415123822,0.03265035611341354,0.03236006339857632,0.03134038981345051,0.0,0.017812061581719392,0.030801469323551506,0.0,0.0,0.0,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030801469323551506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03236006339857632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012629279103041806,0.013637840888137073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03265035611341354,0.015006387415123822,0.0,0.0,0.0,0.039947820814779995,0.03871306981623995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039947820814779995,0.0,0.0,0.0,0.0,0.0,0.0
작업중,0.03987040151122371,0.03863565051268367,0.03130214764591186,0.019345676656832272,0.01702505891651715,0.03228264409502003,0.017812061581719392,0.017812061581719392,0.0,0.030724050019995217,0.0,0.0,0.0,0.03863565051268367,0.018853754979873967,0.0,0.020070757761966845,0.0,0.0,0.0,0.0,0.030724050019995217,0.0,0.0,0.0,0.0,0.017880119334572644,0.015885194467705175,0.0,0.0,0.018853754979873967,0.0,0.0,0.0,0.0,0.01959402782080703,0.0,0.03228264409502003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03863565051268367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049718928825329425,0.03659973638779013,0.02372033138696656,0.019142603545667155,0.0,0.020052174883561123,0.0196244910231136,0.021904723641586753,0.0,0.0,0.01978153356592691,0.025383545675608375,0.02365211839872609,0.01623521882524203,0.017880119334572644,0.020410178661719094,0.018853754979873967,0.019195378082581975,0.01968679874342886,0.0,0.03863565051268367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02453264494330616,0.0,0.0,0.0,0.017757146491698267,0.04180314979563663,0.02476305128835356,0.027124440781544815,0.019829191142727264,0.024316666940577932,0.023848150326084016,0.01702505891651715,0.019345676656832272,0.0,0.02712390858164116,0.0,0.03987040151122371,0.03863565051268367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03987040151122371,0.0,0.0,0.0,0.0,0.0,0.0
신호,0.02652822103320503,0.03817414932634096,0.03735912982448025,0.033390176146716494,0.019743898868034817,0.02200020961360117,0.030801469323551506,0.030801469323551506,0.030724050019995217,0.0,0.0,0.04275325216841569,0.039851452121561146,0.03817414932634096,0.0,0.01972573769814705,0.0,0.0,0.0,0.0,0.09719015266525934,0.0,0.03442358133973196,0.03129132056451048,0.02994347328881318,0.026585220610153313,0.025409459492965438,0.024269040645431502,0.022636569340566876,0.022636569340566876,0.0,0.0,0.0,0.0,0.024102819852599006,0.0,0.0,0.02200020961360117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03817414932634096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03442358133973196,0.0,0.0,0.015623830318762863,0.02036415441984879,0.025409459492965438,0.013759733672935837,0.0,0.0,0.011437454809410951,0.0,0.03817414932634096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02344229390963941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019743898868034817,0.033390176146716494,0.0,0.0,0.0,0.02652822103320503,0.03817414932634096,0.01972573769814705,0.0,0.0,0.0,0.0,0.0,0.0,0.04275325216841569,0.039851452121561146,0.09964608663943429,0.02652822103320503,0.05616722226189745,0.051254880803207566,0.04830386977554142,0.04856885302270226,0.045386571877019236,0.04786862257531621
