Source,Target,Weight
0,1,0.8380070287175078
0,2,0.7847295857452969
0,3,0.78084863454754
0,4,0.9304057724245464
0,5,0.9564041999094204
0,6,0.7983987157177863
0,7,0.7278436393340795
0,8,0.7274014595471225
0,9,0.6786737019611957
0,10,0.8889135896725688
0,11,0.7511738109659517
0,12,0.8233001239613784
0,13,0.4923771543832988
0,14,0.7568501098707004
0,15,0.7177298468800622
0,16,0.7832131311669674
0,17,0.8979407793744236
0,18,0.6905770369665873
0,19,0.7839460768515436
1,2,0.5671435487902706
1,3,0.5898720054721671
1,4,0.9431938249351843
1,5,0.8036290910936187
1,6,0.5078160222865459
1,7,0.6200502922376369
1,8,0.5283011399504418
1,9,0.5501967015171647
1,10,0.697010684359739
1,11,0.4591214625857854
1,12,0.609634634977348
1,13,0.2373988000657944
1,14,0.6193095536635221
1,15,0.6424151235275418
1,16,0.5634616187881205
1,17,0.7442687250965303
1,18,0.440366753200361
1,19,0.4915268756566444
2,3,0.5104455342907308
2,4,0.6254508309603637
2,5,0.7234362756744406
2,6,0.658873522807539
2,7,0.5781920460641278
2,8,0.5950663436917343
2,9,0.6250220579310279
2,10,0.6176901517061041
2,11,0.6232596005230943
2,12,0.5741722919542914
2,13,0.5738761576076186
2,14,0.6147006990007835
2,15,0.6025792581634777
2,16,0.5473510650375256
2,17,0.6478594089378215
2,18,0.6787138349635193
2,19,0.747826890523198
3,4,0.7603411601108543
3,5,0.6947405920935932
3,6,0.6519799374993068
3,7,0.5294137192679678
3,8,0.5617908933018106
3,9,0.45759658028687644
3,10,0.9051453582207446
3,11,0.5439267194234237
3,12,0.8450090408965018
3,13,0.3571920102111109
3,14,0.5190282747516941
3,15,0.49338939851644376
3,16,0.6739627447270802
3,17,0.6872069376604276
3,18,0.43516085520822845
3,19,0.6039367337179321
4,5,0.86765561087415
4,6,0.622947873953693
4,7,0.7296721073401355
4,8,0.5920888608221022
4,9,0.6423643590151484
4,10,0.8518617931261184
4,11,0.5435317114495187
4,12,0.7665089995949873
4,13,0.3208011035063176
4,14,0.6663681326429989
4,15,0.7005602628986817
4,16,0.6921310980514488
4,17,0.8685646277519306
4,18,0.5229357430813875
4,19,0.600206177346406
5,6,0.8408113398675602
5,7,0.6323955865057143
5,8,0.7838377580418338
5,9,0.6060018097295721
5,10,0.8027971754993964
5,11,0.782173085882043
5,12,0.7508750346736099
5,13,0.48961546052001303
5,14,0.7547102943470698
5,15,0.6370359170317544
5,16,0.8002565710395062
5,17,0.8567178355509596
5,18,0.6427262366043871
5,19,0.7504478748948964
6,7,0.4393159969254775
6,8,0.8222159261040641
6,9,0.4315260019666546
6,10,0.7251484231378278
6,11,0.7797335671670201
6,12,0.611315369257492
6,13,0.5227740842536954
6,14,0.698609372332575
6,15,0.44418059909484514
6,16,0.7328826360211619
6,17,0.7661131865386426
6,18,0.6056380599411522
6,19,0.7840573862949236
7,8,0.39965391785061516
7,9,0.8868330076939694
7,10,0.5980349622431296
7,11,0.4660965381691135
7,12,0.5816566333180194
7,13,0.36686766620274663
7,14,0.5200473876011266
7,15,0.619959102024311
7,16,0.5512018184163158
7,17,0.7455300728831376
7,18,0.4791708316811647
7,19,0.3639620385860386
8,9,0.3686749963795921
8,10,0.647112307476992
8,11,0.6968352503668227
8,12,0.5355838187412301
8,13,0.4399764983945227
8,14,0.6531460711238235
8,15,0.43549656249998625
8,16,0.6665911738417793
8,17,0.6718052360675951
8,18,0.5055400247186554
8,19,0.6998298109990522
9,10,0.5232074933968989
9,11,0.47762484413906514
9,12,0.5455970699502027
9,13,0.4148186601826749
9,14,0.4828323511533342
9,15,0.5832578983646136
9,16,0.5182711311132082
9,17,0.6727214010020395
9,18,0.4546155255942986
9,19,0.33529647407934027
10,11,0.6203609088160742
10,12,0.8335221372257076
10,13,0.40820403606074107
10,14,0.5891721477140051
10,15,0.6233920823601474
10,16,0.721883742579464
10,17,0.7979207164916089
10,18,0.5613305275362609
10,19,0.7355980477274783
11,12,0.5828737317954792
11,13,0.49871753771082966
11,14,0.688176848004558
11,15,0.4587779643298667
11,16,0.6832767584977979
11,17,0.6404261357076461
11,18,0.6091739988257217
11,19,0.6675074027381889
12,13,0.3701233463318915
12,14,0.5206928638680545
12,15,0.5246513215816896
12,16,0.7124905445940803
12,17,0.6806453116380016
12,18,0.5217641137742047
12,19,0.6481678875137048
13,14,0.3247985025537983
13,15,0.3214456324167575
13,16,0.3763455378874937
13,17,0.3653463102786426
13,18,0.39227876006443385
13,19,0.4060547971981495
14,15,0.6112487454415633
14,16,0.6277125632113053
14,17,0.7373322105306387
14,18,0.5397213355508546
14,19,0.6110193417873321
15,16,0.5217669616196103
15,17,0.6555534339058389
15,18,0.4585980613981281
15,19,0.4681718473672108
16,17,0.7315848437657332
16,18,0.4961177849686147
16,19,0.6300587901132588
17,18,0.6281268641863039
17,19,0.6804947359979027
18,19,0.7563765665731261
